#  Tb:    Z = 65;   Atomic weight = 158.9254 g/mol ;    nominal density:   [INLINE] = 8.2140E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.63902E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.64780E+05
#         19 edges. Edge energies (keV):
# K      5.19957E+01  L I    8.70800E+00  L II   8.25160E+00  L III  7.51400E+00
# M I    1.96750E+00  M II   1.76770E+00  M III  1.61130E+00  M IV   1.27500E+00
# M V    1.24120E+00  N I    3.97900E-01  N II   3.10200E-01  N III  2.85000E-01
# N IV   1.47000E-01  N V    1.47000E-01  N VI   9.40000E-03  N VII  8.60000E-03
# O I    3.90000E-02  O II   2.54000E-02  O III  2.54000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.0366E+00, -6.2340E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4584E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=65, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.55964268e+01  8.01650000e-02  2.10160000e+04  1.74200000e-10  0.00000000e+00
1.02010000e-03  1.56126809e+01  8.01690000e-02  2.08090000e+04  1.87600000e-10  0.00000000e+00
1.03030100e-03  1.56234350e+01  8.01730000e-02  2.06040000e+04  2.01900000e-10  0.00000000e+00
1.04060400e-03  1.56298096e+01  8.01780000e-02  2.04010000e+04  2.17400000e-10  0.00000000e+00
1.05101010e-03  1.56355915e+01  8.01820000e-02  2.02000000e+04  2.34000000e-10  0.00000000e+00
1.06152010e-03  1.56398930e+01  8.01870000e-02  2.00010000e+04  2.51800000e-10  0.00000000e+00
1.07213530e-03  1.56439218e+01  8.01910000e-02  1.98040000e+04  2.71000000e-10  0.00000000e+00
1.08285670e-03  1.56471922e+01  8.01960000e-02  1.96090000e+04  2.91600000e-10  0.00000000e+00
1.09368520e-03  1.56501370e+01  8.02000000e-02  1.94160000e+04  3.13800000e-10  0.00000000e+00
1.10462210e-03  1.56528162e+01  8.02050000e-02  1.92250000e+04  3.37600000e-10  0.00000000e+00
1.11566830e-03  1.56552746e+01  8.02100000e-02  1.90360000e+04  3.63100000e-10  0.00000000e+00
1.12682500e-03  1.56575468e+01  8.02150000e-02  1.88490000e+04  3.90600000e-10  0.00000000e+00
1.13809320e-03  1.56596598e+01  8.02190000e-02  1.86630000e+04  4.20100000e-10  0.00000000e+00
1.14947410e-03  1.56617726e+01  8.02240000e-02  1.84800000e+04  4.51800000e-10  0.00000000e+00
1.16096880e-03  1.56636239e+01  8.02290000e-02  1.82980000e+04  4.85800000e-10  0.00000000e+00
1.17257850e-03  1.56653694e+01  8.02340000e-02  1.81180000e+04  5.22300000e-10  0.00000000e+00
1.18430430e-03  1.56673669e+01  8.02390000e-02  1.79390000e+04  5.61500000e-10  0.00000000e+00
1.19614730e-03  1.56689067e+01  8.02440000e-02  1.77630000e+04  6.03600000e-10  0.00000000e+00
1.20810880e-03  1.56703738e+01  8.02490000e-02  1.75880000e+04  6.48800000e-10  0.00000000e+00
1.22018990e-03  1.56717750e+01  8.02550000e-02  1.74150000e+04  6.97200000e-10  0.00000000e+00
1.23239180e-03  1.56732939e+01  8.02600000e-02  1.72440000e+04  7.49200000e-10  0.00000000e+00
1.24471570e-03  1.56745666e+01  8.02650000e-02  1.70740000e+04  8.05000000e-10  0.00000000e+00
1.25716280e-03  1.56757900e+01  8.02700000e-02  1.69060000e+04  8.64900000e-10  0.00000000e+00
1.26973440e-03  1.56769678e+01  8.02760000e-02  1.67400000e+04  9.29100000e-10  0.00000000e+00
