#  Dy:    Z = 66;   Atomic weight = 162.5000 g/mol ;    nominal density:   [INLINE] = 8.5250E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.69838E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.58956E+05
#         19 edges. Edge energies (keV):
# K      5.37885E+01  L I    9.04580E+00  L II   8.58060E+00  L III  7.79010E+00
# M I    2.04680E+00  M II   1.84180E+00  M III  1.67560E+00  M IV   1.33250E+00
# M V    1.29490E+00  N I    4.16300E-01  N II   3.31800E-01  N III  2.92900E-01
# N IV   1.54200E-01  N V    1.54200E-01  N VI   4.20000E-03  N VII  4.20000E-03
# O I    6.29000E-02  O II   2.63000E-02  O III  2.63000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.0783E+00, -6.4740E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4705E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=66, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.43211222e+01  8.28910000e-02  2.12530000e+04  1.81000000e-10  0.00000000e+00
1.02010000e-03  1.43377864e+01  8.28960000e-02  2.10430000e+04  1.95000000e-10  0.00000000e+00
1.03030100e-03  1.43489201e+01  8.29000000e-02  2.08360000e+04  2.09900000e-10  0.00000000e+00
1.04060400e-03  1.43553673e+01  8.29040000e-02  2.06310000e+04  2.26000000e-10  0.00000000e+00
1.05101010e-03  1.43608542e+01  8.29090000e-02  2.04280000e+04  2.43300000e-10  0.00000000e+00
1.06152010e-03  1.43655901e+01  8.29130000e-02  2.02270000e+04  2.61900000e-10  0.00000000e+00
1.07213530e-03  1.43696723e+01  8.29180000e-02  2.00270000e+04  2.81900000e-10  0.00000000e+00
1.08285670e-03  1.43729517e+01  8.29220000e-02  1.98300000e+04  3.03400000e-10  0.00000000e+00
1.09368520e-03  1.43758966e+01  8.29270000e-02  1.96350000e+04  3.26500000e-10  0.00000000e+00
1.10462210e-03  1.43785676e+01  8.29310000e-02  1.94420000e+04  3.51300000e-10  0.00000000e+00
1.11566830e-03  1.43810104e+01  8.29360000e-02  1.92500000e+04  3.77900000e-10  0.00000000e+00
1.12682500e-03  1.43832601e+01  8.29410000e-02  1.90610000e+04  4.06500000e-10  0.00000000e+00
1.13809320e-03  1.43853442e+01  8.29460000e-02  1.88730000e+04  4.37300000e-10  0.00000000e+00
1.14947410e-03  1.43872848e+01  8.29500000e-02  1.86870000e+04  4.70300000e-10  0.00000000e+00
1.16096880e-03  1.43892335e+01  8.29550000e-02  1.85030000e+04  5.05700000e-10  0.00000000e+00
1.17257850e-03  1.43909336e+01  8.29600000e-02  1.83210000e+04  5.43800000e-10  0.00000000e+00
1.18430430e-03  1.43925348e+01  8.29650000e-02  1.81410000e+04  5.84600000e-10  0.00000000e+00
1.19614730e-03  1.43943868e+01  8.29700000e-02  1.79620000e+04  6.28500000e-10  0.00000000e+00
1.20810880e-03  1.43957929e+01  8.29750000e-02  1.77860000e+04  6.75500000e-10  0.00000000e+00
1.22018990e-03  1.43971288e+01  8.29800000e-02  1.76110000e+04  7.26000000e-10  0.00000000e+00
1.23239180e-03  1.43984005e+01  8.29860000e-02  1.74370000e+04  7.80200000e-10  0.00000000e+00
1.24471570e-03  1.43997942e+01  8.29910000e-02  1.72660000e+04  8.38300000e-10  0.00000000e+00
1.25716280e-03  1.44009389e+01  8.29960000e-02  1.70960000e+04  9.00700000e-10  0.00000000e+00
1.26973440e-03  1.44020342e+01  8.30010000e-02  1.69280000e+04  9.67500000e-10  0.00000000e+00
1.28243180e-03  1.44030833e+01  8.30070000e-02  1.67610000e+04  1.03900000e-09  0.00000000e+00
1.29525610e-03  1.44040893e+01  8.30120000e-02  1.65960000e+04  1.11600000e-09  0.00000000e+00
1.30820860e-03  1.44050548e+01  8.30180000e-02  1.64330000e+04  1.19900000e-09  0.00000000e+00
1.32129070e-03  1.44059820e+01  8.30230000e-02  1.62720000e+04  1.28700000e-09  0.00000000e+00
1.33450360e-03  1.44068732e+01  8.30290000e-02  1.61110000e+04  1.38200000e-09  0.00000000e+00
1.34784860e-03  1.44077843e+01  8.30350000e-02  1.59530000e+04  1.48300000e-09  0.00000000e+00
1.36132710e-03  1.44086079e+01  8.30400000e-02  1.57960000e+04  1.59200000e-09  0.00000000e+00
1.37494030e-03  1.44094004e+01  8.30460000e-02  1.56410000e+04  1.70800000e-09  0.00000000e+00
1.38868970e-03  1.44101633e+01  8.30520000e-02  1.54870000e+04  1.83300000e-09  0.00000000e+00
1.40257660e-03  1.44108977e+01  8.30580000e-02  1.53350000e+04  1.96700000e-09  0.00000000e+00
1.41660240e-03  1.44116047e+01  8.30640000e-02  1.51840000e+04  2.11000000e-09  0.00000000e+00
1.43076840e-03  1.44122854e+01  8.30700000e-02  1.50350000e+04  2.26400000e-09  0.00000000e+00
1.44507600e-03  1.44129406e+01  8.30760000e-02  1.48870000e+04  2.42800000e-09  0.00000000e+00
1.45952680e-03  1.44135712e+01  8.30820000e-02  1.47410000e+04  2.60400000e-09  0.00000000e+00
1.47412200e-03  1.44141779e+01  8.30880000e-02  1.45960000e+04  2.79200000e-09  0.00000000e+00
1.48886320e-03  1.44147614e+01  8.30950000e-02  1.44530000e+04  2.99300000e-09  0.00000000e+00
1.50375190e-03  1.44153223e+01  8.31010000e-02  1.43110000e+04  3.20900000e-09  0.00000000e+00
1.51878940e-03  1.44158611e+01  8.31070000e-02  1.41700000e+04  3.44000000e-09  0.00000000e+00
1.53397720e-03  1.44163783e+01  8.31140000e-02  1.40310000e+04  3.68600000e-09  0.00000000e+00
1.54931700e-03  1.44168745e+01  8.31200000e-02  1.38930000e+04  3.95000000e-09  0.00000000e+00
1.56481020e-03  1.44173499e+01  8.31270000e-02  1.37560000e+04  4.23300000e-09  0.00000000e+00
1.58045820e-03  1.44178050e+01  8.31340000e-02  1.36210000e+04  4.53500000e-09  0.00000000e+00
1.59626280e-03  1.44182400e+01  8.31400000e-02  1.34880000e+04  4.85800000e-09  0.00000000e+00
1.61222540e-03  1.44186554e+01  8.31470000e-02  1.33550000e+04  5.20300000e-09  0.00000000e+00
1.62834770e-03  1.44190512e+01  8.31540000e-02  1.32240000e+04  5.57300000e-09  0.00000000e+00
1.64463110e-03  1.44194278e+01  8.31610000e-02  1.30940000e+04  5.96700000e-09  0.00000000e+00
1.66107740e-03  1.44197853e+01  8.31680000e-02  1.29660000e+04  6.38900000e-09  0.00000000e+00
1.67768820e-03  1.44201238e+01  8.31750000e-02  1.28380000e+04  6.84000000e-09  0.00000000e+00
1.69446500e-03  1.44204436e+01  8.31820000e-02  1.27120000e+04  7.32100000e-09  0.00000000e+00
1.71140970e-03  1.44207447e+01  8.31900000e-02  1.25880000e+04  7.83600000e-09  0.00000000e+00
1.72852380e-03  1.44210273e+01  8.31970000e-02  1.24640000e+04  8.38600000e-09  0.00000000e+00
1.74580900e-03  1.44212913e+01  8.32040000e-02  1.23420000e+04  8.97300000e-09  0.00000000e+00
1.76326710e-03  1.44215368e+01  8.32120000e-02  1.22210000e+04  9.60000000e-09  0.00000000e+00
1.78089970e-03  1.44217639e+01  8.32190000e-02  1.21010000e+04  1.02700000e-08  0.00000000e+00
1.79870870e-03  1.44219725e+01  8.32270000e-02  1.19820000e+04  1.09800000e-08  0.00000000e+00
1.81669580e-03  1.44221626e+01  8.32340000e-02  1.18640000e+04  1.17500000e-08  0.00000000e+00
1.83486270e-03  1.44223342e+01  8.32420000e-02  1.17480000e+04  1.25600000e-08  0.00000000e+00
1.85321130e-03  1.44224872e+01  8.32500000e-02  1.16330000e+04  1.34300000e-08  0.00000000e+00
1.87174340e-03  1.44226216e+01  8.32580000e-02  1.15190000e+04  1.43600000e-08  0.00000000e+00
1.89046080e-03  1.44227372e+01  8.32660000e-02  1.14060000e+04  1.53500000e-08  0.00000000e+00
1.90936540e-03  1.44228339e+01  8.32740000e-02  1.12940000e+04  1.64100000e-08  0.00000000e+00
1.92845900e-03  1.44229116e+01  8.32820000e-02  1.11830000e+04  1.75300000e-08  0.00000000e+00
1.94774360e-03  1.44229701e+01  8.32910000e-02  1.10740000e+04  1.87300000e-08  0.00000000e+00
1.96722100e-03  1.44230094e+01  8.32990000e-02  1.09650000e+04  2.00100000e-08  0.00000000e+00
1.98689320e-03  1.44230291e+01  8.33070000e-02  1.08580000e+04  2.13800000e-08  0.00000000e+00
2.00676210e-03  1.44230292e+01  8.33160000e-02  1.07510000e+04  2.28400000e-08  0.00000000e+00
2.02682970e-03  1.44230093e+01  8.33240000e-02  1.06460000e+04  2.43900000e-08  0.00000000e+00
2.04709800e-03  1.44229693e+01  8.33330000e-02  1.05420000e+04  2.60500000e-08  0.00000000e+00
