#  Ho:    Z = 67;   Atomic weight = 164.9304 g/mol ;    nominal density:   [INLINE] = 8.7690E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.73874E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.55140E+05
#         19 edges. Edge energies (keV):
# K      5.56177E+01  L I    9.39420E+00  L II   8.91780E+00  L III  8.07110E+00
# M I    2.12830E+00  M II   1.92280E+00  M III  1.74120E+00  M IV   1.39150E+00
# M V    1.35140E+00  N I    4.35700E-01  N II   3.43500E-01  N III  3.06600E-01
# N IV   1.61000E-01  N V    1.61000E-01  N VI   3.70000E-03  N VII  3.70000E-03
# O I    5.12000E-02  O II   2.03000E-02  O III  2.03000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.1210E+00, -6.7140E-01 e/atom
#         Nuclear Thomson correction fNT = -1.4931E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=67, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.29800243e+01  8.68710000e-02  2.19450000e+04  1.84700000e-10  0.00000000e+00
1.02010000e-03  1.29973156e+01  8.68750000e-02  2.17290000e+04  1.98900000e-10  0.00000000e+00
1.03030100e-03  1.30089920e+01  8.68790000e-02  2.15140000e+04  2.14200000e-10  0.00000000e+00
1.04060400e-03  1.30155818e+01  8.68840000e-02  2.13030000e+04  2.30700000e-10  0.00000000e+00
1.05101010e-03  1.30212023e+01  8.68880000e-02  2.10930000e+04  2.48400000e-10  0.00000000e+00
1.06152010e-03  1.30260428e+01  8.68930000e-02  2.08850000e+04  2.67400000e-10  0.00000000e+00
1.07213530e-03  1.30302143e+01  8.68970000e-02  2.06790000e+04  2.87900000e-10  0.00000000e+00
1.08285670e-03  1.30335267e+01  8.69020000e-02  2.04760000e+04  3.09800000e-10  0.00000000e+00
1.09368520e-03  1.30364896e+01  8.69070000e-02  2.02740000e+04  3.33400000e-10  0.00000000e+00
1.10462210e-03  1.30391658e+01  8.69110000e-02  2.00740000e+04  3.58800000e-10  0.00000000e+00
1.11566830e-03  1.30416021e+01  8.69160000e-02  1.98770000e+04  3.86100000e-10  0.00000000e+00
1.12682500e-03  1.30438348e+01  8.69210000e-02  1.96810000e+04  4.15300000e-10  0.00000000e+00
1.13809320e-03  1.30458925e+01  8.69260000e-02  1.94870000e+04  4.46800000e-10  0.00000000e+00
1.14947410e-03  1.30477980e+01  8.69300000e-02  1.92950000e+04  4.80500000e-10  0.00000000e+00
1.16096880e-03  1.30495696e+01  8.69350000e-02  1.91050000e+04  5.16800000e-10  0.00000000e+00
1.17257850e-03  1.30513530e+01  8.69400000e-02  1.89170000e+04  5.55700000e-10  0.00000000e+00
1.18430430e-03  1.30528965e+01  8.69450000e-02  1.87310000e+04  5.97500000e-10  0.00000000e+00
1.19614730e-03  1.30544835e+01  8.69500000e-02  1.85470000e+04  6.42400000e-10  0.00000000e+00
1.20810880e-03  1.30560394e+01  8.69550000e-02  1.83640000e+04  6.90500000e-10  0.00000000e+00
1.22018990e-03  1.30572969e+01  8.69610000e-02  1.81830000e+04  7.42200000e-10  0.00000000e+00
1.23239180e-03  1.30584842e+01  8.69660000e-02  1.80040000e+04  7.97600000e-10  0.00000000e+00
1.24471570e-03  1.30596067e+01  8.69710000e-02  1.78270000e+04  8.57000000e-10  0.00000000e+00
1.25716280e-03  1.30608559e+01  8.69770000e-02  1.76520000e+04  9.20800000e-10  0.00000000e+00
1.26973440e-03  1.30618488e+01  8.69820000e-02  1.74780000e+04  9.89200000e-10  0.00000000e+00
1.28243180e-03  1.30627902e+01  8.69870000e-02  1.73060000e+04  1.06300000e-09  0.00000000e+00
1.29525610e-03  1.30636832e+01  8.69930000e-02  1.71360000e+04  1.14100000e-09  0.00000000e+00
1.30820860e-03  1.30645305e+01  8.69980000e-02  1.69670000e+04  1.22600000e-09  0.00000000e+00
1.32129070e-03  1.30653343e+01  8.70040000e-02  1.68000000e+04  1.31600000e-09  0.00000000e+00
1.33450360e-03  1.30660969e+01  8.70100000e-02  1.66350000e+04  1.41300000e-09  0.00000000e+00
1.34784860e-03  1.30668200e+01  8.70150000e-02  1.64720000e+04  1.51700000e-09  0.00000000e+00
1.36132710e-03  1.30675607e+01  8.70210000e-02  1.63100000e+04  1.62800000e-09  0.00000000e+00
1.37494030e-03  1.30682091e+01  8.70270000e-02  1.61490000e+04  1.74700000e-09  0.00000000e+00
1.38868970e-03  1.30688225e+01  8.70330000e-02  1.59900000e+04  1.87500000e-09  0.00000000e+00
1.40257660e-03  1.30694022e+01  8.70390000e-02  1.58330000e+04  2.01200000e-09  0.00000000e+00
1.41660240e-03  1.30699492e+01  8.70450000e-02  1.56770000e+04  2.15800000e-09  0.00000000e+00
1.43076840e-03  1.30704645e+01  8.70510000e-02  1.55230000e+04  2.31500000e-09  0.00000000e+00
1.44507600e-03  1.30709489e+01  8.70570000e-02  1.53710000e+04  2.48300000e-09  0.00000000e+00
1.45952680e-03  1.30714033e+01  8.70630000e-02  1.52200000e+04  2.66300000e-09  0.00000000e+00
1.47412200e-03  1.30718282e+01  8.70700000e-02  1.50700000e+04  2.85500000e-09  0.00000000e+00
1.48886320e-03  1.30722243e+01  8.70760000e-02  1.49220000e+04  3.06200000e-09  0.00000000e+00
1.50375190e-03  1.30725921e+01  8.70820000e-02  1.47750000e+04  3.28200000e-09  0.00000000e+00
1.51878940e-03  1.30729321e+01  8.70890000e-02  1.46300000e+04  3.51800000e-09  0.00000000e+00
1.53397720e-03  1.30732447e+01  8.70950000e-02  1.44860000e+04  3.77000000e-09  0.00000000e+00
1.54931700e-03  1.30735302e+01  8.71020000e-02  1.43440000e+04  4.04000000e-09  0.00000000e+00
1.56481020e-03  1.30737889e+01  8.71090000e-02  1.42030000e+04  4.32900000e-09  0.00000000e+00
1.58045820e-03  1.30740212e+01  8.71150000e-02  1.40630000e+04  4.63800000e-09  0.00000000e+00
1.59626280e-03  1.30742271e+01  8.71220000e-02  1.39250000e+04  4.96900000e-09  0.00000000e+00
1.61222540e-03  1.30744070e+01  8.71290000e-02  1.37880000e+04  5.32200000e-09  0.00000000e+00
1.62834770e-03  1.30745608e+01  8.71360000e-02  1.36530000e+04  5.69900000e-09  0.00000000e+00
1.64463110e-03  1.30746888e+01  8.71430000e-02  1.35190000e+04  6.10300000e-09  0.00000000e+00
1.66107740e-03  1.30747909e+01  8.71500000e-02  1.33860000e+04  6.53400000e-09  0.00000000e+00
1.67768820e-03  1.30748672e+01  8.71570000e-02  1.32550000e+04  6.99500000e-09  0.00000000e+00
1.69446500e-03  1.30749177e+01  8.71640000e-02  1.31250000e+04  7.48800000e-09  0.00000000e+00
1.71140970e-03  1.30749423e+01  8.71720000e-02  1.29960000e+04  8.01400000e-09  0.00000000e+00
1.72852380e-03  1.30749409e+01  8.71790000e-02  1.28680000e+04  8.57600000e-09  0.00000000e+00
1.74580900e-03  1.30749136e+01  8.71870000e-02  1.27420000e+04  9.17600000e-09  0.00000000e+00
1.76326710e-03  1.30748601e+01  8.71940000e-02  1.26170000e+04  9.81700000e-09  0.00000000e+00
1.78089970e-03  1.30747802e+01  8.72020000e-02  1.24930000e+04  1.05000000e-08  0.00000000e+00
1.79870870e-03  1.30746739e+01  8.72090000e-02  1.23700000e+04  1.12300000e-08  0.00000000e+00
1.81669580e-03  1.30745408e+01  8.72170000e-02  1.22490000e+04  1.20100000e-08  0.00000000e+00
1.83486270e-03  1.30743808e+01  8.72250000e-02  1.21290000e+04  1.28500000e-08  0.00000000e+00
1.85321130e-03  1.30741936e+01  8.72330000e-02  1.20100000e+04  1.37300000e-08  0.00000000e+00
1.87174340e-03  1.30739789e+01  8.72410000e-02  1.18920000e+04  1.46800000e-08  0.00000000e+00
1.89046080e-03  1.30737364e+01  8.72490000e-02  1.17750000e+04  1.56900000e-08  0.00000000e+00
1.90936540e-03  1.30734657e+01  8.72570000e-02  1.16600000e+04  1.67700000e-08  0.00000000e+00
1.92845900e-03  1.30731665e+01  8.72650000e-02  1.15450000e+04  1.79200000e-08  0.00000000e+00
1.94774360e-03  1.30728384e+01  8.72740000e-02  1.14320000e+04  1.91500000e-08  0.00000000e+00
1.96722100e-03  1.30724809e+01  8.72820000e-02  1.13200000e+04  2.04600000e-08  0.00000000e+00
1.98689320e-03  1.30720937e+01  8.72910000e-02  1.12090000e+04  2.18600000e-08  0.00000000e+00
2.00676210e-03  1.30716762e+01  8.72990000e-02  1.10990000e+04  2.33500000e-08  0.00000000e+00
2.02682970e-03  1.30712279e+01  8.73080000e-02  1.09900000e+04  2.49300000e-08  0.00000000e+00
2.04709800e-03  1.30707484e+01  8.73170000e-02  1.08830000e+04  2.66200000e-08  0.00000000e+00
2.06756900e-03  1.30702369e+01  8.73260000e-02  1.07760000e+04  2.84300000e-08  0.00000000e+00
2.08824460e-03  1.30696931e+01  8.73340000e-02  1.06700000e+04  3.03500000e-08  0.00000000e+00
2.10912710e-03  1.30691161e+01  8.73430000e-02  1.05660000e+04  3.23900000e-08  0.00000000e+00
2.13021830e-03  1.30685053e+01  8.73530000e-02  1.04620000e+04  3.45700000e-08  0.00000000e+00
2.15152050e-03  1.30678610e+01  8.73620000e-02  1.03600000e+04  3.68900000e-08  0.00000000e+00
2.17303570e-03  1.30671807e+01  8.73710000e-02  1.02580000e+04  3.93700000e-08  0.00000000e+00
2.19476600e-03  1.30664644e+01  8.73810000e-02  1.01580000e+04  4.20000000e-08  0.00000000e+00
2.21671360e-03  1.30657119e+01  8.73900000e-02  1.00580000e+04  4.48000000e-08  0.00000000e+00
2.23888080e-03  1.30649212e+01  8.74000000e-02  9.96000000e+03  4.77800000e-08  0.00000000e+00
2.26126950e-03  1.30640920e+01  8.74090000e-02  9.86240000e+03  5.09600000e-08  0.00000000e+00
2.28388220e-03  1.30632233e+01  8.74190000e-02  9.76590000e+03  5.43400000e-08  0.00000000e+00
2.30672100e-03  1.30623142e+01  8.74290000e-02  9.67030000e+03  5.79400000e-08  0.00000000e+00
2.32978820e-03  1.30613636e+01  8.74390000e-02  9.57560000e+03  6.17700000e-08  0.00000000e+00
2.35308610e-03  1.30603695e+01  8.74490000e-02  9.48190000e+03  6.58400000e-08  0.00000000e+00
2.37661690e-03  1.30593324e+01  8.74590000e-02  9.38910000e+03  7.01700000e-08  0.00000000e+00
2.40038310e-03  1.30582504e+01  8.74700000e-02  9.29730000e+03  7.47800000e-08  0.00000000e+00
2.42438690e-03  1.30571221e+01  8.74800000e-02  9.20630000e+03  7.96800000e-08  0.00000000e+00
2.44863070e-03  1.30559461e+01  8.74910000e-02  9.11630000e+03  8.48900000e-08  0.00000000e+00
2.47311700e-03  1.30547210e+01  8.75010000e-02  9.02710000e+03  9.04300000e-08  0.00000000e+00
2.49784810e-03  1.30534452e+01  8.75120000e-02  8.93880000e+03  9.63100000e-08  0.00000000e+00
2.52282660e-03  1.30521172e+01  8.75230000e-02  8.85140000e+03  1.02600000e-07  0.00000000e+00
2.54805480e-03  1.30507351e+01  8.75340000e-02  8.76490000e+03  1.09200000e-07  0.00000000e+00
2.57353540e-03  1.30492972e+01  8.75450000e-02  8.67920000e+03  1.16300000e-07  0.00000000e+00
2.59927070e-03  1.30478014e+01  8.75560000e-02  8.59440000e+03  1.23800000e-07  0.00000000e+00
2.62526340e-03  1.30462457e+01  8.75680000e-02  8.51040000e+03  1.31800000e-07  0.00000000e+00
2.65151600e-03  1.30446278e+01  8.75790000e-02  8.42720000e+03  1.40300000e-07  0.00000000e+00
2.67803110e-03  1.30429452e+01  8.75910000e-02  8.34490000e+03  1.49300000e-07  0.00000000e+00
2.70481140e-03  1.30411955e+01  8.76020000e-02  8.26340000e+03  1.58800000e-07  0.00000000e+00
2.73185950e-03  1.30393757e+01  8.76140000e-02  8.18260000e+03  1.69000000e-07  0.00000000e+00
2.75917810e-03  1.30374828e+01  8.76260000e-02  8.10270000e+03  1.79700000e-07  0.00000000e+00
2.78676980e-03  1.30355136e+01  8.76380000e-02  8.02360000e+03  1.91200000e-07  0.00000000e+00
2.81463750e-03  1.30334643e+01  8.76500000e-02  7.94530000e+03  2.03300000e-07  0.00000000e+00
2.84278380e-03  1.30313311e+01  8.76630000e-02  7.86770000e+03  2.16200000e-07  0.00000000e+00
