#  Er:    Z = 68;   Atomic weight = 167.2600 g/mol ;    nominal density:   [INLINE] = 9.0390E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.77742E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.51586E+05
#         19 edges. Edge energies (keV):
# K      5.74855E+01  L I    9.75130E+00  L II   9.26430E+00  L III  8.35790E+00
# M I    2.20650E+00  M II   2.00580E+00  M III  1.81180E+00  M IV   1.45330E+00
# M V    1.40930E+00  N I    4.49100E-01  N II   3.66200E-01  N III  3.20000E-01
# N IV   1.76700E-01  N V    1.67600E-01  N VI   4.30000E-03  N VII  4.30000E-03
# O I    5.98000E-02  O II   2.94000E-02  O III  2.94000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.1649E+00, -6.9660E-01 e/atom
#         Nuclear Thomson correction fNT = -1.5166E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=68, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.33849172e+01  9.23940000e-02  2.30150000e+04  1.83300000e-10  0.00000000e+00
1.02010000e-03  1.34028192e+01  9.23980000e-02  2.27880000e+04  1.97500000e-10  0.00000000e+00
1.03030100e-03  1.34160354e+01  9.24030000e-02  2.25640000e+04  2.12700000e-10  0.00000000e+00
1.04060400e-03  1.34230789e+01  9.24070000e-02  2.23410000e+04  2.29100000e-10  0.00000000e+00
1.05101010e-03  1.34289105e+01  9.24120000e-02  2.21210000e+04  2.46700000e-10  0.00000000e+00
1.06152010e-03  1.34343990e+01  9.24160000e-02  2.19030000e+04  2.65600000e-10  0.00000000e+00
1.07213530e-03  1.34389466e+01  9.24210000e-02  2.16870000e+04  2.85900000e-10  0.00000000e+00
1.08285670e-03  1.34425958e+01  9.24260000e-02  2.14740000e+04  3.07800000e-10  0.00000000e+00
1.09368520e-03  1.34458803e+01  9.24300000e-02  2.12620000e+04  3.31300000e-10  0.00000000e+00
1.10462210e-03  1.34488653e+01  9.24350000e-02  2.10530000e+04  3.56600000e-10  0.00000000e+00
1.11566830e-03  1.34516002e+01  9.24400000e-02  2.08450000e+04  3.83700000e-10  0.00000000e+00
1.12682500e-03  1.34541230e+01  9.24450000e-02  2.06400000e+04  4.12800000e-10  0.00000000e+00
1.13809320e-03  1.34564638e+01  9.24490000e-02  2.04370000e+04  4.44100000e-10  0.00000000e+00
1.14947410e-03  1.34586465e+01  9.24540000e-02  2.02360000e+04  4.77800000e-10  0.00000000e+00
1.16096880e-03  1.34606907e+01  9.24590000e-02  2.00360000e+04  5.13900000e-10  0.00000000e+00
1.17257850e-03  1.34626124e+01  9.24640000e-02  1.98390000e+04  5.52600000e-10  0.00000000e+00
1.18430430e-03  1.34645527e+01  9.24700000e-02  1.96440000e+04  5.94300000e-10  0.00000000e+00
1.19614730e-03  1.34662642e+01  9.24750000e-02  1.94500000e+04  6.38900000e-10  0.00000000e+00
1.20810880e-03  1.34681867e+01  9.24800000e-02  1.92590000e+04  6.86900000e-10  0.00000000e+00
1.22018990e-03  1.34697622e+01  9.24850000e-02  1.90690000e+04  7.38300000e-10  0.00000000e+00
1.23239180e-03  1.34712080e+01  9.24900000e-02  1.88810000e+04  7.93600000e-10  0.00000000e+00
1.24471570e-03  1.34725888e+01  9.24960000e-02  1.86960000e+04  8.52800000e-10  0.00000000e+00
1.25716280e-03  1.34739095e+01  9.25010000e-02  1.85120000e+04  9.16300000e-10  0.00000000e+00
1.26973440e-03  1.34753613e+01  9.25070000e-02  1.83290000e+04  9.84500000e-10  0.00000000e+00
1.28243180e-03  1.34765618e+01  9.25120000e-02  1.81490000e+04  1.05800000e-09  0.00000000e+00
1.29525610e-03  1.34777149e+01  9.25180000e-02  1.79700000e+04  1.13600000e-09  0.00000000e+00
1.30820860e-03  1.34788236e+01  9.25230000e-02  1.77940000e+04  1.22000000e-09  0.00000000e+00
1.32129070e-03  1.34798906e+01  9.25290000e-02  1.76180000e+04  1.31000000e-09  0.00000000e+00
1.33450360e-03  1.34809181e+01  9.25350000e-02  1.74450000e+04  1.40700000e-09  0.00000000e+00
