#  Tm:    Z = 69;   Atomic weight = 168.9342 g/mol ;    nominal density:   [INLINE] = 9.2940E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.80522E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.49093E+05
#         19 edges. Edge energies (keV):
# K      5.93896E+01  L I    1.01157E+01  L II   9.61690E+00  L III  8.64800E+00
# M I    2.30680E+00  M II   2.08980E+00  M III  1.88450E+00  M IV   1.51460E+00
# M V    1.46770E+00  N I    4.71700E-01  N II   3.85900E-01  N III  3.36600E-01
# N IV   1.79600E-01  N V    1.79600E-01  N VI   5.30000E-03  N VII  5.30000E-03
# O I    5.32000E-02  O II   3.23000E-02  O III  3.23000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.2098E+00, -7.2240E-01 e/atom
#         Nuclear Thomson correction fNT = -1.5460E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=69, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.24681922e+01  1.00020000e-01  2.46670000e+04  1.78100000e-10  0.00000000e+00
1.02010000e-03  1.24874858e+01  1.00020000e-01  2.44240000e+04  1.91900000e-10  0.00000000e+00
1.03030100e-03  1.24995264e+01  1.00030000e-01  2.41830000e+04  2.06700000e-10  0.00000000e+00
1.04060400e-03  1.25096551e+01  1.00030000e-01  2.39450000e+04  2.22700000e-10  0.00000000e+00
1.05101010e-03  1.25159671e+01  1.00040000e-01  2.37090000e+04  2.39900000e-10  0.00000000e+00
1.06152010e-03  1.25219346e+01  1.00040000e-01  2.34750000e+04  2.58300000e-10  0.00000000e+00
1.07213530e-03  1.25265018e+01  1.00050000e-01  2.32440000e+04  2.78200000e-10  0.00000000e+00
1.08285670e-03  1.25308699e+01  1.00050000e-01  2.30150000e+04  2.99500000e-10  0.00000000e+00
1.09368520e-03  1.25344720e+01  1.00060000e-01  2.27880000e+04  3.22400000e-10  0.00000000e+00
1.10462210e-03  1.25377525e+01  1.00060000e-01  2.25640000e+04  3.47000000e-10  0.00000000e+00
