#  Yb:    Z = 70;   Atomic weight = 173.0400 g/mol ;    nominal density:   [INLINE] = 6.9530E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.87340E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.43183E+05
#         19 edges. Edge energies (keV):
# K      6.13323E+01  L I    1.04864E+01  L II   9.97820E+00  L III  8.94360E+00
# M I    2.39810E+00  M II   2.17300E+00  M III  1.94980E+00  M IV   1.57630E+00
# M V    1.52780E+00  N I    4.87200E-01  N II   3.96700E-01  N III  3.43500E-01
# N IV   1.98100E-01  N V    1.84900E-01  N VI   6.30000E-03  N VII  6.30000E-03
# O I    5.41000E-02  O II   2.34000E-02  O III  2.34000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.2559E+00, -7.4880E-01 e/atom
#         Nuclear Thomson correction fNT = -1.5534E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=70, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.06845454e+01  1.08220000e-01  2.60560000e+04  1.66800000e-10  0.00000000e+00
1.02010000e-03  1.07051636e+01  1.08220000e-01  2.57990000e+04  1.79700000e-10  0.00000000e+00
1.03030100e-03  1.07180880e+01  1.08230000e-01  2.55450000e+04  1.93600000e-10  0.00000000e+00
1.04060400e-03  1.07292101e+01  1.08230000e-01  2.52930000e+04  2.08500000e-10  0.00000000e+00
1.05101010e-03  1.07359135e+01  1.08240000e-01  2.50440000e+04  2.24500000e-10  0.00000000e+00
1.06152010e-03  1.07420345e+01  1.08240000e-01  2.47970000e+04  2.41800000e-10  0.00000000e+00
1.07213530e-03  1.07471264e+01  1.08250000e-01  2.45530000e+04  2.60300000e-10  0.00000000e+00
1.08285670e-03  1.07517685e+01  1.08250000e-01  2.43110000e+04  2.80200000e-10  0.00000000e+00
1.09368520e-03  1.07555925e+01  1.08260000e-01  2.40710000e+04  3.01700000e-10  0.00000000e+00
1.10462210e-03  1.07590704e+01  1.08260000e-01  2.38340000e+04  3.24700000e-10  0.00000000e+00
1.11566830e-03  1.07622582e+01  1.08270000e-01  2.35990000e+04  3.49400000e-10  0.00000000e+00
1.12682500e-03  1.07651996e+01  1.08270000e-01  2.33670000e+04  3.76000000e-10  0.00000000e+00
1.13809320e-03  1.07679291e+01  1.08280000e-01  2.31360000e+04  4.04600000e-10  0.00000000e+00
1.14947410e-03  1.07704745e+01  1.08280000e-01  2.29080000e+04  4.35300000e-10  0.00000000e+00
1.16096880e-03  1.07728583e+01  1.08290000e-01  2.26830000e+04  4.68200000e-10  0.00000000e+00
1.17257850e-03  1.07750990e+01  1.08290000e-01  2.24590000e+04  5.03600000e-10  0.00000000e+00
1.18430430e-03  1.07772123e+01  1.08300000e-01  2.22380000e+04  5.41600000e-10  0.00000000e+00
1.19614730e-03  1.07792111e+01  1.08310000e-01  2.20190000e+04  5.82400000e-10  0.00000000e+00
1.20810880e-03  1.07812288e+01  1.08310000e-01  2.18020000e+04  6.26200000e-10  0.00000000e+00
1.22018990e-03  1.07831671e+01  1.08320000e-01  2.15870000e+04  6.73200000e-10  0.00000000e+00
1.23239180e-03  1.07850391e+01  1.08320000e-01  2.13750000e+04  7.23700000e-10  0.00000000e+00
1.24471570e-03  1.07866500e+01  1.08330000e-01  2.11640000e+04  7.77800000e-10  0.00000000e+00
1.25716280e-03  1.07882439e+01  1.08330000e-01  2.09560000e+04  8.35900000e-10  0.00000000e+00
1.26973440e-03  1.07897178e+01  1.08340000e-01  2.07500000e+04  8.98200000e-10  0.00000000e+00
1.28243180e-03  1.07913313e+01  1.08350000e-01  2.05450000e+04  9.65100000e-10  0.00000000e+00
1.29525610e-03  1.07926745e+01  1.08350000e-01  2.03430000e+04  1.03700000e-09  0.00000000e+00
1.30820860e-03  1.07939656e+01  1.08360000e-01  2.01430000e+04  1.11400000e-09  0.00000000e+00
1.32129070e-03  1.07952076e+01  1.08360000e-01  1.99440000e+04  1.19600000e-09  0.00000000e+00
