#  Lu:    Z = 71;   Atomic weight = 174.9670 g/mol ;    nominal density:   [INLINE] = 9.8110E+00 g/cm3
#         a(barns/atom) = (cm2/g)    2.90540E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.40504E+05
#         19 edges. Edge energies (keV):
# K      6.33138E+01  L I    1.08704E+01  L II   1.03486E+01  L III  9.24410E+00
# M I    2.49120E+00  M II   2.26350E+00  M III  2.02360E+00  M IV   1.63940E+00
# M V    1.58850E+00  N I    5.06200E-01  N II   4.10100E-01  N III  3.59300E-01
# N IV   2.04800E-01  N V    1.95000E-01  N VI   6.90000E-03  N VII  6.90000E-03
# O I    5.68000E-02  O II   2.80000E-02  O III  2.80000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -1.3030E+00, -7.7580E-01 e/atom
#         Nuclear Thomson correction fNT = -1.5805E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=71, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.30836057e+01  7.11230000e-02  1.69360000e+04  1.70500000e-10  0.00000000e+00
1.02010000e-03  1.30979615e+01  7.11250000e-02  1.67690000e+04  1.83700000e-10  0.00000000e+00
1.03030100e-03  1.31062860e+01  7.11280000e-02  1.66030000e+04  1.97900000e-10  0.00000000e+00
1.04060400e-03  1.31133041e+01  7.11310000e-02  1.64400000e+04  2.13200000e-10  0.00000000e+00
1.05101010e-03  1.31176422e+01  7.11340000e-02  1.62780000e+04  2.29700000e-10  0.00000000e+00
1.06152010e-03  1.31215929e+01  7.11360000e-02  1.61170000e+04  2.47300000e-10  0.00000000e+00
1.07213530e-03  1.31251230e+01  7.11390000e-02  1.59580000e+04  2.66400000e-10  0.00000000e+00
1.08285670e-03  1.31282232e+01  7.11420000e-02  1.58010000e+04  2.86800000e-10  0.00000000e+00
1.09368520e-03  1.31306668e+01  7.11450000e-02  1.56450000e+04  3.08800000e-10  0.00000000e+00
1.10462210e-03  1.31328981e+01  7.11480000e-02  1.54910000e+04  3.32400000e-10  0.00000000e+00
1.11566830e-03  1.31349506e+01  7.11510000e-02  1.53380000e+04  3.57700000e-10  0.00000000e+00
1.12682500e-03  1.31368501e+01  7.11540000e-02  1.51870000e+04  3.85000000e-10  0.00000000e+00
1.13809320e-03  1.31386174e+01  7.11570000e-02  1.50370000e+04  4.14300000e-10  0.00000000e+00
1.14947410e-03  1.31402694e+01  7.11600000e-02  1.48890000e+04  4.45800000e-10  0.00000000e+00
1.16096880e-03  1.31418197e+01  7.11630000e-02  1.47420000e+04  4.79600000e-10  0.00000000e+00
1.17257850e-03  1.31432798e+01  7.11660000e-02  1.45970000e+04  5.15900000e-10  0.00000000e+00
1.18430430e-03  1.31446592e+01  7.11690000e-02  1.44530000e+04  5.54800000e-10  0.00000000e+00
1.19614730e-03  1.31459659e+01  7.11720000e-02  1.43100000e+04  5.96700000e-10  0.00000000e+00
1.20810880e-03  1.31472067e+01  7.11750000e-02  1.41690000e+04  6.41600000e-10  0.00000000e+00
1.22018990e-03  1.31485082e+01  7.11790000e-02  1.40300000e+04  6.89800000e-10  0.00000000e+00
1.23239180e-03  1.31497671e+01  7.11820000e-02  1.38910000e+04  7.41600000e-10  0.00000000e+00
1.24471570e-03  1.31509899e+01  7.11850000e-02  1.37540000e+04  7.97100000e-10  0.00000000e+00
1.25716280e-03  1.31519949e+01  7.11880000e-02  1.36190000e+04  8.56700000e-10  0.00000000e+00
1.26973440e-03  1.31530113e+01  7.11920000e-02  1.34850000e+04  9.20600000e-10  0.00000000e+00
1.28243180e-03  1.31539354e+01  7.11950000e-02  1.33520000e+04  9.89200000e-10  0.00000000e+00
1.29525610e-03  1.31550101e+01  7.11990000e-02  1.32200000e+04  1.06300000e-09  0.00000000e+00
1.30820860e-03  1.31558526e+01  7.12020000e-02  1.30900000e+04  1.14200000e-09  0.00000000e+00
1.32129070e-03  1.31566641e+01  7.12050000e-02  1.29610000e+04  1.22600000e-09  0.00000000e+00
1.33450360e-03  1.31574464e+01  7.12090000e-02  1.28330000e+04  1.31700000e-09  0.00000000e+00
1.34784860e-03  1.31582010e+01  7.12130000e-02  1.27070000e+04  1.41400000e-09  0.00000000e+00
1.36132710e-03  1.31589293e+01  7.12160000e-02  1.25820000e+04  1.51800000e-09  0.00000000e+00
1.37494030e-03  1.31596325e+01  7.12200000e-02  1.24580000e+04  1.63000000e-09  0.00000000e+00
1.38868970e-03  1.31603116e+01  7.12230000e-02  1.23350000e+04  1.74900000e-09  0.00000000e+00
1.40257660e-03  1.31609678e+01  7.12270000e-02  1.22140000e+04  1.87800000e-09  0.00000000e+00
1.41660240e-03  1.31616019e+01  7.12310000e-02  1.20930000e+04  2.01500000e-09  0.00000000e+00
1.43076840e-03  1.31622148e+01  7.12350000e-02  1.19740000e+04  2.16200000e-09  0.00000000e+00
1.44507600e-03  1.31628072e+01  7.12380000e-02  1.18560000e+04  2.31900000e-09  0.00000000e+00
1.45952680e-03  1.31634377e+01  7.12420000e-02  1.17390000e+04  2.48800000e-09  0.00000000e+00
1.47412200e-03  1.31639903e+01  7.12460000e-02  1.16240000e+04  2.66900000e-09  0.00000000e+00
1.48886320e-03  1.31645243e+01  7.12500000e-02  1.15090000e+04  2.86200000e-09  0.00000000e+00
1.50375190e-03  1.31650402e+01  7.12540000e-02  1.13960000e+04  3.06900000e-09  0.00000000e+00
1.51878940e-03  1.31655386e+01  7.12580000e-02  1.12840000e+04  3.29100000e-09  0.00000000e+00
1.53397720e-03  1.31660197e+01  7.12620000e-02  1.11730000e+04  3.52800000e-09  0.00000000e+00
1.54931700e-03  1.31664841e+01  7.12660000e-02  1.10630000e+04  3.78100000e-09  0.00000000e+00
1.56481020e-03  1.31669320e+01  7.12700000e-02  1.09540000e+04  4.05300000e-09  0.00000000e+00
1.58045820e-03  1.31673637e+01  7.12750000e-02  1.08460000e+04  4.34300000e-09  0.00000000e+00
1.59626280e-03  1.31677797e+01  7.12790000e-02  1.07390000e+04  4.65300000e-09  0.00000000e+00
1.61222540e-03  1.31681801e+01  7.12830000e-02  1.06340000e+04  4.98500000e-09  0.00000000e+00
1.62834770e-03  1.31685651e+01  7.12870000e-02  1.05290000e+04  5.34000000e-09  0.00000000e+00
1.64463110e-03  1.31689350e+01  7.12920000e-02  1.04250000e+04  5.72000000e-09  0.00000000e+00
1.66107740e-03  1.31692900e+01  7.12960000e-02  1.03230000e+04  6.12600000e-09  0.00000000e+00
1.67768820e-03  1.31696302e+01  7.13010000e-02  1.02210000e+04  6.55900000e-09  0.00000000e+00
1.69446500e-03  1.31699557e+01  7.13050000e-02  1.01210000e+04  7.02300000e-09  0.00000000e+00
1.71140970e-03  1.31702668e+01  7.13100000e-02  1.00210000e+04  7.51800000e-09  0.00000000e+00
1.72852380e-03  1.31705634e+01  7.13140000e-02  9.92250000e+03  8.04700000e-09  0.00000000e+00
