#  Hf:    Z = 72;   Atomic weight = 178.4900 g/mol ;    nominal density:   [INLINE] = 1.3290E+01 g/cm3
#         a(barns/atom) = (cm2/g)    2.96390E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.35757E+05
#         20 edges. Edge energies (keV):
# K      6.53508E+01  L I    1.12707E+01  L II   1.07394E+01  L III  9.56070E+00
# M I    2.60090E+00  M II   2.36540E+00  M III  2.10760E+00  M IV   1.71640E+00
# M V    1.66170E+00  N I    5.38100E-01  N II   4.37000E-01  N III  3.80400E-01
# N IV   2.23800E-01  N V    2.13700E-01  N VI   1.71000E-02  N VII  1.71000E-02
# O I    6.49000E-02  O II   3.81000E-02  O III  3.06000E-02  O IV   5.00000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.3514E+00, -8.0280E-01 e/atom
#         Nuclear Thomson correction fNT = -1.5933E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=72, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.07806269e+01  4.91100000e-02  1.14630000e+04  1.84100000e-10  0.00000000e+00
1.02010000e-03  1.07907965e+01  4.91120000e-02  1.13500000e+04  1.98300000e-10  0.00000000e+00
1.03030100e-03  1.07960960e+01  4.91140000e-02  1.12390000e+04  2.13600000e-10  0.00000000e+00
1.04060400e-03  1.08003809e+01  4.91170000e-02  1.11280000e+04  2.30100000e-10  0.00000000e+00
1.05101010e-03  1.08029844e+01  4.91190000e-02  1.10180000e+04  2.47700000e-10  0.00000000e+00
1.06152010e-03  1.08054217e+01  4.91220000e-02  1.09100000e+04  2.66700000e-10  0.00000000e+00
1.07213530e-03  1.08075692e+01  4.91240000e-02  1.08020000e+04  2.87200000e-10  0.00000000e+00
1.08285670e-03  1.08093919e+01  4.91270000e-02  1.06960000e+04  3.09100000e-10  0.00000000e+00
1.09368520e-03  1.08106456e+01  4.91290000e-02  1.05900000e+04  3.32700000e-10  0.00000000e+00
1.10462210e-03  1.08117574e+01  4.91320000e-02  1.04860000e+04  3.58100000e-10  0.00000000e+00
1.11566830e-03  1.08127469e+01  4.91340000e-02  1.03830000e+04  3.85300000e-10  0.00000000e+00
1.12682500e-03  1.08136299e+01  4.91370000e-02  1.02810000e+04  4.14600000e-10  0.00000000e+00
1.13809320e-03  1.08144189e+01  4.91390000e-02  1.01790000e+04  4.46000000e-10  0.00000000e+00
