#  Ta:    Z = 73;   Atomic weight = 180.9479 g/mol ;    nominal density:   [INLINE] = 1.6624E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.00471E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.32555E+05
#         20 edges. Edge energies (keV):
# K      6.74164E+01  L I    1.16815E+01  L II   1.11361E+01  L III  9.88110E+00
# M I    2.70800E+00  M II   2.46870E+00  M III  2.19400E+00  M IV   1.79320E+00
# M V    1.73510E+00  N I    5.65500E-01  N II   4.64800E-01  N III  4.04500E-01
# N IV   2.41300E-01  N V    2.29300E-01  N VI   2.50000E-02  N VII  2.50000E-02
# O I    7.11000E-02  O II   4.49000E-02  O III  3.64000E-02  O IV   5.70000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.4008E+00, -8.3100E-01 e/atom
#         Nuclear Thomson correction fNT = -1.6156E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=73, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  1.02099193e+01  4.25520000e-02  9.79780000e+03  2.01600000e-10  0.00000000e+00
1.02010000e-03  1.02184386e+01  4.25580000e-02  9.70210000e+03  2.17100000e-10  0.00000000e+00
1.03030100e-03  1.02228460e+01  4.25650000e-02  9.60750000e+03  2.33800000e-10  0.00000000e+00
1.04060400e-03  1.02262251e+01  4.25710000e-02  9.51380000e+03  2.51700000e-10  0.00000000e+00
1.05101010e-03  1.02283731e+01  4.25770000e-02  9.42100000e+03  2.71000000e-10  0.00000000e+00
1.06152020e-03  1.02301499e+01  4.25840000e-02  9.32910000e+03  2.91700000e-10  0.00000000e+00
1.07213540e-03  1.02322278e+01  4.25900000e-02  9.23820000e+03  3.14000000e-10  0.00000000e+00
1.08285670e-03  1.02333884e+01  4.25970000e-02  9.14810000e+03  3.37900000e-10  0.00000000e+00
1.09368530e-03  1.02346780e+01  4.26040000e-02  9.05900000e+03  3.63600000e-10  0.00000000e+00
1.10462210e-03  1.02355130e+01  4.26100000e-02  8.97070000e+03  3.91300000e-10  0.00000000e+00
1.11566830e-03  1.02362456e+01  4.26170000e-02  8.88330000e+03  4.20900000e-10  0.00000000e+00
1.12682500e-03  1.02368882e+01  4.26240000e-02  8.79680000e+03  4.52800000e-10  0.00000000e+00
1.13809330e-03  1.02374512e+01  4.26310000e-02  8.71120000e+03  4.87000000e-10  0.00000000e+00
1.14947420e-03  1.02379427e+01  4.26380000e-02  8.62640000e+03  5.23700000e-10  0.00000000e+00
1.16096900e-03  1.02383694e+01  4.26460000e-02  8.54240000e+03  5.63200000e-10  0.00000000e+00
1.17257860e-03  1.02387371e+01  4.26530000e-02  8.45930000e+03  6.05500000e-10  0.00000000e+00
1.18430440e-03  1.02390504e+01  4.26610000e-02  8.37700000e+03  6.51000000e-10  0.00000000e+00
