#  W:    Z = 74;   Atomic weight = 183.8500 g/mol ;    nominal density:   [INLINE] = 1.9300E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.05290E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.28884E+05
#         20 edges. Edge energies (keV):
# K      6.95250E+01  L I    1.20998E+01  L II   1.15440E+01  L III  1.02068E+01
# M I    2.81960E+00  M II   2.57490E+00  M III  2.28100E+00  M IV   1.87160E+00
# M V    1.80920E+00  N I    5.95000E-01  N II   4.91600E-01  N III  4.25300E-01
# N IV   2.58800E-01  N V    2.45400E-01  N VI   3.65000E-02  N VII  3.36000E-02
# O I    7.71000E-02  O II   4.68000E-02  O III  3.56000E-02  O IV   6.10000E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.4515E+00, -8.5980E-01 e/atom
#         Nuclear Thomson correction fNT = -1.6340E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=74, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.79082223e+00  3.77320000e-02  8.55080000e+03  2.16800000e-10  0.00000000e+00
1.02010000e-03  9.79795859e+00  3.77390000e-02  8.46770000e+03  2.33400000e-10  0.00000000e+00
1.03030100e-03  9.80197436e+00  3.77460000e-02  8.38540000e+03  2.51300000e-10  0.00000000e+00
1.04060400e-03  9.80459175e+00  3.77530000e-02  8.30390000e+03  2.70600000e-10  0.00000000e+00
1.05101010e-03  9.80671663e+00  3.77600000e-02  8.22330000e+03  2.91300000e-10  0.00000000e+00
1.06152020e-03  9.80814032e+00  3.77680000e-02  8.14340000e+03  3.13500000e-10  0.00000000e+00
1.07213540e-03  9.80972592e+00  3.77750000e-02  8.06430000e+03  3.37400000e-10  0.00000000e+00
1.08285670e-03  9.81081674e+00  3.77820000e-02  7.98610000e+03  3.63100000e-10  0.00000000e+00
1.09368530e-03  9.81175664e+00  3.77900000e-02  7.90860000e+03  3.90600000e-10  0.00000000e+00
1.10462210e-03  9.81236670e+00  3.77980000e-02  7.83190000e+03  4.20200000e-10  0.00000000e+00
1.11566830e-03  9.81288722e+00  3.78050000e-02  7.75590000e+03  4.52000000e-10  0.00000000e+00
1.12682500e-03  9.81332873e+00  3.78130000e-02  7.68070000e+03  4.86200000e-10  0.00000000e+00
1.13809330e-03  9.81369965e+00  3.78210000e-02  7.60630000e+03  5.22800000e-10  0.00000000e+00
1.14947420e-03  9.81400685e+00  3.78290000e-02  7.53260000e+03  5.62200000e-10  0.00000000e+00
1.16096900e-03  9.81425596e+00  3.78370000e-02  7.45960000e+03  6.04400000e-10  0.00000000e+00
1.17257860e-03  9.81445168e+00  3.78460000e-02  7.38740000e+03  6.49700000e-10  0.00000000e+00
1.18430440e-03  9.81459793e+00  3.78540000e-02  7.31580000e+03  6.98300000e-10  0.00000000e+00
1.19614750e-03  9.81469802e+00  3.78630000e-02  7.24500000e+03  7.50500000e-10  0.00000000e+00
1.20810900e-03  9.81475478e+00  3.78710000e-02  7.17490000e+03  8.06500000e-10  0.00000000e+00
1.22019000e-03  9.81477060e+00  3.78800000e-02  7.10560000e+03  8.66500000e-10  0.00000000e+00
1.23239190e-03  9.81474752e+00  3.78890000e-02  7.03690000e+03  9.30900000e-10  0.00000000e+00
1.24471590e-03  9.81468731e+00  3.78980000e-02  6.96880000e+03  1.00000000e-09  0.00000000e+00
1.25716300e-03  9.81459148e+00  3.79070000e-02  6.90150000e+03  1.07400000e-09  0.00000000e+00
1.26973460e-03  9.81486073e+00  3.79160000e-02  6.83490000e+03  1.15300000e-09  0.00000000e+00
1.28243200e-03  9.81467520e+00  3.79260000e-02  6.76890000e+03  1.23900000e-09  0.00000000e+00
1.29525630e-03  9.81445899e+00  3.79350000e-02  6.70350000e+03  1.33000000e-09  0.00000000e+00
1.30820890e-03  9.81421280e+00  3.79450000e-02  6.63890000e+03  1.42700000e-09  0.00000000e+00
1.32129100e-03  9.81398480e+00  3.79550000e-02  6.57480000e+03  1.53200000e-09  0.00000000e+00
1.33450390e-03  9.81382931e+00  3.79650000e-02  6.51140000e+03  1.64400000e-09  0.00000000e+00
1.34784890e-03  9.81348649e+00  3.79750000e-02  6.44870000e+03  1.76500000e-09  0.00000000e+00
