#  Re:    Z = 75;   Atomic weight = 186.2070 g/mol ;    nominal density:   [INLINE] = 2.0980E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.09204E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.25987E+05
#         21 edges. Edge energies (keV):
# K      7.16764E+01  L I    1.25267E+01  L II   1.19587E+01  L III  1.05353E+01
# M I    2.93170E+00  M II   2.68160E+00  M III  2.36730E+00  M IV   1.94890E+00
# M V    1.88290E+00  N I    6.25000E-01  N II   5.17900E-01  N III  4.44400E-01
# N IV   2.73700E-01  N V    2.60200E-01  N VI   4.06000E-02  N VII  4.06000E-02
# O I    8.28000E-02  O II   4.56000E-02  O III  3.46000E-02  O IV   6.06267E-03
# O V    5.20913E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.5033E+00, -8.8920E-01 e/atom
#         Nuclear Thomson correction fNT = -1.6572E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=75, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.78330044e+00  3.66660000e-02  8.20410000e+03  2.28000000e-10  0.00000000e+00
1.02010000e-03  8.78983876e+00  3.66760000e-02  8.12500000e+03  2.45400000e-10  0.00000000e+00
1.03030100e-03  8.79414222e+00  3.66860000e-02  8.04670000e+03  2.64200000e-10  0.00000000e+00
1.04060400e-03  8.79627632e+00  3.66960000e-02  7.96930000e+03  2.84400000e-10  0.00000000e+00
1.05101010e-03  8.79810019e+00  3.67060000e-02  7.89260000e+03  3.06000000e-10  0.00000000e+00
1.06152020e-03  8.79933836e+00  3.67170000e-02  7.81660000e+03  3.29300000e-10  0.00000000e+00
1.07213540e-03  8.80058253e+00  3.67270000e-02  7.74150000e+03  3.54400000e-10  0.00000000e+00
1.08285670e-03  8.80169511e+00  3.67380000e-02  7.66710000e+03  3.81200000e-10  0.00000000e+00
1.09368530e-03  8.80243744e+00  3.67490000e-02  7.59340000e+03  4.10100000e-10  0.00000000e+00
1.10462210e-03  8.80286483e+00  3.67600000e-02  7.52050000e+03  4.41100000e-10  0.00000000e+00
1.11566830e-03  8.80320310e+00  3.67710000e-02  7.44830000e+03  4.74400000e-10  0.00000000e+00
1.12682500e-03  8.80346229e+00  3.67820000e-02  7.37680000e+03  5.10100000e-10  0.00000000e+00
1.13809330e-03  8.80365041e+00  3.67940000e-02  7.30600000e+03  5.48400000e-10  0.00000000e+00
1.14947420e-03  8.80377395e+00  3.68060000e-02  7.23600000e+03  5.89600000e-10  0.00000000e+00
1.16096900e-03  8.80383821e+00  3.68170000e-02  7.16660000e+03  6.33800000e-10  0.00000000e+00
1.17257860e-03  8.80384761e+00  3.68290000e-02  7.09800000e+03  6.81200000e-10  0.00000000e+00
1.18430440e-03  8.80380581e+00  3.68420000e-02  7.03000000e+03  7.32000000e-10  0.00000000e+00
1.19614750e-03  8.80371589e+00  3.68540000e-02  6.96280000e+03  7.86600000e-10  0.00000000e+00
1.20810900e-03  8.80358046e+00  3.68660000e-02  6.89620000e+03  8.45100000e-10  0.00000000e+00
1.22019000e-03  8.80340171e+00  3.68790000e-02  6.83020000e+03  9.07900000e-10  0.00000000e+00
1.23239190e-03  8.80318152e+00  3.68920000e-02  6.76500000e+03  9.75200000e-10  0.00000000e+00
1.24471590e-03  8.80292147e+00  3.69050000e-02  6.70040000e+03  1.04700000e-09  0.00000000e+00
1.25716300e-03  8.80262293e+00  3.69180000e-02  6.63640000e+03  1.12500000e-09  0.00000000e+00
1.26973460e-03  8.80242747e+00  3.69320000e-02  6.57310000e+03  1.20800000e-09  0.00000000e+00
1.28243200e-03  8.80231385e+00  3.69450000e-02  6.51040000e+03  1.29600000e-09  0.00000000e+00
1.29525630e-03  8.80188429e+00  3.69590000e-02  6.44840000e+03  1.39200000e-09  0.00000000e+00
1.30820890e-03  8.80142136e+00  3.69730000e-02  6.38700000e+03  1.49400000e-09  0.00000000e+00
1.32129100e-03  8.80092550e+00  3.69880000e-02  6.32620000e+03  1.60300000e-09  0.00000000e+00
