#  Os:    Z = 76;   Atomic weight = 190.2000 g/mol ;    nominal density:   [INLINE] = 2.2530E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.15835E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.21242E+05
#         21 edges. Edge energies (keV):
# K      7.38708E+01  L I    1.29680E+01  L II   1.23850E+01  L III  1.08709E+01
# M I    3.04850E+00  M II   2.79220E+00  M III  2.45720E+00  M IV   2.03080E+00
# M V    1.96010E+00  N I    6.54300E-01  N II   5.46500E-01  N III  4.68200E-01
# N IV   2.89400E-01  N V    2.72800E-01  N VI   4.63000E-02  N VII  4.63000E-02
# O I    8.37000E-02  O II   5.80000E-02  O III  4.54000E-02  O IV   7.05265E-03
# O V    6.02794E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.5563E+00, -9.1920E-01 e/atom
#         Nuclear Thomson correction fNT = -1.6659E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=76, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.11088887e+00  3.63240000e-02  7.95680000e+03  2.25700000e-10  0.00000000e+00
1.02010000e-03  8.11756986e+00  3.63350000e-02  7.88040000e+03  2.43100000e-10  0.00000000e+00
1.03030100e-03  8.12166770e+00  3.63450000e-02  7.80470000e+03  2.61800000e-10  0.00000000e+00
1.04060400e-03  8.12379347e+00  3.63560000e-02  7.72970000e+03  2.81900000e-10  0.00000000e+00
1.05101010e-03  8.12559844e+00  3.63680000e-02  7.65550000e+03  3.03500000e-10  0.00000000e+00
1.06152020e-03  8.12685441e+00  3.63790000e-02  7.58210000e+03  3.26700000e-10  0.00000000e+00
1.07213540e-03  8.12813837e+00  3.63900000e-02  7.50940000e+03  3.51700000e-10  0.00000000e+00
1.08285670e-03  8.12930354e+00  3.64020000e-02  7.43740000e+03  3.78500000e-10  0.00000000e+00
1.09368530e-03  8.13005822e+00  3.64140000e-02  7.36610000e+03  4.07300000e-10  0.00000000e+00
1.10462210e-03  8.13051002e+00  3.64250000e-02  7.29560000e+03  4.38200000e-10  0.00000000e+00
1.11566830e-03  8.13087525e+00  3.64380000e-02  7.22570000e+03  4.71400000e-10  0.00000000e+00
1.12682500e-03  8.13116378e+00  3.64500000e-02  7.15660000e+03  5.07100000e-10  0.00000000e+00
1.13809330e-03  8.13138349e+00  3.64620000e-02  7.08820000e+03  5.45300000e-10  0.00000000e+00
1.14947420e-03  8.13154074e+00  3.64750000e-02  7.02040000e+03  5.86400000e-10  0.00000000e+00
1.16096900e-03  8.13164073e+00  3.64880000e-02  6.95330000e+03  6.30600000e-10  0.00000000e+00
1.17257860e-03  8.13168777e+00  3.65000000e-02  6.88690000e+03  6.77900000e-10  0.00000000e+00
1.18430440e-03  8.13168548e+00  3.65140000e-02  6.82120000e+03  7.28700000e-10  0.00000000e+00
1.19614750e-03  8.13163688e+00  3.65270000e-02  6.75610000e+03  7.83200000e-10  0.00000000e+00
1.20810900e-03  8.13154452e+00  3.65400000e-02  6.69170000e+03  8.41700000e-10  0.00000000e+00
1.22019000e-03  8.13141057e+00  3.65540000e-02  6.62790000e+03  9.04400000e-10  0.00000000e+00
1.23239190e-03  8.13123690e+00  3.65680000e-02  6.56480000e+03  9.71700000e-10  0.00000000e+00
1.24471590e-03  8.13102506e+00  3.65820000e-02  6.50230000e+03  1.04400000e-09  0.00000000e+00
1.25716300e-03  8.13077642e+00  3.65960000e-02  6.44040000e+03  1.12100000e-09  0.00000000e+00
1.26973460e-03  8.13049210e+00  3.66110000e-02  6.37920000e+03  1.20400000e-09  0.00000000e+00
1.28243200e-03  8.13031545e+00  3.66250000e-02  6.31850000e+03  1.29300000e-09  0.00000000e+00
1.29525630e-03  8.13022513e+00  3.66400000e-02  6.25850000e+03  1.38800000e-09  0.00000000e+00
1.30820890e-03  8.12981759e+00  3.66550000e-02  6.19910000e+03  1.49000000e-09  0.00000000e+00
1.32129100e-03  8.12937891e+00  3.66710000e-02  6.14030000e+03  1.60000000e-09  0.00000000e+00
1.33450390e-03  8.12890945e+00  3.66860000e-02  6.08210000e+03  1.71700000e-09  0.00000000e+00
1.34784890e-03  8.12840951e+00  3.67020000e-02  6.02450000e+03  1.84200000e-09  0.00000000e+00
