#  Ir:    Z = 77;   Atomic weight = 192.2200 g/mol ;    nominal density:   [INLINE] = 2.2390E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.19189E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.18917E+05
#         21 edges. Edge energies (keV):
# K      7.61110E+01  L I    1.34185E+01  L II   1.28241E+01  L III  1.12152E+01
# M I    3.17370E+00  M II   2.90870E+00  M III  2.55070E+00  M IV   2.11610E+00
# M V    2.04040E+00  N I    6.90100E-01  N II   5.77100E-01  N III  4.94300E-01
# N IV   3.11400E-01  N V    2.94900E-01  N VI   6.34000E-02  N VII  6.05000E-02
# O I    9.52000E-02  O II   6.30000E-02  O III  5.05000E-02  O IV   8.06275E-03
# O V    6.85456E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.6105E+00, -9.4980E-01 e/atom
#         Nuclear Thomson correction fNT = -1.6921E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=77, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.58106513e+00  3.67090000e-02  7.95670000e+03  2.19500000e-10  0.00000000e+00
1.02010000e-03  7.58671591e+00  3.67210000e-02  7.88050000e+03  2.36500000e-10  0.00000000e+00
1.03030100e-03  7.59082517e+00  3.67340000e-02  7.80520000e+03  2.54700000e-10  0.00000000e+00
1.04060400e-03  7.59296851e+00  3.67470000e-02  7.73060000e+03  2.74300000e-10  0.00000000e+00
1.05101010e-03  7.59472066e+00  3.67600000e-02  7.65670000e+03  2.95300000e-10  0.00000000e+00
1.06152020e-03  7.59603078e+00  3.67730000e-02  7.58360000e+03  3.18000000e-10  0.00000000e+00
1.07213540e-03  7.59710069e+00  3.67860000e-02  7.51120000e+03  3.42300000e-10  0.00000000e+00
1.08285670e-03  7.59858230e+00  3.67990000e-02  7.43960000e+03  3.68500000e-10  0.00000000e+00
1.09368530e-03  7.59920965e+00  3.68130000e-02  7.36860000e+03  3.96500000e-10  0.00000000e+00
1.10462210e-03  7.59988546e+00  3.68270000e-02  7.29840000e+03  4.26700000e-10  0.00000000e+00
1.11566830e-03  7.60029515e+00  3.68410000e-02  7.22890000e+03  4.59100000e-10  0.00000000e+00
