#  Pt:    Z = 78;   Atomic weight = 195.0800 g/mol ;    nominal density:   [INLINE] = 2.1410E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.23938E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.15708E+05
#         21 edges. Edge energies (keV):
# K      7.83948E+01  L I    1.38799E+01  L II   1.32726E+01  L III  1.15637E+01
# M I    3.29600E+00  M II   3.02650E+00  M III  2.64540E+00  M IV   2.20190E+00
# M V    2.12160E+00  N I    7.22000E-01  N II   6.09200E-01  N III  5.19000E-01
# N IV   3.30800E-01  N V    3.13300E-01  N VI   7.43000E-02  N VII  7.11000E-02
# O I    1.01700E-01  O II   6.53000E-02  O III  5.17000E-02  O IV   7.43991E-03
# O V    6.12538E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.6659E+00, -9.8160E-01 e/atom
#         Nuclear Thomson correction fNT = -1.7109E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=78, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.69718577e+00  4.01560000e-02  8.57620000e+03  2.03300000e-10  0.00000000e+00
1.02010000e-03  6.70381163e+00  4.01770000e-02  8.49580000e+03  2.19100000e-10  0.00000000e+00
1.03030100e-03  6.70820035e+00  4.01990000e-02  8.41630000e+03  2.36000000e-10  0.00000000e+00
1.04060400e-03  6.71048194e+00  4.02210000e-02  8.33750000e+03  2.54300000e-10  0.00000000e+00
1.05101010e-03  6.71229230e+00  4.02440000e-02  8.25960000e+03  2.73900000e-10  0.00000000e+00
1.06152020e-03  6.71360854e+00  4.02670000e-02  8.18240000e+03  2.95000000e-10  0.00000000e+00
1.07213540e-03  6.71464783e+00  4.02900000e-02  8.10610000e+03  3.17600000e-10  0.00000000e+00
1.08285670e-03  6.71591031e+00  4.03130000e-02  8.03040000e+03  3.42000000e-10  0.00000000e+00
1.09368530e-03  6.71662365e+00  4.03370000e-02  7.95560000e+03  3.68100000e-10  0.00000000e+00
1.10462210e-03  6.71720052e+00  4.03610000e-02  7.88150000e+03  3.96300000e-10  0.00000000e+00
1.11566830e-03  6.71749675e+00  4.03850000e-02  7.80820000e+03  4.26500000e-10  0.00000000e+00
1.12682500e-03  6.71770179e+00  4.04100000e-02  7.73560000e+03  4.58900000e-10  0.00000000e+00
1.13809330e-03  6.71782532e+00  4.04350000e-02  7.66380000e+03  4.93800000e-10  0.00000000e+00
1.14947420e-03  6.71787507e+00  4.04600000e-02  7.59270000e+03  5.31200000e-10  0.00000000e+00
1.16096900e-03  6.71785725e+00  4.04860000e-02  7.52230000e+03  5.71400000e-10  0.00000000e+00
1.17257860e-03  6.71777697e+00  4.05120000e-02  7.45260000e+03  6.14600000e-10  0.00000000e+00
1.18430440e-03  6.71763845e+00  4.05390000e-02  7.38360000e+03  6.60900000e-10  0.00000000e+00
1.19614750e-03  6.71744517e+00  4.05650000e-02  7.31540000e+03  7.10600000e-10  0.00000000e+00
1.20810900e-03  6.71720009e+00  4.05930000e-02  7.24780000e+03  7.64000000e-10  0.00000000e+00
1.22019000e-03  6.71690567e+00  4.06200000e-02  7.18090000e+03  8.21200000e-10  0.00000000e+00
1.23239190e-03  6.71656399e+00  4.06480000e-02  7.11480000e+03  8.82600000e-10  0.00000000e+00
1.24471590e-03  6.71617681e+00  4.06770000e-02  7.04920000e+03  9.48500000e-10  0.00000000e+00
1.25716300e-03  6.71574562e+00  4.07060000e-02  6.98440000e+03  1.01900000e-09  0.00000000e+00
1.26973460e-03  6.71527167e+00  4.07350000e-02  6.92020000e+03  1.09500000e-09  0.00000000e+00
1.28243200e-03  6.71475601e+00  4.07650000e-02  6.85670000e+03  1.17600000e-09  0.00000000e+00
1.29525630e-03  6.71419953e+00  4.07950000e-02  6.79380000e+03  1.26300000e-09  0.00000000e+00
1.30820890e-03  6.71374612e+00  4.08250000e-02  6.73160000e+03  1.35700000e-09  0.00000000e+00
1.32129100e-03  6.71332005e+00  4.08560000e-02  6.67000000e+03  1.45700000e-09  0.00000000e+00
1.33450390e-03  6.71262767e+00  4.08880000e-02  6.60910000e+03  1.56400000e-09  0.00000000e+00
1.34784890e-03  6.71189772e+00  4.09200000e-02  6.54880000e+03  1.67900000e-09  0.00000000e+00
1.36132740e-03  6.71113038e+00  4.09520000e-02  6.48910000e+03  1.80300000e-09  0.00000000e+00
1.37494070e-03  6.71032578e+00  4.09850000e-02  6.43000000e+03  1.93500000e-09  0.00000000e+00
1.38869010e-03  6.70959711e+00  4.10190000e-02  6.37160000e+03  2.07600000e-09  0.00000000e+00
1.40257700e-03  6.70875637e+00  4.10530000e-02  6.31370000e+03  2.22700000e-09  0.00000000e+00
1.41660280e-03  6.70783362e+00  4.10870000e-02  6.25640000e+03  2.39000000e-09  0.00000000e+00
1.43076880e-03  6.70691678e+00  4.11220000e-02  6.19980000e+03  2.56300000e-09  0.00000000e+00
1.44507650e-03  6.70591892e+00  4.11580000e-02  6.14370000e+03  2.74900000e-09  0.00000000e+00
1.45952720e-03  6.70488355e+00  4.11940000e-02  6.08820000e+03  2.94800000e-09  0.00000000e+00
1.47412250e-03  6.70381041e+00  4.12310000e-02  6.03330000e+03  3.16100000e-09  0.00000000e+00
1.48886370e-03  6.70269915e+00  4.12680000e-02  5.97900000e+03  3.38900000e-09  0.00000000e+00
1.50375240e-03  6.70154943e+00  4.13060000e-02  5.92520000e+03  3.63300000e-09  0.00000000e+00
1.51878990e-03  6.70036085e+00  4.13440000e-02  5.87200000e+03  3.89400000e-09  0.00000000e+00
1.53397780e-03  6.69913296e+00  4.13830000e-02  5.81930000e+03  4.17300000e-09  0.00000000e+00
1.54931760e-03  6.69786530e+00  4.14230000e-02  5.76730000e+03  4.47100000e-09  0.00000000e+00
1.56481070e-03  6.69655737e+00  4.14630000e-02  5.71570000e+03  4.79000000e-09  0.00000000e+00
1.58045890e-03  6.69520864e+00  4.15040000e-02  5.66470000e+03  5.13200000e-09  0.00000000e+00
1.59626340e-03  6.69381854e+00  4.15460000e-02  5.61430000e+03  5.49700000e-09  0.00000000e+00
1.61222610e-03  6.69238648e+00  4.15880000e-02  5.56430000e+03  5.88700000e-09  0.00000000e+00
1.62834830e-03  6.69097550e+00  4.16310000e-02  5.51490000e+03  6.30400000e-09  0.00000000e+00
1.64463180e-03  6.68945683e+00  4.16750000e-02  5.46610000e+03  6.75000000e-09  0.00000000e+00
1.66107810e-03  6.68789424e+00  4.17200000e-02  5.41770000e+03  7.22600000e-09  0.00000000e+00
1.67768890e-03  6.68628702e+00  4.17650000e-02  5.36990000e+03  7.73500000e-09  0.00000000e+00
1.69446580e-03  6.68463443e+00  4.18110000e-02  5.32260000e+03  8.27800000e-09  0.00000000e+00
1.71141050e-03  6.68293569e+00  4.18570000e-02  5.27580000e+03  8.85900000e-09  0.00000000e+00
1.72852460e-03  6.68119001e+00  4.19050000e-02  5.22950000e+03  9.47900000e-09  0.00000000e+00
1.74580980e-03  6.67939655e+00  4.19530000e-02  5.18370000e+03  1.01400000e-08  0.00000000e+00
1.76326790e-03  6.67755447e+00  4.20020000e-02  5.13830000e+03  1.08500000e-08  0.00000000e+00
1.78090060e-03  6.67566286e+00  4.20520000e-02  5.09350000e+03  1.16000000e-08  0.00000000e+00
1.79870960e-03  6.67372081e+00  4.21030000e-02  5.04920000e+03  1.24100000e-08  0.00000000e+00
1.81669670e-03  6.67172738e+00  4.21550000e-02  5.00530000e+03  1.32700000e-08  0.00000000e+00
1.83486370e-03  6.66968159e+00  4.22080000e-02  4.96200000e+03  1.41900000e-08  0.00000000e+00
1.85321230e-03  6.66758242e+00  4.22610000e-02  4.91910000e+03  1.51700000e-08  0.00000000e+00
1.87174440e-03  6.66542884e+00  4.23160000e-02  4.87670000e+03  1.62100000e-08  0.00000000e+00
1.89046190e-03  6.66321977e+00  4.23720000e-02  4.83470000e+03  1.73200000e-08  0.00000000e+00
1.90936650e-03  6.66095411e+00  4.24280000e-02  4.79330000e+03  1.85100000e-08  0.00000000e+00
1.92846020e-03  6.65863071e+00  4.24860000e-02  4.75220000e+03  1.97800000e-08  0.00000000e+00
1.94774480e-03  6.65624842e+00  4.25440000e-02  4.71170000e+03  2.11300000e-08  0.00000000e+00
1.96722220e-03  6.65380601e+00  4.26040000e-02  4.67160000e+03  2.25700000e-08  0.00000000e+00
1.98689440e-03  6.65130226e+00  4.26650000e-02  4.63190000e+03  2.41100000e-08  0.00000000e+00
2.00676340e-03  6.64873587e+00  4.27270000e-02  4.59270000e+03  2.57500000e-08  0.00000000e+00
2.02683100e-03  6.64610554e+00  4.27900000e-02  4.55400000e+03  2.74900000e-08  0.00000000e+00
2.04709930e-03  6.64340992e+00  4.28540000e-02  4.51560000e+03  2.93500000e-08  0.00000000e+00
2.06757030e-03  6.64064761e+00  4.29200000e-02  4.47780000e+03  3.13300000e-08  0.00000000e+00
2.08824600e-03  6.63781718e+00  4.29860000e-02  4.44030000e+03  3.34500000e-08  0.00000000e+00
2.10912850e-03  6.63491715e+00  4.30540000e-02  4.40330000e+03  3.56900000e-08  0.00000000e+00
2.13021980e-03  6.63194603e+00  4.31240000e-02  4.36680000e+03  3.80900000e-08  0.00000000e+00
2.15152200e-03  6.62890224e+00  4.31950000e-02  4.33060000e+03  4.06400000e-08  0.00000000e+00
2.17303720e-03  6.62578420e+00  4.32670000e-02  4.29490000e+03  4.33600000e-08  0.00000000e+00
2.19476750e-03  6.62259024e+00  4.33400000e-02  4.25960000e+03  4.62500000e-08  0.00000000e+00
2.21671520e-03  6.61931869e+00  4.34150000e-02  4.22470000e+03  4.93200000e-08  0.00000000e+00
2.23888240e-03  6.61596779e+00  4.34920000e-02  4.19030000e+03  5.26000000e-08  0.00000000e+00
2.26127120e-03  6.61253576e+00  4.35700000e-02  4.15620000e+03  5.60900000e-08  0.00000000e+00
2.28388390e-03  6.60902075e+00  4.36500000e-02  4.12260000e+03  5.98000000e-08  0.00000000e+00
2.30672270e-03  6.60542088e+00  4.37310000e-02  4.08940000e+03  6.37400000e-08  0.00000000e+00
2.32979000e-03  6.60173418e+00  4.38140000e-02  4.05660000e+03  6.79400000e-08  0.00000000e+00
2.35308790e-03  6.59795866e+00  4.38990000e-02  4.02420000e+03  7.24100000e-08  0.00000000e+00
2.37661870e-03  6.59409225e+00  4.39860000e-02  3.99230000e+03  7.71600000e-08  0.00000000e+00
2.40038490e-03  6.59013282e+00  4.40740000e-02  3.96070000e+03  8.22100000e-08  0.00000000e+00
2.42438880e-03  6.58607819e+00  4.41650000e-02  3.92950000e+03  8.75800000e-08  0.00000000e+00
2.44863270e-03  6.58192612e+00  4.42570000e-02  3.89870000e+03  9.32900000e-08  0.00000000e+00
2.47311900e-03  6.57767428e+00  4.43510000e-02  3.86840000e+03  9.93600000e-08  0.00000000e+00
2.49785020e-03  6.57332028e+00  4.44480000e-02  3.83840000e+03  1.05800000e-07  0.00000000e+00
2.52282870e-03  6.56886168e+00  4.45470000e-02  3.80890000e+03  1.12700000e-07  0.00000000e+00
2.54805700e-03  6.56429595e+00  4.46480000e-02  3.77970000e+03  1.20000000e-07  0.00000000e+00
2.57353760e-03  6.55962047e+00  4.47510000e-02  3.75090000e+03  1.27700000e-07  0.00000000e+00
2.59927290e-03  6.55483255e+00  4.48570000e-02  3.72250000e+03  1.35900000e-07  0.00000000e+00
2.62526570e-03  6.54992945e+00  4.49650000e-02  3.69460000e+03  1.44600000e-07  0.00000000e+00
2.65151830e-03  6.54490829e+00  4.50750000e-02  3.66700000e+03  1.53900000e-07  0.00000000e+00
2.67803350e-03  6.53976614e+00  4.51890000e-02  3.63980000e+03  1.63800000e-07  0.00000000e+00
2.70481380e-03  6.53449997e+00  4.53050000e-02  3.61300000e+03  1.74200000e-07  0.00000000e+00
2.73186200e-03  6.52910664e+00  4.54230000e-02  3.58660000e+03  1.85300000e-07  0.00000000e+00
2.75918060e-03  6.52358293e+00  4.55450000e-02  3.56060000e+03  1.97100000e-07  0.00000000e+00
2.78677240e-03  6.51792550e+00  4.56700000e-02  3.53500000e+03  2.09600000e-07  0.00000000e+00
2.81464010e-03  6.51213092e+00  4.57980000e-02  3.50980000e+03  2.22900000e-07  0.00000000e+00
2.84278650e-03  6.50619563e+00  4.59290000e-02  3.48500000e+03  2.37000000e-07  0.00000000e+00
2.87121440e-03  6.50011596e+00  4.60630000e-02  3.46060000e+03  2.51900000e-07  0.00000000e+00
2.89992650e-03  6.49388813e+00  4.62010000e-02  3.43660000e+03  2.67800000e-07  0.00000000e+00
2.92892580e-03  6.48750821e+00  4.63430000e-02  3.41300000e+03  2.84600000e-07  0.00000000e+00
2.95821510e-03  6.48097215e+00  4.64880000e-02  3.38990000e+03  3.02400000e-07  0.00000000e+00
2.98779720e-03  6.47427577e+00  4.66380000e-02  3.36710000e+03  3.21300000e-07  0.00000000e+00
3.01767520e-03  6.46741472e+00  4.67910000e-02  3.34470000e+03  3.41300000e-07  0.00000000e+00
3.04785190e-03  6.46038451e+00  4.69490000e-02  3.32270000e+03  3.62600000e-07  0.00000000e+00
3.07833040e-03  6.45318051e+00  4.71110000e-02  3.30120000e+03  3.85100000e-07  0.00000000e+00
3.10911370e-03  6.44579789e+00  4.72770000e-02  3.28010000e+03  4.09000000e-07  0.00000000e+00
3.14020490e-03  6.43823166e+00  4.74490000e-02  3.25940000e+03  4.34300000e-07  0.00000000e+00
3.17160690e-03  6.43047667e+00  4.76250000e-02  3.23910000e+03  4.61100000e-07  0.00000000e+00
3.20332300e-03  6.42252753e+00  4.78070000e-02  3.21930000e+03  4.89500000e-07  0.00000000e+00
3.23535620e-03  6.41437869e+00  4.79940000e-02  3.19980000e+03  5.19600000e-07  0.00000000e+00
3.26770980e-03  6.40602436e+00  4.81860000e-02  3.18090000e+03  5.51400000e-07  0.00000000e+00
3.30038690e-03  6.39745854e+00  4.83850000e-02  3.16240000e+03  5.85200000e-07  0.00000000e+00
3.33339080e-03  6.38867498e+00  4.85900000e-02  3.14430000e+03  6.20900000e-07  0.00000000e+00
3.36672470e-03  6.37966721e+00  4.88010000e-02  3.12670000e+03  6.58700000e-07  0.00000000e+00
3.40039190e-03  6.37042847e+00  4.90190000e-02  3.10960000e+03  6.98800000e-07  0.00000000e+00
3.43439580e-03  6.36095172e+00  4.92450000e-02  3.09300000e+03  7.41200000e-07  0.00000000e+00
3.46873980e-03  6.35122964e+00  4.94770000e-02  3.07680000e+03  7.86000000e-07  0.00000000e+00
3.50342720e-03  6.34125461e+00  4.97180000e-02  3.06120000e+03  8.33500000e-07  0.00000000e+00
3.53846150e-03  6.33101865e+00  4.99670000e-02  3.04600000e+03  8.83700000e-07  0.00000000e+00
3.57384610e-03  6.32051345e+00  5.02250000e-02  3.03140000e+03  9.36900000e-07  0.00000000e+00
3.60958450e-03  6.30973033e+00  5.04910000e-02  3.01730000e+03  9.93100000e-07  0.00000000e+00
3.64568040e-03  6.29866020e+00  5.07680000e-02  3.00380000e+03  1.05300000e-06  0.00000000e+00
3.68213720e-03  6.28729356e+00  5.10540000e-02  2.99090000e+03  1.11500000e-06  0.00000000e+00
3.71895860e-03  6.27562046e+00  5.13520000e-02  2.97850000e+03  1.18200000e-06  0.00000000e+00
3.75614810e-03  6.26363047e+00  5.16600000e-02  2.96670000e+03  1.25200000e-06  0.00000000e+00
3.79370960e-03  6.25131265e+00  5.19810000e-02  2.95560000e+03  1.32700000e-06  0.00000000e+00
3.83164670e-03  6.23865550e+00  5.23140000e-02  2.94510000e+03  1.40500000e-06  0.00000000e+00
3.86996320e-03  6.22564693e+00  5.26610000e-02  2.93530000e+03  1.48800000e-06  0.00000000e+00
3.90866280e-03  6.21227423e+00  5.30230000e-02  2.92620000e+03  1.57600000e-06  0.00000000e+00
3.94774950e-03  6.19852400e+00  5.33990000e-02  2.91780000e+03  1.66900000e-06  0.00000000e+00
3.98722690e-03  6.18438209e+00  5.37920000e-02  2.91010000e+03  1.76700000e-06  0.00000000e+00
4.02709920e-03  6.16983359e+00  5.42030000e-02  2.90330000e+03  1.87000000e-06  0.00000000e+00
4.06737020e-03  6.15486269e+00  5.46310000e-02  2.89730000e+03  1.98000000e-06  0.00000000e+00
4.10804390e-03  6.13945267e+00  5.50800000e-02  2.89220000e+03  2.09500000e-06  0.00000000e+00
4.14912440e-03  6.12358577e+00  5.55500000e-02  2.88800000e+03  2.21700000e-06  0.00000000e+00
4.19061560e-03  6.10724316e+00  5.60430000e-02  2.88470000e+03  2.34600000e-06  0.00000000e+00
4.23252170e-03  6.09040476e+00  5.65600000e-02  2.88260000e+03  2.48200000e-06  0.00000000e+00
4.27484700e-03  6.07304918e+00  5.71040000e-02  2.88150000e+03  2.62500000e-06  0.00000000e+00
4.31759540e-03  6.05515357e+00  5.76760000e-02  2.88150000e+03  2.77600000e-06  0.00000000e+00
4.36077140e-03  6.03669349e+00  5.82800000e-02  2.88290000e+03  2.93600000e-06  0.00000000e+00
4.40437910e-03  6.01764271e+00  5.89170000e-02  2.88550000e+03  3.10500000e-06  0.00000000e+00
4.44842290e-03  5.99797303e+00  5.95910000e-02  2.88960000e+03  3.28300000e-06  0.00000000e+00
4.49290710e-03  5.97765407e+00  6.03040000e-02  2.89530000e+03  3.47000000e-06  0.00000000e+00
4.53783620e-03  5.95665301e+00  6.10610000e-02  2.90260000e+03  3.66800000e-06  0.00000000e+00
4.58321460e-03  5.93498047e+00  6.18660000e-02  2.91170000e+03  3.87700000e-06  0.00000000e+00
4.62904670e-03  5.91250497e+00  6.27240000e-02  2.92290000e+03  4.09700000e-06  0.00000000e+00
4.67533720e-03  5.88923105e+00  6.36390000e-02  2.93620000e+03  4.33000000e-06  0.00000000e+00
4.72209050e-03  5.86511264e+00  6.46190000e-02  2.95190000e+03  4.57400000e-06  0.00000000e+00
4.76931140e-03  5.84009915e+00  6.56710000e-02  2.97020000e+03  4.83200000e-06  0.00000000e+00
4.81700460e-03  5.81413484e+00  6.68030000e-02  2.99150000e+03  5.10400000e-06  0.00000000e+00
4.86517460e-03  5.78715794e+00  6.80240000e-02  3.01600000e+03  5.39100000e-06  0.00000000e+00
4.91382640e-03  5.75909981e+00  6.93470000e-02  3.04420000e+03  5.69300000e-06  0.00000000e+00
4.96296460e-03  5.72988363e+00  7.07840000e-02  3.07650000e+03  6.01100000e-06  0.00000000e+00
5.01259430e-03  5.69942308e+00  7.23530000e-02  3.11360000e+03  6.34600000e-06  0.00000000e+00
5.06272020e-03  5.66762047e+00  7.40720000e-02  3.15600000e+03  6.69900000e-06  0.00000000e+00
5.11334740e-03  5.63436455e+00  7.59660000e-02  3.20460000e+03  7.07100000e-06  0.00000000e+00
5.16448090e-03  5.59952763e+00  7.80620000e-02  3.26050000e+03  7.46300000e-06  0.00000000e+00
5.21612570e-03  5.56296202e+00  8.03970000e-02  3.32470000e+03  7.87500000e-06  0.00000000e+00
5.26828690e-03  5.52449524e+00  8.30160000e-02  3.39910000e+03  8.31000000e-06  0.00000000e+00
5.32096980e-03  5.48392390e+00  8.59760000e-02  3.48540000e+03  8.76700000e-06  0.00000000e+00
5.37417950e-03  5.44100534e+00  8.93510000e-02  3.58640000e+03  9.24800000e-06  0.00000000e+00
5.42792130e-03  5.39544642e+00  9.32380000e-02  3.70530000e+03  9.75400000e-06  0.00000000e+00
5.48220050e-03  5.34688785e+00  9.77690000e-02  3.84690000e+03  1.02900000e-05  0.00000000e+00
5.53702250e-03  5.29488213e+00  1.03120000e-01  4.01740000e+03  1.08500000e-05  0.00000000e+00
5.59239280e-03  5.23886164e+00  1.09560000e-01  4.22580000e+03  1.14400000e-05  0.00000000e+00
5.64831670e-03  5.17809144e+00  1.17440000e-01  4.48510000e+03  1.20600000e-05  0.00000000e+00
5.70479980e-03  5.11159795e+00  1.27350000e-01  4.81530000e+03  1.27100000e-05  0.00000000e+00
5.76184780e-03  5.03805968e+00  1.40190000e-01  5.24820000e+03  1.34000000e-05  0.00000000e+00
5.81946630e-03  4.95564060e+00  1.57480000e-01  5.83740000e+03  1.41200000e-05  0.00000000e+00
5.87766100e-03  4.86175691e+00  1.82030000e-01  6.68050000e+03  1.48800000e-05  0.00000000e+00
5.93643760e-03  4.75289258e+00  2.19350000e-01  7.97030000e+03  1.56800000e-05  0.00000000e+00
5.99580200e-03  4.62544336e+00  2.81420000e-01  1.01250000e+04  1.65100000e-05  0.00000000e+00
6.05576000e-03  4.48390195e+00  3.94920000e-01  1.40670000e+04  1.74000000e-05  0.00000000e+00
6.11631760e-03  4.37913392e+00  5.94580000e-01  2.09690000e+04  1.83200000e-05  0.00000000e+00
6.12526400e-03  4.37407395e+00  6.29500000e-01  2.21680000e+04  1.84600000e-05  0.00000000e+00
6.12549560e-03  4.36838763e+00  6.30390000e-01  2.21990000e+04  1.84700000e-05  0.00000000e+00
6.17748080e-03  4.39988579e+00  8.12480000e-01  2.83710000e+04  1.93000000e-05  0.00000000e+00
6.23925560e-03  4.48534676e+00  9.46840000e-01  3.27350000e+04  2.03200000e-05  0.00000000e+00
6.30164810e-03  4.56278818e+00  1.01740000e+00  3.48250000e+04  2.13900000e-05  0.00000000e+00
6.36466460e-03  4.61948211e+00  1.05690000e+00  3.58210000e+04  2.25200000e-05  0.00000000e+00
6.42831130e-03  4.65811956e+00  1.08110000e+00  3.62780000e+04  2.37100000e-05  0.00000000e+00
6.49259440e-03  4.68230103e+00  1.09700000e+00  3.64480000e+04  2.49500000e-05  0.00000000e+00
6.55752030e-03  4.69463006e+00  1.10810000e+00  3.64520000e+04  2.62600000e-05  0.00000000e+00
6.62309550e-03  4.69676494e+00  1.11630000e+00  3.63580000e+04  2.76300000e-05  0.00000000e+00
6.68932650e-03  4.68961767e+00  1.12280000e+00  3.62060000e+04  2.90700000e-05  0.00000000e+00
6.75621970e-03  4.67341484e+00  1.12840000e+00  3.60250000e+04  3.05900000e-05  0.00000000e+00
6.82378190e-03  4.64814841e+00  1.13480000e+00  3.58740000e+04  3.21700000e-05  0.00000000e+00
6.89201980e-03  4.61439199e+00  1.14340000e+00  3.57860000e+04  3.38400000e-05  0.00000000e+00
6.96094000e-03  4.57211825e+00  1.15470000e+00  3.57810000e+04  3.55900000e-05  0.00000000e+00
