#  Au:    Z = 79;   Atomic weight = 196.9665 g/mol ;    nominal density:   [INLINE] = 1.8850E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.27071E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.13642E+05
#         21 edges. Edge energies (keV):
# K      8.07249E+01  L I    1.43528E+01  L II   1.37336E+01  L III  1.19187E+01
# M I    3.42490E+00  M II   3.14780E+00  M III  2.74300E+00  M IV   2.29110E+00
# M V    2.20570E+00  N I    7.58800E-01  N II   6.43700E-01  N III  5.45400E-01
# N IV   3.52000E-01  N V    3.33900E-01  N VI   8.64000E-02  N VII  8.28000E-02
# O I    1.07800E-01  O II   7.17000E-02  O III  5.37000E-02  O IV   8.30838E-03
# O V    6.79032E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.7226E+00, -1.0134E+00 e/atom
#         Nuclear Thomson correction fNT = -1.7382E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=79, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.34927635e+00  4.18740000e-02  8.85740000e+03  1.82000000e-10  0.00000000e+00
1.02010000e-03  6.35646703e+00  4.18970000e-02  8.77460000e+03  1.96200000e-10  0.00000000e+00
1.03030100e-03  6.36133022e+00  4.19210000e-02  8.69260000e+03  2.11500000e-10  0.00000000e+00
1.04060400e-03  6.36378106e+00  4.19450000e-02  8.61150000e+03  2.27900000e-10  0.00000000e+00
1.05101010e-03  6.36565603e+00  4.19690000e-02  8.53120000e+03  2.45500000e-10  0.00000000e+00
1.06152020e-03  6.36713503e+00  4.19940000e-02  8.45170000e+03  2.64500000e-10  0.00000000e+00
1.07213540e-03  6.36832182e+00  4.20190000e-02  8.37300000e+03  2.85000000e-10  0.00000000e+00
1.08285670e-03  6.36954440e+00  4.20440000e-02  8.29510000e+03  3.06900000e-10  0.00000000e+00
1.09368530e-03  6.37057452e+00  4.20700000e-02  8.21800000e+03  3.30500000e-10  0.00000000e+00
1.10462210e-03  6.37127038e+00  4.20960000e-02  8.14170000e+03  3.55900000e-10  0.00000000e+00
1.11566830e-03  6.37168685e+00  4.21220000e-02  8.06610000e+03  3.83200000e-10  0.00000000e+00
1.12682500e-03  6.37200868e+00  4.21490000e-02  7.99130000e+03  4.12500000e-10  0.00000000e+00
1.13809330e-03  6.37224642e+00  4.21760000e-02  7.91730000e+03  4.43900000e-10  0.00000000e+00
1.14947420e-03  6.37240847e+00  4.22040000e-02  7.84400000e+03  4.77800000e-10  0.00000000e+00
1.16096900e-03  6.37250159e+00  4.22320000e-02  7.77150000e+03  5.14100000e-10  0.00000000e+00
1.17257860e-03  6.37253132e+00  4.22600000e-02  7.69970000e+03  5.53100000e-10  0.00000000e+00
1.18430440e-03  6.37250222e+00  4.22890000e-02  7.62860000e+03  5.95000000e-10  0.00000000e+00
1.19614750e-03  6.37241809e+00  4.23180000e-02  7.55830000e+03  6.40000000e-10  0.00000000e+00
1.20810900e-03  6.37228212e+00  4.23470000e-02  7.48870000e+03  6.88300000e-10  0.00000000e+00
1.22019000e-03  6.37209699e+00  4.23770000e-02  7.41970000e+03  7.40100000e-10  0.00000000e+00
1.23239190e-03  6.37186498e+00  4.24070000e-02  7.35150000e+03  7.95800000e-10  0.00000000e+00
1.24471590e-03  6.37158801e+00  4.24380000e-02  7.28400000e+03  8.55500000e-10  0.00000000e+00
1.25716300e-03  6.37126773e+00  4.24690000e-02  7.21720000e+03  9.19500000e-10  0.00000000e+00
1.26973460e-03  6.37090552e+00  4.25010000e-02  7.15100000e+03  9.88300000e-10  0.00000000e+00
1.28243200e-03  6.37050256e+00  4.25330000e-02  7.08560000e+03  1.06200000e-09  0.00000000e+00
1.29525630e-03  6.37005984e+00  4.25650000e-02  7.02080000e+03  1.14100000e-09  0.00000000e+00
1.30820890e-03  6.36957822e+00  4.25980000e-02  6.95660000e+03  1.22600000e-09  0.00000000e+00
1.32129100e-03  6.36920249e+00  4.26310000e-02  6.89320000e+03  1.31700000e-09  0.00000000e+00
1.33450390e-03  6.36873283e+00  4.26650000e-02  6.83030000e+03  1.41400000e-09  0.00000000e+00
1.34784890e-03  6.36822540e+00  4.27000000e-02  6.76810000e+03  1.51900000e-09  0.00000000e+00
1.36132740e-03  6.36757915e+00  4.27350000e-02  6.70660000e+03  1.63100000e-09  0.00000000e+00
1.37494070e-03  6.36689726e+00  4.27700000e-02  6.64570000e+03  1.75100000e-09  0.00000000e+00
1.38869010e-03  6.36617987e+00  4.28060000e-02  6.58540000e+03  1.87900000e-09  0.00000000e+00
1.40257700e-03  6.36553178e+00  4.28420000e-02  6.52580000e+03  2.01700000e-09  0.00000000e+00
1.41660280e-03  6.36473818e+00  4.28790000e-02  6.46670000e+03  2.16500000e-09  0.00000000e+00
1.43076880e-03  6.36395257e+00  4.29170000e-02  6.40830000e+03  2.32300000e-09  0.00000000e+00
1.44507650e-03  6.36308781e+00  4.29550000e-02  6.35050000e+03  2.49200000e-09  0.00000000e+00
1.45952720e-03  6.36223483e+00  4.29930000e-02  6.29320000e+03  2.67300000e-09  0.00000000e+00
1.47412250e-03  6.36129826e+00  4.30320000e-02  6.23660000e+03  2.86700000e-09  0.00000000e+00
1.48886370e-03  6.36032588e+00  4.30720000e-02  6.18060000e+03  3.07500000e-09  0.00000000e+00
1.50375240e-03  6.35931742e+00  4.31130000e-02  6.12510000e+03  3.29800000e-09  0.00000000e+00
1.51878990e-03  6.35827256e+00  4.31540000e-02  6.07020000e+03  3.53600000e-09  0.00000000e+00
1.53397780e-03  6.35719095e+00  4.31950000e-02  6.01590000e+03  3.79000000e-09  0.00000000e+00
1.54931760e-03  6.35607222e+00  4.32370000e-02  5.96220000e+03  4.06300000e-09  0.00000000e+00
1.56481070e-03  6.35491594e+00  4.32800000e-02  5.90900000e+03  4.35400000e-09  0.00000000e+00
1.58045890e-03  6.35372168e+00  4.33240000e-02  5.85640000e+03  4.66600000e-09  0.00000000e+00
1.59626340e-03  6.35248897e+00  4.33680000e-02  5.80430000e+03  5.00000000e-09  0.00000000e+00
1.61222610e-03  6.35121730e+00  4.34130000e-02  5.75280000e+03  5.35600000e-09  0.00000000e+00
1.62834830e-03  6.34990613e+00  4.34590000e-02  5.70190000e+03  5.73800000e-09  0.00000000e+00
1.64463180e-03  6.34855493e+00  4.35050000e-02  5.65140000e+03  6.14500000e-09  0.00000000e+00
1.66107810e-03  6.34722711e+00  4.35520000e-02  5.60150000e+03  6.58100000e-09  0.00000000e+00
1.67768890e-03  6.34579324e+00  4.36000000e-02  5.55220000e+03  7.04700000e-09  0.00000000e+00
1.69446580e-03  6.34431749e+00  4.36490000e-02  5.50330000e+03  7.54400000e-09  0.00000000e+00
1.71141050e-03  6.34279919e+00  4.36980000e-02  5.45500000e+03  8.07600000e-09  0.00000000e+00
1.72852460e-03  6.34123765e+00  4.37480000e-02  5.40720000e+03  8.64400000e-09  0.00000000e+00
1.74580980e-03  6.33963215e+00  4.37990000e-02  5.35990000e+03  9.25100000e-09  0.00000000e+00
1.76326790e-03  6.33798194e+00  4.38510000e-02  5.31310000e+03  9.89900000e-09  0.00000000e+00
1.78090060e-03  6.33628625e+00  4.39030000e-02  5.26680000e+03  1.05900000e-08  0.00000000e+00
1.79870960e-03  6.33454428e+00  4.39570000e-02  5.22100000e+03  1.13300000e-08  0.00000000e+00
1.81669670e-03  6.33275520e+00  4.40110000e-02  5.17570000e+03  1.21200000e-08  0.00000000e+00
1.83486370e-03  6.33091816e+00  4.40670000e-02  5.13090000e+03  1.29600000e-08  0.00000000e+00
1.85321230e-03  6.32903228e+00  4.41230000e-02  5.08660000e+03  1.38600000e-08  0.00000000e+00
1.87174440e-03  6.32709665e+00  4.41800000e-02  5.04270000e+03  1.48200000e-08  0.00000000e+00
1.89046190e-03  6.32511034e+00  4.42380000e-02  4.99940000e+03  1.58400000e-08  0.00000000e+00
1.90936650e-03  6.32307237e+00  4.42970000e-02  4.95650000e+03  1.69400000e-08  0.00000000e+00
1.92846020e-03  6.32098175e+00  4.43570000e-02  4.91410000e+03  1.81000000e-08  0.00000000e+00
1.94774480e-03  6.31883747e+00  4.44190000e-02  4.87210000e+03  1.93500000e-08  0.00000000e+00
1.96722220e-03  6.31663846e+00  4.44810000e-02  4.83070000e+03  2.06700000e-08  0.00000000e+00
1.98689440e-03  6.31438365e+00  4.45440000e-02  4.78960000e+03  2.20900000e-08  0.00000000e+00
2.00676340e-03  6.31207192e+00  4.46090000e-02  4.74910000e+03  2.35900000e-08  0.00000000e+00
2.02683100e-03  6.30970213e+00  4.46740000e-02  4.70900000e+03  2.52000000e-08  0.00000000e+00
2.04709930e-03  6.30727309e+00  4.47410000e-02  4.66930000e+03  2.69100000e-08  0.00000000e+00
2.06757030e-03  6.30478359e+00  4.48090000e-02  4.63010000e+03  2.87400000e-08  0.00000000e+00
2.08824600e-03  6.30223240e+00  4.48780000e-02  4.59130000e+03  3.06900000e-08  0.00000000e+00
2.10912850e-03  6.29961823e+00  4.49480000e-02  4.55300000e+03  3.27600000e-08  0.00000000e+00
2.13021980e-03  6.29693977e+00  4.50200000e-02  4.51510000e+03  3.49700000e-08  0.00000000e+00
2.15152200e-03  6.29419567e+00  4.50930000e-02  4.47760000e+03  3.73200000e-08  0.00000000e+00
2.17303720e-03  6.29138454e+00  4.51670000e-02  4.44060000e+03  3.98300000e-08  0.00000000e+00
2.19476750e-03  6.28850495e+00  4.52430000e-02  4.40400000e+03  4.25000000e-08  0.00000000e+00
2.21671520e-03  6.28555545e+00  4.53200000e-02  4.36780000e+03  4.53400000e-08  0.00000000e+00
2.23888240e-03  6.28253452e+00  4.53980000e-02  4.33210000e+03  4.83700000e-08  0.00000000e+00
2.26127120e-03  6.27944064e+00  4.54790000e-02  4.29680000e+03  5.15900000e-08  0.00000000e+00
2.28388390e-03  6.27627219e+00  4.55600000e-02  4.26180000e+03  5.50200000e-08  0.00000000e+00
2.30672270e-03  6.27302757e+00  4.56430000e-02  4.22730000e+03  5.86700000e-08  0.00000000e+00
2.32979000e-03  6.26970509e+00  4.57280000e-02  4.19330000e+03  6.25500000e-08  0.00000000e+00
2.35308790e-03  6.26630304e+00  4.58140000e-02  4.15960000e+03  6.66800000e-08  0.00000000e+00
2.37661870e-03  6.26281964e+00  4.59020000e-02  4.12630000e+03  7.10800000e-08  0.00000000e+00
2.40038490e-03  6.25925309e+00  4.59920000e-02  4.09350000e+03  7.57500000e-08  0.00000000e+00
2.42438880e-03  6.25560151e+00  4.60840000e-02  4.06100000e+03  8.07300000e-08  0.00000000e+00
2.44863270e-03  6.25186299e+00  4.61770000e-02  4.02890000e+03  8.60200000e-08  0.00000000e+00
2.47311900e-03  6.24803556e+00  4.62730000e-02  3.99730000e+03  9.16400000e-08  0.00000000e+00
2.49785020e-03  6.24411720e+00  4.63700000e-02  3.96600000e+03  9.76200000e-08  0.00000000e+00
2.52282870e-03  6.24010582e+00  4.64690000e-02  3.93520000e+03  1.04000000e-07  0.00000000e+00
2.54805700e-03  6.23599929e+00  4.65710000e-02  3.90470000e+03  1.10700000e-07  0.00000000e+00
2.57353760e-03  6.23179541e+00  4.66740000e-02  3.87470000e+03  1.17900000e-07  0.00000000e+00
2.59927290e-03  6.22749191e+00  4.67800000e-02  3.84500000e+03  1.25500000e-07  0.00000000e+00
2.62526570e-03  6.22308648e+00  4.68880000e-02  3.81570000e+03  1.33600000e-07  0.00000000e+00
2.65151830e-03  6.21857672e+00  4.69980000e-02  3.78680000e+03  1.42300000e-07  0.00000000e+00
2.67803350e-03  6.21396018e+00  4.71110000e-02  3.75830000e+03  1.51400000e-07  0.00000000e+00
2.70481380e-03  6.20923431e+00  4.72260000e-02  3.73020000e+03  1.61100000e-07  0.00000000e+00
2.73186200e-03  6.20439653e+00  4.73430000e-02  3.70240000e+03  1.71400000e-07  0.00000000e+00
2.75918060e-03  6.19944415e+00  4.74640000e-02  3.67510000e+03  1.82400000e-07  0.00000000e+00
