#  Hg:    Z = 80;   Atomic weight = 200.5900 g/mol ;    nominal density:   [INLINE] = 1.3522E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.33088E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.09783E+05
#         22 edges. Edge energies (keV):
# K      8.31023E+01  L I    1.48393E+01  L II   1.42087E+01  L III  1.22839E+01
# M I    3.56160E+00  M II   3.27850E+00  M III  2.84710E+00  M IV   2.38490E+00
# M V    2.29490E+00  N I    8.00300E-01  N II   6.76900E-01  N III  5.71000E-01
# N IV   3.78300E-01  N V    3.59800E-01  N VI   1.02200E-01  N VII  9.85000E-02
# O I    1.20300E-01  O II   8.05000E-02  O III  5.76000E-02  O IV   6.40000E-03
# O V    6.40000E-03  P I    7.71361E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.7805E+00, -1.0458E+00 e/atom
#         Nuclear Thomson correction fNT = -1.7503E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=80, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.82626508e+00  4.38190000e-02  9.10140000e+03  1.65800000e-10  0.00000000e+00
1.02010000e-03  6.83430160e+00  4.38520000e-02  9.01810000e+03  1.78700000e-10  0.00000000e+00
1.03030100e-03  6.83897842e+00  4.38850000e-02  8.93560000e+03  1.92700000e-10  0.00000000e+00
1.04060400e-03  6.84141198e+00  4.39190000e-02  8.85400000e+03  2.07700000e-10  0.00000000e+00
1.05101010e-03  6.84322887e+00  4.39540000e-02  8.77320000e+03  2.23800000e-10  0.00000000e+00
1.06152020e-03  6.84462414e+00  4.39880000e-02  8.69320000e+03  2.41100000e-10  0.00000000e+00
1.07213540e-03  6.84570895e+00  4.40240000e-02  8.61410000e+03  2.59800000e-10  0.00000000e+00
1.08285670e-03  6.84655325e+00  4.40600000e-02  8.53570000e+03  2.79800000e-10  0.00000000e+00
1.09368530e-03  6.84773199e+00  4.40960000e-02  8.45820000e+03  3.01400000e-10  0.00000000e+00
1.10462210e-03  6.84814107e+00  4.41330000e-02  8.38140000e+03  3.24600000e-10  0.00000000e+00
1.11566830e-03  6.84856685e+00  4.41700000e-02  8.30550000e+03  3.49500000e-10  0.00000000e+00
1.12682500e-03  6.84873267e+00  4.42080000e-02  8.23030000e+03  3.76300000e-10  0.00000000e+00
1.13809330e-03  6.84880694e+00  4.42460000e-02  8.15590000e+03  4.05100000e-10  0.00000000e+00
1.14947420e-03  6.84879851e+00  4.42850000e-02  8.08220000e+03  4.36000000e-10  0.00000000e+00
1.16096900e-03  6.84871447e+00  4.43250000e-02  8.00930000e+03  4.69300000e-10  0.00000000e+00
1.17257860e-03  6.84856060e+00  4.43650000e-02  7.93720000e+03  5.05000000e-10  0.00000000e+00
1.18430440e-03  6.84834163e+00  4.44060000e-02  7.86580000e+03  5.43300000e-10  0.00000000e+00
1.19614750e-03  6.84806149e+00  4.44470000e-02  7.79520000e+03  5.84500000e-10  0.00000000e+00
1.20810900e-03  6.84772344e+00  4.44890000e-02  7.72530000e+03  6.28700000e-10  0.00000000e+00
1.22019000e-03  6.84733022e+00  4.45310000e-02  7.65610000e+03  6.76200000e-10  0.00000000e+00
1.23239190e-03  6.84688411e+00  4.45740000e-02  7.58760000e+03  7.27100000e-10  0.00000000e+00
1.24471590e-03  6.84638706e+00  4.46180000e-02  7.51980000e+03  7.81800000e-10  0.00000000e+00
1.25716300e-03  6.84584067e+00  4.46620000e-02  7.45280000e+03  8.40500000e-10  0.00000000e+00
1.26973460e-03  6.84524631e+00  4.47070000e-02  7.38640000e+03  9.03500000e-10  0.00000000e+00
1.28243200e-03  6.84460512e+00  4.47530000e-02  7.32070000e+03  9.71100000e-10  0.00000000e+00
1.29525630e-03  6.84391802e+00  4.47990000e-02  7.25570000e+03  1.04400000e-09  0.00000000e+00
1.30820890e-03  6.84318580e+00  4.48460000e-02  7.19140000e+03  1.12100000e-09  0.00000000e+00
