#  Tl:    Z = 81;   Atomic weight = 204.3830 g/mol ;    nominal density:   [INLINE] = 1.1830E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.39386E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.05890E+05
#         22 edges. Edge energies (keV):
# K      8.55304E+01  L I    1.53467E+01  L II   1.46979E+01  L III  1.26575E+01
# M I    3.70410E+00  M II   3.41570E+00  M III  2.95660E+00  M IV   2.48510E+00
# M V    2.38930E+00  N I    8.45500E-01  N II   7.21300E-01  N III  6.09000E-01
# N IV   4.06600E-01  N V    3.86200E-01  N VI   1.22800E-01  N VII  1.18500E-01
# O I    1.36300E-01  O II   9.96000E-02  O III  7.54000E-02  O IV   1.53000E-02
# O V    1.31000E-02  P I    9.66483E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.8396E+00, -1.0794E+00 e/atom
#         Nuclear Thomson correction fNT = -1.7610E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=81, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.31691873e+00  3.40060000e-02  6.93210000e+03  1.71900000e-10  0.00000000e+00
1.02010000e-03  6.32308132e+00  3.40150000e-02  6.86540000e+03  1.85300000e-10  0.00000000e+00
1.03030100e-03  6.32695461e+00  3.40250000e-02  6.79940000e+03  1.99700000e-10  0.00000000e+00
1.04060400e-03  6.32929238e+00  3.40350000e-02  6.73400000e+03  2.15100000e-10  0.00000000e+00
1.05101010e-03  6.33099357e+00  3.40450000e-02  6.66920000e+03  2.31800000e-10  0.00000000e+00
1.06152020e-03  6.33248402e+00  3.40550000e-02  6.60510000e+03  2.49700000e-10  0.00000000e+00
1.07213540e-03  6.33364523e+00  3.40650000e-02  6.54170000e+03  2.69000000e-10  0.00000000e+00
1.08285670e-03  6.33464063e+00  3.40750000e-02  6.47890000e+03  2.89700000e-10  0.00000000e+00
1.09368530e-03  6.33591613e+00  3.40850000e-02  6.41670000e+03  3.11900000e-10  0.00000000e+00
1.10462210e-03  6.33671424e+00  3.40960000e-02  6.35510000e+03  3.35900000e-10  0.00000000e+00
1.11566830e-03  6.33745865e+00  3.41070000e-02  6.29420000e+03  3.61600000e-10  0.00000000e+00
1.12682500e-03  6.33796350e+00  3.41170000e-02  6.23380000e+03  3.89200000e-10  0.00000000e+00
1.13809330e-03  6.33841061e+00  3.41280000e-02  6.17400000e+03  4.18900000e-10  0.00000000e+00
1.14947420e-03  6.33880596e+00  3.41390000e-02  6.11490000e+03  4.50800000e-10  0.00000000e+00
1.16096900e-03  6.33915443e+00  3.41500000e-02  6.05630000e+03  4.85100000e-10  0.00000000e+00
1.17257860e-03  6.33946006e+00  3.41620000e-02  5.99830000e+03  5.21900000e-10  0.00000000e+00
1.18430440e-03  6.33972623e+00  3.41730000e-02  5.94090000e+03  5.61400000e-10  0.00000000e+00
1.19614750e-03  6.33995580e+00  3.41850000e-02  5.88410000e+03  6.03900000e-10  0.00000000e+00
1.20810900e-03  6.34015119e+00  3.41960000e-02  5.82780000e+03  6.49400000e-10  0.00000000e+00
1.22019000e-03  6.34031446e+00  3.42080000e-02  5.77210000e+03  6.98300000e-10  0.00000000e+00
1.23239190e-03  6.34044741e+00  3.42200000e-02  5.71700000e+03  7.50800000e-10  0.00000000e+00
1.24471590e-03  6.34055158e+00  3.42320000e-02  5.66240000e+03  8.07200000e-10  0.00000000e+00
1.25716300e-03  6.34062830e+00  3.42450000e-02  5.60840000e+03  8.67600000e-10  0.00000000e+00
1.26973460e-03  6.34067873e+00  3.42570000e-02  5.55480000e+03  9.32500000e-10  0.00000000e+00
1.28243200e-03  6.34070388e+00  3.42700000e-02  5.50190000e+03  1.00200000e-09  0.00000000e+00
1.29525630e-03  6.34070464e+00  3.42820000e-02  5.44940000e+03  1.07700000e-09  0.00000000e+00
1.30820890e-03  6.34068177e+00  3.42950000e-02  5.39750000e+03  1.15700000e-09  0.00000000e+00
1.32129100e-03  6.34063594e+00  3.43080000e-02  5.34610000e+03  1.24200000e-09  0.00000000e+00
1.33450390e-03  6.34056774e+00  3.43220000e-02  5.29520000e+03  1.33400000e-09  0.00000000e+00
1.34784890e-03  6.34061194e+00  3.43350000e-02  5.24480000e+03  1.43300000e-09  0.00000000e+00
1.36132740e-03  6.34058301e+00  3.43490000e-02  5.19490000e+03  1.53900000e-09  0.00000000e+00
1.37494070e-03  6.34053785e+00  3.43620000e-02  5.14560000e+03  1.65200000e-09  0.00000000e+00
1.38869010e-03  6.34037125e+00  3.43760000e-02  5.09670000e+03  1.77300000e-09  0.00000000e+00
1.40257700e-03  6.34018489e+00  3.43900000e-02  5.04830000e+03  1.90300000e-09  0.00000000e+00
1.41660280e-03  6.33997896e+00  3.44050000e-02  5.00040000e+03  2.04300000e-09  0.00000000e+00
1.43076880e-03  6.33986644e+00  3.44190000e-02  4.95290000e+03  2.19200000e-09  0.00000000e+00
1.44507650e-03  6.33961620e+00  3.44340000e-02  4.90600000e+03  2.35200000e-09  0.00000000e+00
1.45952720e-03  6.33934699e+00  3.44480000e-02  4.85950000e+03  2.52300000e-09  0.00000000e+00
1.47412250e-03  6.33910067e+00  3.44630000e-02  4.81350000e+03  2.70600000e-09  0.00000000e+00
1.48886370e-03  6.33879283e+00  3.44790000e-02  4.76790000e+03  2.90300000e-09  0.00000000e+00
1.50375240e-03  6.33851648e+00  3.44940000e-02  4.72280000e+03  3.11300000e-09  0.00000000e+00
1.51878990e-03  6.33816981e+00  3.45100000e-02  4.67820000e+03  3.33700000e-09  0.00000000e+00
1.53397780e-03  6.33780407e+00  3.45250000e-02  4.63400000e+03  3.57800000e-09  0.00000000e+00
1.54931760e-03  6.33741917e+00  3.45410000e-02  4.59020000e+03  3.83500000e-09  0.00000000e+00
1.56481070e-03  6.33701501e+00  3.45580000e-02  4.54690000e+03  4.11100000e-09  0.00000000e+00
1.58045890e-03  6.33659146e+00  3.45740000e-02  4.50400000e+03  4.40500000e-09  0.00000000e+00
1.59626340e-03  6.33614837e+00  3.45910000e-02  4.46160000e+03  4.72000000e-09  0.00000000e+00
1.61222610e-03  6.33568558e+00  3.46070000e-02  4.41960000e+03  5.05700000e-09  0.00000000e+00
1.62834830e-03  6.33520293e+00  3.46250000e-02  4.37800000e+03  5.41700000e-09  0.00000000e+00
1.64463180e-03  6.33470020e+00  3.46420000e-02  4.33680000e+03  5.80300000e-09  0.00000000e+00
1.66107810e-03  6.33417721e+00  3.46590000e-02  4.29600000e+03  6.21400000e-09  0.00000000e+00
1.67768890e-03  6.33363373e+00  3.46770000e-02  4.25560000e+03  6.65400000e-09  0.00000000e+00
1.69446580e-03  6.33306953e+00  3.46950000e-02  4.21570000e+03  7.12500000e-09  0.00000000e+00
1.71141050e-03  6.33255018e+00  3.47130000e-02  4.17610000e+03  7.62700000e-09  0.00000000e+00
1.72852460e-03  6.33194297e+00  3.47320000e-02  4.13700000e+03  8.16400000e-09  0.00000000e+00
1.74580980e-03  6.33131427e+00  3.47500000e-02  4.09820000e+03  8.73800000e-09  0.00000000e+00
1.76326790e-03  6.33066376e+00  3.47690000e-02  4.05990000e+03  9.35100000e-09  0.00000000e+00
1.78090060e-03  6.32999116e+00  3.47890000e-02  4.02190000e+03  1.00100000e-08  0.00000000e+00
1.79870960e-03  6.32929614e+00  3.48080000e-02  3.98430000e+03  1.07000000e-08  0.00000000e+00
1.81669670e-03  6.32857839e+00  3.48280000e-02  3.94710000e+03  1.14500000e-08  0.00000000e+00
1.83486370e-03  6.32783755e+00  3.48480000e-02  3.91030000e+03  1.22500000e-08  0.00000000e+00
1.85321230e-03  6.32707328e+00  3.48680000e-02  3.87380000e+03  1.31000000e-08  0.00000000e+00
1.87174440e-03  6.32628521e+00  3.48890000e-02  3.83770000e+03  1.40000000e-08  0.00000000e+00
1.89046190e-03  6.32547296e+00  3.49090000e-02  3.80200000e+03  1.49700000e-08  0.00000000e+00
1.90936650e-03  6.32463615e+00  3.49310000e-02  3.76660000e+03  1.60100000e-08  0.00000000e+00
1.92846020e-03  6.32377436e+00  3.49520000e-02  3.73160000e+03  1.71100000e-08  0.00000000e+00
1.94774480e-03  6.32288719e+00  3.49740000e-02  3.69700000e+03  1.82900000e-08  0.00000000e+00
1.96722220e-03  6.32197420e+00  3.49960000e-02  3.66270000e+03  1.95400000e-08  0.00000000e+00
1.98689440e-03  6.32103495e+00  3.50180000e-02  3.62870000e+03  2.08800000e-08  0.00000000e+00
2.00676340e-03  6.32006898e+00  3.50410000e-02  3.59510000e+03  2.23000000e-08  0.00000000e+00
2.02683100e-03  6.31907583e+00  3.50640000e-02  3.56180000e+03  2.38300000e-08  0.00000000e+00
2.04709930e-03  6.31805502e+00  3.50870000e-02  3.52890000e+03  2.54500000e-08  0.00000000e+00
2.06757030e-03  6.31700605e+00  3.51100000e-02  3.49630000e+03  2.71800000e-08  0.00000000e+00
2.08824600e-03  6.31592841e+00  3.51340000e-02  3.46410000e+03  2.90200000e-08  0.00000000e+00
2.10912850e-03  6.31482158e+00  3.51590000e-02  3.43210000e+03  3.09800000e-08  0.00000000e+00
2.13021980e-03  6.31368503e+00  3.51830000e-02  3.40050000e+03  3.30700000e-08  0.00000000e+00
2.15152200e-03  6.31251819e+00  3.52080000e-02  3.36930000e+03  3.53000000e-08  0.00000000e+00
2.17303720e-03  6.31132052e+00  3.52340000e-02  3.33830000e+03  3.76700000e-08  0.00000000e+00
2.19476750e-03  6.31009142e+00  3.52590000e-02  3.30770000e+03  4.02000000e-08  0.00000000e+00
2.21671520e-03  6.30883030e+00  3.52850000e-02  3.27730000e+03  4.28900000e-08  0.00000000e+00
2.23888240e-03  6.30753656e+00  3.53120000e-02  3.24730000e+03  4.57600000e-08  0.00000000e+00
2.26127120e-03  6.30620956e+00  3.53390000e-02  3.21760000e+03  4.88100000e-08  0.00000000e+00
2.28388390e-03  6.30484867e+00  3.53660000e-02  3.18820000e+03  5.20600000e-08  0.00000000e+00
2.30672270e-03  6.30345324e+00  3.53940000e-02  3.15910000e+03  5.55200000e-08  0.00000000e+00
2.32979000e-03  6.30202258e+00  3.54220000e-02  3.13030000e+03  5.92000000e-08  0.00000000e+00
2.35308790e-03  6.30055600e+00  3.54500000e-02  3.10180000e+03  6.31100000e-08  0.00000000e+00
2.37661870e-03  6.29905281e+00  3.54790000e-02  3.07360000e+03  6.72800000e-08  0.00000000e+00
2.40038490e-03  6.29751227e+00  3.55080000e-02  3.04570000e+03  7.17100000e-08  0.00000000e+00
2.42438880e-03  6.29593365e+00  3.55380000e-02  3.01810000e+03  7.64200000e-08  0.00000000e+00
2.44863270e-03  6.29431619e+00  3.55680000e-02  2.99070000e+03  8.14400000e-08  0.00000000e+00
2.47311900e-03  6.29265910e+00  3.55990000e-02  2.96370000e+03  8.67700000e-08  0.00000000e+00
2.49785020e-03  6.29096159e+00  3.56300000e-02  2.93690000e+03  9.24400000e-08  0.00000000e+00
2.52282870e-03  6.28922285e+00  3.56620000e-02  2.91040000e+03  9.84600000e-08  0.00000000e+00
2.54805700e-03  6.28744204e+00  3.56940000e-02  2.88420000e+03  1.04900000e-07  0.00000000e+00
2.57353760e-03  6.28561830e+00  3.57270000e-02  2.85820000e+03  1.11700000e-07  0.00000000e+00
2.59927290e-03  6.28375076e+00  3.57600000e-02  2.83250000e+03  1.18900000e-07  0.00000000e+00
2.62526570e-03  6.28183851e+00  3.57930000e-02  2.80710000e+03  1.26600000e-07  0.00000000e+00
2.65151830e-03  6.27988065e+00  3.58280000e-02  2.78200000e+03  1.34800000e-07  0.00000000e+00
2.67803350e-03  6.27787623e+00  3.58620000e-02  2.75710000e+03  1.43400000e-07  0.00000000e+00
2.70481380e-03  6.27582429e+00  3.58980000e-02  2.73250000e+03  1.52700000e-07  0.00000000e+00
2.73186200e-03  6.27372384e+00  3.59340000e-02  2.70820000e+03  1.62500000e-07  0.00000000e+00
2.75918060e-03  6.27157387e+00  3.59700000e-02  2.68410000e+03  1.72800000e-07  0.00000000e+00
