#  Pb:    Z = 82;   Atomic weight = 207.2000 g/mol ;    nominal density:   [INLINE] = 1.1330E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.44064E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.03090E+05
#         23 edges. Edge energies (keV):
# K      8.80045E+01  L I    1.58608E+01  L II   1.52000E+01  L III  1.30352E+01
# M I    3.85070E+00  M II   3.55420E+00  M III  3.06640E+00  M IV   2.58560E+00
# M V    2.48400E+00  N I    8.93600E-01  N II   7.63900E-01  N III  6.44500E-01
# N IV   4.35200E-01  N V    4.12900E-01  N VI   1.42900E-01  N VII  1.38100E-01
# O I    1.47300E-01  O II   1.04800E-01  O III  8.60000E-02  O IV   2.18000E-02
# O V    1.92000E-02  P I    1.16904E-02  P II   4.91166E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.9001E+00, -1.1136E+00 e/atom
#         Nuclear Thomson correction fNT = -1.7802E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=82, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.37284645e+00  4.54240000e-02  9.13390000e+03  1.36200000e-10  0.00000000e+00
1.02010000e-03  7.38078731e+00  4.54730000e-02  9.05330000e+03  1.46800000e-10  0.00000000e+00
1.03030100e-03  7.38598692e+00  4.55230000e-02  8.97350000e+03  1.58300000e-10  0.00000000e+00
1.04060400e-03  7.38892476e+00  4.55740000e-02  8.89450000e+03  1.70700000e-10  0.00000000e+00
1.05101010e-03  7.39097826e+00  4.56260000e-02  8.81640000e+03  1.84000000e-10  0.00000000e+00
1.06152020e-03  7.39257938e+00  4.56780000e-02  8.73910000e+03  1.98300000e-10  0.00000000e+00
1.07213540e-03  7.39393872e+00  4.57310000e-02  8.66260000e+03  2.13700000e-10  0.00000000e+00
1.08285670e-03  7.39493670e+00  4.57850000e-02  8.58690000e+03  2.30300000e-10  0.00000000e+00
1.09368530e-03  7.39573660e+00  4.58390000e-02  8.51210000e+03  2.48100000e-10  0.00000000e+00
1.10462210e-03  7.39684442e+00  4.58950000e-02  8.43800000e+03  2.67300000e-10  0.00000000e+00
1.11566830e-03  7.39743579e+00  4.59510000e-02  8.36470000e+03  2.87900000e-10  0.00000000e+00
1.12682500e-03  7.39773978e+00  4.60090000e-02  8.29220000e+03  3.10000000e-10  0.00000000e+00
1.13809330e-03  7.39795073e+00  4.60670000e-02  8.22050000e+03  3.33900000e-10  0.00000000e+00
1.14947420e-03  7.39807799e+00  4.61260000e-02  8.14960000e+03  3.59500000e-10  0.00000000e+00
1.16096900e-03  7.39812906e+00  4.61860000e-02  8.07940000e+03  3.87000000e-10  0.00000000e+00
1.17257860e-03  7.39811003e+00  4.62470000e-02  8.00990000e+03  4.16600000e-10  0.00000000e+00
1.18430440e-03  7.39802587e+00  4.63090000e-02  7.94120000e+03  4.48400000e-10  0.00000000e+00
1.19614750e-03  7.39788070e+00  4.63720000e-02  7.87330000e+03  4.82500000e-10  0.00000000e+00
1.20810900e-03  7.39767797e+00  4.64360000e-02  7.80610000e+03  5.19200000e-10  0.00000000e+00
1.22019000e-03  7.39742053e+00  4.65010000e-02  7.73960000e+03  5.58600000e-10  0.00000000e+00
1.23239190e-03  7.39711080e+00  4.65670000e-02  7.67390000e+03  6.00900000e-10  0.00000000e+00
1.24471590e-03  7.39675079e+00  4.66340000e-02  7.60890000e+03  6.46400000e-10  0.00000000e+00
1.25716300e-03  7.39634222e+00  4.67020000e-02  7.54450000e+03  6.95200000e-10  0.00000000e+00
1.26973460e-03  7.39588651e+00  4.67710000e-02  7.48090000e+03  7.47500000e-10  0.00000000e+00
1.28243200e-03  7.39538485e+00  4.68420000e-02  7.41800000e+03  8.03700000e-10  0.00000000e+00
1.29525630e-03  7.39483822e+00  4.69140000e-02  7.35580000e+03  8.64100000e-10  0.00000000e+00
1.30820890e-03  7.39424745e+00  4.69870000e-02  7.29430000e+03  9.28800000e-10  0.00000000e+00
1.32129100e-03  7.39372231e+00  4.70610000e-02  7.23350000e+03  9.98300000e-10  0.00000000e+00
1.33450390e-03  7.39303907e+00  4.71360000e-02  7.17340000e+03  1.07300000e-09  0.00000000e+00
1.34784890e-03  7.39231363e+00  4.72130000e-02  7.11390000e+03  1.15300000e-09  0.00000000e+00
1.36132740e-03  7.39167564e+00  4.72910000e-02  7.05510000e+03  1.23800000e-09  0.00000000e+00
1.37494070e-03  7.39085932e+00  4.73700000e-02  6.99700000e+03  1.33000000e-09  0.00000000e+00
1.38869010e-03  7.39000173e+00  4.74510000e-02  6.93950000e+03  1.42900000e-09  0.00000000e+00
1.40257700e-03  7.38920010e+00  4.75330000e-02  6.88270000e+03  1.53500000e-09  0.00000000e+00
1.41660280e-03  7.38825797e+00  4.76170000e-02  6.82660000e+03  1.64800000e-09  0.00000000e+00
1.43076880e-03  7.38727429e+00  4.77020000e-02  6.77100000e+03  1.76900000e-09  0.00000000e+00
