#  Bi:    Z = 83;   Atomic weight = 208.9804 g/mol ;    nominal density:   [INLINE] = 9.7300E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.47020E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.01360E+05
#         23 edges. Edge energies (keV):
# K      9.05259E+01  L I    1.63875E+01  L II   1.57111E+01  L III  1.34186E+01
# M I    3.99910E+00  M II   3.69630E+00  M III  3.17690E+00  M IV   2.68760E+00
# M V    2.57960E+00  N I    9.38200E-01  N II   8.05300E-01  N III  6.78900E-01
# N IV   4.63600E-01  N V    4.40000E-01  N VI   1.61900E-01  N VII  1.57400E-01
# O I    1.59300E-01  O II   1.16800E-01  O III  9.28000E-02  O IV   2.65000E-02
# O V    2.44000E-02  P I    1.42334E-02  P II   6.16991E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -1.9618E+00, -1.1484E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8084E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=83, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  6.09421017e+00  3.89590000e-02  7.76700000e+03  1.05100000e-10  0.00000000e+00
1.02010000e-03  6.10089548e+00  3.89870000e-02  7.69570000e+03  1.13400000e-10  0.00000000e+00
1.03030100e-03  6.10539650e+00  3.90160000e-02  7.62510000e+03  1.22400000e-10  0.00000000e+00
1.04060400e-03  6.10789384e+00  3.90450000e-02  7.55520000e+03  1.32100000e-10  0.00000000e+00
1.05101010e-03  6.10963690e+00  3.90740000e-02  7.48610000e+03  1.42500000e-10  0.00000000e+00
1.06152020e-03  6.11101622e+00  3.91040000e-02  7.41760000e+03  1.53700000e-10  0.00000000e+00
1.07213540e-03  6.11224607e+00  3.91340000e-02  7.34990000e+03  1.65700000e-10  0.00000000e+00
1.08285670e-03  6.11312466e+00  3.91650000e-02  7.28280000e+03  1.78700000e-10  0.00000000e+00
1.09368530e-03  6.11384245e+00  3.91960000e-02  7.21640000e+03  1.92700000e-10  0.00000000e+00
1.10462210e-03  6.11491174e+00  3.92280000e-02  7.15070000e+03  2.07800000e-10  0.00000000e+00
1.11566830e-03  6.11531507e+00  3.92600000e-02  7.08570000e+03  2.24000000e-10  0.00000000e+00
1.12682500e-03  6.11606589e+00  3.92920000e-02  7.02140000e+03  2.41400000e-10  0.00000000e+00
1.13809330e-03  6.11627062e+00  3.93250000e-02  6.95770000e+03  2.60200000e-10  0.00000000e+00
1.14947420e-03  6.11640927e+00  3.93580000e-02  6.89470000e+03  2.80400000e-10  0.00000000e+00
1.16096900e-03  6.11648761e+00  3.93920000e-02  6.83230000e+03  3.02100000e-10  0.00000000e+00
1.17257860e-03  6.11651034e+00  3.94270000e-02  6.77050000e+03  3.25500000e-10  0.00000000e+00
1.18430440e-03  6.11648133e+00  3.94620000e-02  6.70940000e+03  3.50600000e-10  0.00000000e+00
1.19614750e-03  6.11640380e+00  3.94970000e-02  6.64900000e+03  3.77600000e-10  0.00000000e+00
1.20810900e-03  6.11628044e+00  3.95330000e-02  6.58910000e+03  4.06600000e-10  0.00000000e+00
1.22019000e-03  6.11611351e+00  3.95690000e-02  6.52990000e+03  4.37800000e-10  0.00000000e+00
1.23239190e-03  6.11590492e+00  3.96060000e-02  6.47130000e+03  4.71300000e-10  0.00000000e+00
1.24471590e-03  6.11565629e+00  3.96440000e-02  6.41330000e+03  5.07400000e-10  0.00000000e+00
1.25716300e-03  6.11536899e+00  3.96820000e-02  6.35590000e+03  5.46100000e-10  0.00000000e+00
1.26973460e-03  6.11504416e+00  3.97210000e-02  6.29910000e+03  5.87700000e-10  0.00000000e+00
1.28243200e-03  6.11468279e+00  3.97600000e-02  6.24290000e+03  6.32300000e-10  0.00000000e+00
1.29525630e-03  6.11428569e+00  3.98000000e-02  6.18730000e+03  6.80300000e-10  0.00000000e+00
1.30820890e-03  6.11385353e+00  3.98400000e-02  6.13220000e+03  7.31800000e-10  0.00000000e+00
1.32129100e-03  6.11338689e+00  3.98810000e-02  6.07780000e+03  7.87200000e-10  0.00000000e+00
1.33450390e-03  6.11288620e+00  3.99230000e-02  6.02390000e+03  8.46600000e-10  0.00000000e+00
1.34784890e-03  6.11235184e+00  3.99650000e-02  5.97060000e+03  9.10300000e-10  0.00000000e+00
1.36132740e-03  6.11178407e+00  4.00080000e-02  5.91780000e+03  9.78800000e-10  0.00000000e+00
1.37494070e-03  6.11130818e+00  4.00520000e-02  5.86560000e+03  1.05200000e-09  0.00000000e+00
1.38869010e-03  6.11066740e+00  4.00960000e-02  5.81390000e+03  1.13100000e-09  0.00000000e+00
1.40257700e-03  6.10999400e+00  4.01410000e-02  5.76280000e+03  1.21600000e-09  0.00000000e+00
1.41660280e-03  6.10938501e+00  4.01870000e-02  5.71230000e+03  1.30600000e-09  0.00000000e+00
1.43076880e-03  6.10864449e+00  4.02330000e-02  5.66230000e+03  1.40300000e-09  0.00000000e+00
1.44507650e-03  6.10787118e+00  4.02800000e-02  5.61280000e+03  1.50800000e-09  0.00000000e+00
1.45952720e-03  6.10706491e+00  4.03280000e-02  5.56380000e+03  1.62000000e-09  0.00000000e+00
1.47412250e-03  6.10633425e+00  4.03770000e-02  5.51540000e+03  1.74000000e-09  0.00000000e+00
1.48886370e-03  6.10545634e+00  4.04260000e-02  5.46740000e+03  1.86800000e-09  0.00000000e+00
1.50375240e-03  6.10454500e+00  4.04770000e-02  5.42000000e+03  2.00600000e-09  0.00000000e+00
1.51878990e-03  6.10364078e+00  4.05280000e-02  5.37310000e+03  2.15300000e-09  0.00000000e+00
1.53397780e-03  6.10266084e+00  4.05800000e-02  5.32680000e+03  2.31200000e-09  0.00000000e+00
1.54931760e-03  6.10169303e+00  4.06320000e-02  5.28090000e+03  2.48100000e-09  0.00000000e+00
1.56481070e-03  6.10064284e+00  4.06860000e-02  5.23550000e+03  2.66300000e-09  0.00000000e+00
1.58045890e-03  6.09955725e+00  4.07410000e-02  5.19060000e+03  2.85700000e-09  0.00000000e+00
1.59626340e-03  6.09843576e+00  4.07960000e-02  5.14620000e+03  3.06600000e-09  0.00000000e+00
1.61222610e-03  6.09727785e+00  4.08520000e-02  5.10230000e+03  3.28900000e-09  0.00000000e+00
1.62834830e-03  6.09608298e+00  4.09100000e-02  5.05880000e+03  3.52800000e-09  0.00000000e+00
1.64463180e-03  6.09485057e+00  4.09680000e-02  5.01590000e+03  3.78300000e-09  0.00000000e+00
1.66107810e-03  6.09358001e+00  4.10270000e-02  4.97340000e+03  4.05700000e-09  0.00000000e+00
1.67768890e-03  6.09227067e+00  4.10870000e-02  4.93140000e+03  4.35000000e-09  0.00000000e+00
1.69446580e-03  6.09092189e+00  4.11490000e-02  4.88990000e+03  4.66300000e-09  0.00000000e+00
1.71141050e-03  6.08953297e+00  4.12110000e-02  4.84880000e+03  4.99900000e-09  0.00000000e+00
1.72852460e-03  6.08810320e+00  4.12750000e-02  4.80820000e+03  5.35700000e-09  0.00000000e+00
1.74580980e-03  6.08663182e+00  4.13390000e-02  4.76800000e+03  5.74100000e-09  0.00000000e+00
1.76326790e-03  6.08511807e+00  4.14050000e-02  4.72830000e+03  6.15200000e-09  0.00000000e+00
1.78090060e-03  6.08362785e+00  4.14720000e-02  4.68910000e+03  6.59100000e-09  0.00000000e+00
1.79870960e-03  6.08202612e+00  4.15400000e-02  4.65030000e+03  7.06000000e-09  0.00000000e+00
1.81669670e-03  6.08037951e+00  4.16090000e-02  4.61190000e+03  7.56200000e-09  0.00000000e+00
1.83486370e-03  6.07868713e+00  4.16800000e-02  4.57400000e+03  8.09800000e-09  0.00000000e+00
1.85321230e-03  6.07694806e+00  4.17520000e-02  4.53650000e+03  8.67100000e-09  0.00000000e+00
1.87174440e-03  6.07516132e+00  4.18250000e-02  4.49950000e+03  9.28400000e-09  0.00000000e+00
1.89046190e-03  6.07332594e+00  4.18990000e-02  4.46280000e+03  9.93900000e-09  0.00000000e+00
1.90936650e-03  6.07144089e+00  4.19750000e-02  4.42670000e+03  1.06400000e-08  0.00000000e+00
1.92846020e-03  6.06950511e+00  4.20530000e-02  4.39090000e+03  1.13900000e-08  0.00000000e+00
1.94774480e-03  6.06751751e+00  4.21310000e-02  4.35560000e+03  1.21800000e-08  0.00000000e+00
1.96722220e-03  6.06547697e+00  4.22120000e-02  4.32070000e+03  1.30400000e-08  0.00000000e+00
1.98689440e-03  6.06338232e+00  4.22930000e-02  4.28620000e+03  1.39500000e-08  0.00000000e+00
2.00676340e-03  6.06123236e+00  4.23770000e-02  4.25210000e+03  1.49200000e-08  0.00000000e+00
2.02683100e-03  6.05902585e+00  4.24620000e-02  4.21850000e+03  1.59500000e-08  0.00000000e+00
2.04709930e-03  6.05676151e+00  4.25480000e-02  4.18520000e+03  1.70600000e-08  0.00000000e+00
2.06757030e-03  6.05443803e+00  4.26370000e-02  4.15240000e+03  1.82400000e-08  0.00000000e+00
2.08824600e-03  6.05205405e+00  4.27270000e-02  4.12000000e+03  1.95000000e-08  0.00000000e+00
2.10912850e-03  6.04960815e+00  4.28190000e-02  4.08790000e+03  2.08500000e-08  0.00000000e+00
2.13021980e-03  6.04709888e+00  4.29130000e-02  4.05630000e+03  2.22800000e-08  0.00000000e+00
2.15152200e-03  6.04452477e+00  4.30080000e-02  4.02510000e+03  2.38100000e-08  0.00000000e+00
2.17303720e-03  6.04188425e+00  4.31060000e-02  3.99430000e+03  2.54500000e-08  0.00000000e+00
2.19476750e-03  6.03917573e+00  4.32060000e-02  3.96390000e+03  2.71900000e-08  0.00000000e+00
2.21671520e-03  6.03639758e+00  4.33070000e-02  3.93390000e+03  2.90400000e-08  0.00000000e+00
2.23888240e-03  6.03354809e+00  4.34110000e-02  3.90430000e+03  3.10200000e-08  0.00000000e+00
2.26127120e-03  6.03062552e+00  4.35170000e-02  3.87510000e+03  3.31300000e-08  0.00000000e+00
2.28388390e-03  6.02762805e+00  4.36250000e-02  3.84630000e+03  3.53800000e-08  0.00000000e+00
2.30672270e-03  6.02455381e+00  4.37360000e-02  3.81780000e+03  3.77800000e-08  0.00000000e+00
2.32979000e-03  6.02140088e+00  4.38490000e-02  3.78980000e+03  4.03300000e-08  0.00000000e+00
2.35308790e-03  6.01816727e+00  4.39640000e-02  3.76220000e+03  4.30500000e-08  0.00000000e+00
2.37661870e-03  6.01485090e+00  4.40820000e-02  3.73490000e+03  4.59500000e-08  0.00000000e+00
2.40038490e-03  6.01144967e+00  4.42030000e-02  3.70810000e+03  4.90400000e-08  0.00000000e+00
2.42438880e-03  6.00796135e+00  4.43270000e-02  3.68160000e+03  5.23200000e-08  0.00000000e+00
2.44863270e-03  6.00438370e+00  4.44530000e-02  3.65550000e+03  5.58200000e-08  0.00000000e+00
2.47311900e-03  6.00071434e+00  4.45820000e-02  3.62980000e+03  5.95500000e-08  0.00000000e+00
2.49785020e-03  5.99695085e+00  4.47140000e-02  3.60450000e+03  6.35200000e-08  0.00000000e+00
2.52282870e-03  5.99309070e+00  4.48490000e-02  3.57960000e+03  6.77400000e-08  0.00000000e+00
2.54805700e-03  5.98913131e+00  4.49870000e-02  3.55510000e+03  7.22300000e-08  0.00000000e+00
2.57353760e-03  5.98506996e+00  4.51290000e-02  3.53100000e+03  7.70200000e-08  0.00000000e+00
2.59927290e-03  5.98090387e+00  4.52740000e-02  3.50730000e+03  8.21000000e-08  0.00000000e+00
2.62526570e-03  5.97663015e+00  4.54220000e-02  3.48390000e+03  8.75200000e-08  0.00000000e+00
2.65151830e-03  5.97224579e+00  4.55750000e-02  3.46100000e+03  9.32800000e-08  0.00000000e+00
2.67803350e-03  5.96774769e+00  4.57300000e-02  3.43850000e+03  9.94000000e-08  0.00000000e+00
2.70481380e-03  5.96313263e+00  4.58900000e-02  3.41630000e+03  1.05900000e-07  0.00000000e+00
2.73186200e-03  5.95839726e+00  4.60540000e-02  3.39460000e+03  1.12800000e-07  0.00000000e+00
2.75918060e-03  5.95353812e+00  4.62220000e-02  3.37320000e+03  1.20200000e-07  0.00000000e+00
2.78677240e-03  5.94855161e+00  4.63950000e-02  3.35230000e+03  1.28000000e-07  0.00000000e+00
2.81464010e-03  5.94343399e+00  4.65720000e-02  3.33180000e+03  1.36300000e-07  0.00000000e+00
2.84278650e-03  5.93818138e+00  4.67540000e-02  3.31160000e+03  1.45200000e-07  0.00000000e+00
2.87121440e-03  5.93278973e+00  4.69400000e-02  3.29190000e+03  1.54600000e-07  0.00000000e+00
2.89992650e-03  5.92725485e+00  4.71320000e-02  3.27270000e+03  1.64600000e-07  0.00000000e+00
2.92892580e-03  5.92157237e+00  4.73290000e-02  3.25380000e+03  1.75200000e-07  0.00000000e+00
2.95821510e-03  5.91573775e+00  4.75310000e-02  3.23530000e+03  1.86400000e-07  0.00000000e+00
2.98779720e-03  5.90974626e+00  4.77390000e-02  3.21730000e+03  1.98400000e-07  0.00000000e+00
3.01767520e-03  5.90359295e+00  4.79530000e-02  3.19980000e+03  2.11100000e-07  0.00000000e+00
3.04785190e-03  5.89727269e+00  4.81730000e-02  3.18260000e+03  2.24600000e-07  0.00000000e+00
3.07833040e-03  5.89078011e+00  4.84000000e-02  3.16600000e+03  2.38900000e-07  0.00000000e+00
3.10911370e-03  5.88410963e+00  4.86340000e-02  3.14970000e+03  2.54100000e-07  0.00000000e+00
3.14020490e-03  5.87725539e+00  4.88740000e-02  3.13400000e+03  2.70200000e-07  0.00000000e+00
3.17160690e-03  5.87021129e+00  4.91220000e-02  3.11870000e+03  2.87300000e-07  0.00000000e+00
3.20332300e-03  5.86297094e+00  4.93770000e-02  3.10380000e+03  3.05500000e-07  0.00000000e+00
3.23535620e-03  5.85552767e+00  4.96410000e-02  3.08950000e+03  3.24800000e-07  0.00000000e+00
3.26770980e-03  5.84787449e+00  4.99130000e-02  3.07570000e+03  3.45200000e-07  0.00000000e+00
3.30038690e-03  5.84000407e+00  5.01930000e-02  3.06230000e+03  3.66900000e-07  0.00000000e+00
3.33339080e-03  5.83190873e+00  5.04830000e-02  3.04950000e+03  3.89900000e-07  0.00000000e+00
3.36672470e-03  5.82358042e+00  5.07830000e-02  3.03730000e+03  4.14300000e-07  0.00000000e+00
3.40039190e-03  5.81501068e+00  5.10930000e-02  3.02550000e+03  4.40100000e-07  0.00000000e+00
3.43439580e-03  5.80619063e+00  5.14130000e-02  3.01440000e+03  4.67600000e-07  0.00000000e+00
3.46873980e-03  5.79711091e+00  5.17450000e-02  3.00380000e+03  4.96600000e-07  0.00000000e+00
3.50342720e-03  5.78776170e+00  5.20880000e-02  2.99380000e+03  5.27400000e-07  0.00000000e+00
3.53846150e-03  5.77813263e+00  5.24440000e-02  2.98440000e+03  5.60000000e-07  0.00000000e+00
3.57384610e-03  5.76821278e+00  5.28130000e-02  2.97560000e+03  5.94600000e-07  0.00000000e+00
3.60958450e-03  5.75799060e+00  5.31960000e-02  2.96750000e+03  6.31200000e-07  0.00000000e+00
3.64568040e-03  5.74745394e+00  5.35930000e-02  2.96010000e+03  6.70000000e-07  0.00000000e+00
3.68213720e-03  5.73658988e+00  5.40060000e-02  2.95340000e+03  7.11100000e-07  0.00000000e+00
3.71895860e-03  5.72538481e+00  5.44350000e-02  2.94740000e+03  7.54700000e-07  0.00000000e+00
3.75614810e-03  5.71382426e+00  5.48820000e-02  2.94210000e+03  8.00700000e-07  0.00000000e+00
3.79370960e-03  5.70189289e+00  5.53470000e-02  2.93770000e+03  8.49500000e-07  0.00000000e+00
3.83164670e-03  5.68957441e+00  5.58310000e-02  2.93400000e+03  9.01200000e-07  0.00000000e+00
3.86996320e-03  5.67685148e+00  5.63370000e-02  2.93130000e+03  9.55900000e-07  0.00000000e+00
3.90866280e-03  5.66370564e+00  5.68640000e-02  2.92940000e+03  1.01400000e-06  0.00000000e+00
3.94774950e-03  5.65011720e+00  5.74150000e-02  2.92850000e+03  1.07500000e-06  0.00000000e+00
3.98722690e-03  5.63606513e+00  5.79920000e-02  2.92870000e+03  1.14000000e-06  0.00000000e+00
4.02709920e-03  5.62152692e+00  5.85950000e-02  2.92980000e+03  1.20800000e-06  0.00000000e+00
4.06737020e-03  5.60647849e+00  5.92270000e-02  2.93210000e+03  1.28100000e-06  0.00000000e+00
4.10804390e-03  5.59089396e+00  5.98900000e-02  2.93560000e+03  1.35800000e-06  0.00000000e+00
4.14912440e-03  5.57474553e+00  6.05870000e-02  2.94030000e+03  1.43900000e-06  0.00000000e+00
4.19061560e-03  5.55800328e+00  6.13190000e-02  2.94640000e+03  1.52400000e-06  0.00000000e+00
4.23252170e-03  5.54063490e+00  6.20900000e-02  2.95390000e+03  1.61500000e-06  0.00000000e+00
4.27484700e-03  5.52260548e+00  6.29030000e-02  2.96300000e+03  1.71100000e-06  0.00000000e+00
4.31759540e-03  5.50387719e+00  6.37610000e-02  2.97360000e+03  1.81200000e-06  0.00000000e+00
4.36077140e-03  5.48440900e+00  6.46690000e-02  2.98610000e+03  1.91900000e-06  0.00000000e+00
4.40437910e-03  5.46415620e+00  6.56300000e-02  3.00050000e+03  2.03200000e-06  0.00000000e+00
4.44842290e-03  5.44307009e+00  6.66490000e-02  3.01690000e+03  2.15200000e-06  0.00000000e+00
4.49290710e-03  5.42109735e+00  6.77330000e-02  3.03560000e+03  2.27800000e-06  0.00000000e+00
4.53783620e-03  5.39817956e+00  6.88860000e-02  3.05670000e+03  2.41200000e-06  0.00000000e+00
4.58321460e-03  5.37425243e+00  7.01170000e-02  3.08050000e+03  2.55300000e-06  0.00000000e+00
4.62904670e-03  5.34924507e+00  7.14320000e-02  3.10730000e+03  2.70200000e-06  0.00000000e+00
4.67533720e-03  5.32307898e+00  7.28420000e-02  3.13720000e+03  2.85900000e-06  0.00000000e+00
4.72209050e-03  5.29566701e+00  7.43560000e-02  3.17070000e+03  3.02500000e-06  0.00000000e+00
4.76931140e-03  5.26691196e+00  7.59880000e-02  3.20820000e+03  3.20000000e-06  0.00000000e+00
4.81700460e-03  5.23670506e+00  7.77500000e-02  3.25010000e+03  3.38500000e-06  0.00000000e+00
4.86517460e-03  5.20492400e+00  7.96590000e-02  3.29690000e+03  3.58000000e-06  0.00000000e+00
4.91382640e-03  5.17143064e+00  8.17340000e-02  3.34930000e+03  3.78600000e-06  0.00000000e+00
4.96296460e-03  5.13606816e+00  8.39980000e-02  3.40800000e+03  4.00300000e-06  0.00000000e+00
5.01259430e-03  5.09865757e+00  8.64790000e-02  3.47390000e+03  4.23200000e-06  0.00000000e+00
5.06272020e-03  5.05899332e+00  8.92080000e-02  3.54810000e+03  4.47400000e-06  0.00000000e+00
5.11334740e-03  5.01683788e+00  9.22250000e-02  3.63180000e+03  4.72900000e-06  0.00000000e+00
5.16448090e-03  4.97196408e+00  9.55780000e-02  3.72650000e+03  4.99800000e-06  0.00000000e+00
5.21612570e-03  4.92394832e+00  9.93260000e-02  3.83430000e+03  5.28200000e-06  0.00000000e+00
