#  Po:    Z = 84;   Atomic weight = 209.0000 g/mol ;    nominal density:   [INLINE] = 9.3000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.47053E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.01341E+05
#         24 edges. Edge energies (keV):
#   24 edges. Edge energies (keV):
# K      9.31050E+01  L I    1.69393E+01  L II   1.62443E+01  L III  1.38138E+01
# M I    4.14940E+00  M II   3.85410E+00  M III  3.30190E+00  M IV   2.79800E+00
# M V    2.68300E+00  N I    9.95300E-01  N II   8.51000E-01  N III  7.05000E-01
# N IV   5.00200E-01  N V    4.73400E-01  N VI   1.75344E-01  N VII  1.69362E-01
# O I    1.70906E-01  O II   1.25695E-01  O III  9.83141E-02  O IV   3.14000E-02
# O V    3.14000E-02  P I    1.67777E-02  P II   7.55974E-03  P III  5.39477E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.0248E+00, -1.1838E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8520E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=84, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  4.41452656e+00  5.06400000e-02  1.00950000e+04  8.71100000e-11  0.00000000e+00
1.02010000e-03  4.42319511e+00  5.06920000e-02  1.00050000e+04  9.40800000e-11  0.00000000e+00
1.03030100e-03  4.43047689e+00  5.07440000e-02  9.91640000e+03  1.01600000e-10  0.00000000e+00
1.04060400e-03  4.43362731e+00  5.07970000e-02  9.82840000e+03  1.09700000e-10  0.00000000e+00
1.05101010e-03  4.43577331e+00  5.08510000e-02  9.74140000e+03  1.18400000e-10  0.00000000e+00
1.06152020e-03  4.43740160e+00  5.09050000e-02  9.65530000e+03  1.27800000e-10  0.00000000e+00
1.07213540e-03  4.43865361e+00  5.09600000e-02  9.57010000e+03  1.38000000e-10  0.00000000e+00
1.08285670e-03  4.43982173e+00  5.10170000e-02  9.48580000e+03  1.48900000e-10  0.00000000e+00
1.09368530e-03  4.44051584e+00  5.10730000e-02  9.40230000e+03  1.60600000e-10  0.00000000e+00
1.10462210e-03  4.44119212e+00  5.11310000e-02  9.31980000e+03  1.73300000e-10  0.00000000e+00
1.11566830e-03  4.44173917e+00  5.11900000e-02  9.23800000e+03  1.86900000e-10  0.00000000e+00
1.12682500e-03  4.44207530e+00  5.12490000e-02  9.15720000e+03  2.01600000e-10  0.00000000e+00
