#  At:    Z = 85;   Atomic weight = 210.0000 g/mol ;    nominal density:   [INLINE] = 1.0000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.48713E+02
#         E(eV) (cm2/g) = f2(e/atom)    2.00382E+05
#         24 edges. Edge energies (keV):
# K      9.57299E+01  L I    1.74930E+01  L II   1.67847E+01  L III  1.42135E+01
# M I    4.31700E+00  M II   4.00800E+00  M III  3.42600E+00  M IV   2.90870E+00
# M V    2.78670E+00  N I    1.04200E+00  N II   8.86000E-01  N III  7.40000E-01
# N IV   5.33200E-01  N V    4.75385E-01  N VI   1.97076E-01  N VII  1.90577E-01
# O I    1.85617E-01  O II   1.38499E-01  O III  1.08426E-01  O IV   4.15942E-02
# O V    3.76618E-02  P I    1.93390E-02  P II   9.03104E-03  P III  6.24450E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.0891E+00, -1.2198E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8874E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=85, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  7.33392438e+00  5.32420000e-02  1.05630000e+04  6.91600000e-11  0.00000000e+00
1.02010000e-03  7.34333213e+00  5.32900000e-02  1.04680000e+04  7.47500000e-11  0.00000000e+00
1.03030100e-03  7.34937875e+00  5.33380000e-02  1.03740000e+04  8.07800000e-11  0.00000000e+00
1.04060400e-03  7.35356830e+00  5.33870000e-02  1.02800000e+04  8.72800000e-11  0.00000000e+00
1.05101010e-03  7.35666797e+00  5.34370000e-02  1.01880000e+04  9.42900000e-11  0.00000000e+00
1.06152020e-03  7.35842650e+00  5.34880000e-02  1.00970000e+04  1.01800000e-10  0.00000000e+00
1.07213540e-03  7.35978825e+00  5.35390000e-02  1.00060000e+04  1.10000000e-10  0.00000000e+00
1.08285670e-03  7.36109092e+00  5.35910000e-02  9.91700000e+03  1.18800000e-10  0.00000000e+00
1.09368530e-03  7.36185985e+00  5.36440000e-02  9.82850000e+03  1.28300000e-10  0.00000000e+00
1.10462210e-03  7.36260489e+00  5.36970000e-02  9.74090000e+03  1.38500000e-10  0.00000000e+00
1.11566830e-03  7.36324766e+00  5.37510000e-02  9.65410000e+03  1.49500000e-10  0.00000000e+00
1.12682500e-03  7.36347564e+00  5.38060000e-02  9.56830000e+03  1.61300000e-10  0.00000000e+00
1.13809330e-03  7.36373551e+00  5.38620000e-02  9.48340000e+03  1.74100000e-10  0.00000000e+00
1.14947420e-03  7.36373086e+00  5.39180000e-02  9.39930000e+03  1.87900000e-10  0.00000000e+00
1.16096900e-03  7.36363439e+00  5.39760000e-02  9.31620000e+03  2.02700000e-10  0.00000000e+00
1.17257860e-03  7.36345323e+00  5.40340000e-02  9.23380000e+03  2.18600000e-10  0.00000000e+00
1.18430440e-03  7.36319324e+00  5.40930000e-02  9.15240000e+03  2.35800000e-10  0.00000000e+00
1.19614750e-03  7.36285921e+00  5.41520000e-02  9.07180000e+03  2.54300000e-10  0.00000000e+00
1.20810900e-03  7.36245513e+00  5.42130000e-02  8.99200000e+03  2.74200000e-10  0.00000000e+00
1.22019000e-03  7.36198432e+00  5.42740000e-02  8.91310000e+03  2.95600000e-10  0.00000000e+00
1.23239190e-03  7.36144956e+00  5.43370000e-02  8.83500000e+03  3.18700000e-10  0.00000000e+00
1.24471590e-03  7.36085317e+00  5.44000000e-02  8.75770000e+03  3.43500000e-10  0.00000000e+00
1.25716300e-03  7.36019709e+00  5.44640000e-02  8.68120000e+03  3.70200000e-10  0.00000000e+00
1.26973460e-03  7.35948293e+00  5.45290000e-02  8.60550000e+03  3.98900000e-10  0.00000000e+00
1.28243200e-03  7.35871206e+00  5.45950000e-02  8.53060000e+03  4.29800000e-10  0.00000000e+00
1.29525630e-03  7.35788556e+00  5.46630000e-02  8.45660000e+03  4.63000000e-10  0.00000000e+00
1.30820890e-03  7.35700434e+00  5.47310000e-02  8.38320000e+03  4.98700000e-10  0.00000000e+00
