#  Rn:    Z = 86;   Atomic weight = 222.0000 g/mol ;    nominal density:   [INLINE] = 9.2300E-04 g/cm3
#         a(barns/atom) = (cm2/g)    3.68640E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.89551E+05
#         24 edges. Edge energies (keV):
# K      9.84040E+01  L I    1.80490E+01  L II   1.73371E+01  L III  1.46194E+01
# M I    4.48200E+00  M II   4.15900E+00  M III  3.53800E+00  M IV   3.02150E+00
# M V    2.89240E+00  N I    1.09700E+00  N II   9.29000E-01  N III  7.68000E-01
# N IV   5.66600E-01  N V    5.37000E-01  N VI   2.19631E-01  N VII  2.12588E-01
# O I    2.00831E-01  O II   1.51771E-01  O III  1.18817E-01  O IV   4.86911E-02
# O V    4.42550E-02  P I    2.19397E-02  P II   1.05726E-02  P III  7.12588E-03
#         Relativistic correction estimate frel (H82,3/5CL) = -2.1548E+00, -1.2570E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8276E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=86, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.50862235e+00  5.14690000e-02  9.65950000e+03  5.35900000e-11  0.00000000e+00
1.02010000e-03  9.51796106e+00  5.15120000e-02  9.57180000e+03  5.79600000e-11  0.00000000e+00
1.03030100e-03  9.52378724e+00  5.15560000e-02  9.48510000e+03  6.26700000e-11  0.00000000e+00
1.04060400e-03  9.52805871e+00  5.16000000e-02  9.39920000e+03  6.77600000e-11  0.00000000e+00
1.05101010e-03  9.53042337e+00  5.16450000e-02  9.31420000e+03  7.32500000e-11  0.00000000e+00
1.06152020e-03  9.53223399e+00  5.16900000e-02  9.23000000e+03  7.91800000e-11  0.00000000e+00
1.07213540e-03  9.53364155e+00  5.17360000e-02  9.14680000e+03  8.55700000e-11  0.00000000e+00
1.08285670e-03  9.53492051e+00  5.17820000e-02  9.06430000e+03  9.24700000e-11  0.00000000e+00
1.09368530e-03  9.53583246e+00  5.18290000e-02  8.98270000e+03  9.99100000e-11  0.00000000e+00
1.10462210e-03  9.53643921e+00  5.18770000e-02  8.90200000e+03  1.07900000e-10  0.00000000e+00
1.11566830e-03  9.53731797e+00  5.19250000e-02  8.82210000e+03  1.16600000e-10  0.00000000e+00
1.12682500e-03  9.53756376e+00  5.19740000e-02  8.74300000e+03  1.25900000e-10  0.00000000e+00
1.13809330e-03  9.53784733e+00  5.20240000e-02  8.66470000e+03  1.36000000e-10  0.00000000e+00
1.14947420e-03  9.53785803e+00  5.20740000e-02  8.58720000e+03  1.46800000e-10  0.00000000e+00
1.16096900e-03  9.53777604e+00  5.21250000e-02  8.51050000e+03  1.58500000e-10  0.00000000e+00
1.17257860e-03  9.53760858e+00  5.21770000e-02  8.43460000e+03  1.71100000e-10  0.00000000e+00
1.18430440e-03  9.53736156e+00  5.22300000e-02  8.35950000e+03  1.84600000e-10  0.00000000e+00
1.19614750e-03  9.53703983e+00  5.22830000e-02  8.28510000e+03  1.99200000e-10  0.00000000e+00
1.20810900e-03  9.53664742e+00  5.23370000e-02  8.21160000e+03  2.14900000e-10  0.00000000e+00
1.22019000e-03  9.53618771e+00  5.23910000e-02  8.13870000e+03  2.31900000e-10  0.00000000e+00
1.23239190e-03  9.53566352e+00  5.24470000e-02  8.06670000e+03  2.50100000e-10  0.00000000e+00
1.24471590e-03  9.53507719e+00  5.25030000e-02  7.99540000e+03  2.69800000e-10  0.00000000e+00
1.25716300e-03  9.53443072e+00  5.25600000e-02  7.92480000e+03  2.90900000e-10  0.00000000e+00
1.26973460e-03  9.53372576e+00  5.26170000e-02  7.85490000e+03  3.13700000e-10  0.00000000e+00
1.28243200e-03  9.53296369e+00  5.26760000e-02  7.78580000e+03  3.38100000e-10  0.00000000e+00
1.29525630e-03  9.53214565e+00  5.27350000e-02  7.71740000e+03  3.64500000e-10  0.00000000e+00
