#  Fr:    Z = 87;   Atomic weight = 223.0000 g/mol ;    nominal density:   [INLINE] = 1.0000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.70300E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.88701E+05
#         24 edges. Edge energies (keV):
# K      1.01137E+02  L I    1.86390E+01  L II   1.79065E+01  L III  1.50312E+01
# M I    4.65200E+00  M II   4.32700E+00  M III  3.66300E+00  M IV   3.13620E+00
# M V    2.99970E+00  N I    1.15300E+00  N II   9.80000E-01  N III  8.10000E-01
# N IV   6.03300E-01  N V    5.77000E-01  N VI   2.46488E-01  N VII  2.38863E-01
# O I    2.20035E-01  O II   1.69009E-01  O III  1.32957E-01  O IV   5.95378E-02
# O V    5.45529E-02  P I    2.78679E-02  P II   1.51650E-02  P III  1.06123E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.2217E+00, -1.2942E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8620E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=87, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  8.92800742e+00  6.49130000e-02  1.21280000e+04  4.34500000e-11  0.00000000e+00
1.02010000e-03  8.94078520e+00  6.49510000e-02  1.20150000e+04  4.70100000e-11  0.00000000e+00
1.03030100e-03  8.94853601e+00  6.49900000e-02  1.19030000e+04  5.08700000e-11  0.00000000e+00
1.04060400e-03  8.95449969e+00  6.50290000e-02  1.17920000e+04  5.50300000e-11  0.00000000e+00
1.05101010e-03  8.95851979e+00  6.50690000e-02  1.16830000e+04  5.95300000e-11  0.00000000e+00
1.06152020e-03  8.96160079e+00  6.51090000e-02  1.15740000e+04  6.43800000e-11  0.00000000e+00
1.07213540e-03  8.96416405e+00  6.51490000e-02  1.14670000e+04  6.96200000e-11  0.00000000e+00
1.08285670e-03  8.96633720e+00  6.51900000e-02  1.13600000e+04  7.52700000e-11  0.00000000e+00
1.09368530e-03  8.96846856e+00  6.52320000e-02  1.12550000e+04  8.13800000e-11  0.00000000e+00
1.10462210e-03  8.97004460e+00  6.52740000e-02  1.11510000e+04  8.79600000e-11  0.00000000e+00
1.11566830e-03  8.97157074e+00  6.53170000e-02  1.10470000e+04  9.50700000e-11  0.00000000e+00
1.12682500e-03  8.97297944e+00  6.53600000e-02  1.09450000e+04  1.02700000e-10  0.00000000e+00
1.13809330e-03  8.97416512e+00  6.54030000e-02  1.08440000e+04  1.11000000e-10  0.00000000e+00
1.14947420e-03  8.97505713e+00  6.54470000e-02  1.07440000e+04  1.19900000e-10  0.00000000e+00
1.16096900e-03  8.97584477e+00  6.54920000e-02  1.06450000e+04  1.29500000e-10  0.00000000e+00
1.17257860e-03  8.97653852e+00  6.55370000e-02  1.05470000e+04  1.39900000e-10  0.00000000e+00
1.18430440e-03  8.97714698e+00  6.55830000e-02  1.04500000e+04  1.51100000e-10  0.00000000e+00
1.19614750e-03  8.97767728e+00  6.56290000e-02  1.03540000e+04  1.63100000e-10  0.00000000e+00
1.20810900e-03  8.97813540e+00  6.56760000e-02  1.02580000e+04  1.76100000e-10  0.00000000e+00
1.22019000e-03  8.97852639e+00  6.57240000e-02  1.01640000e+04  1.90100000e-10  0.00000000e+00
1.23239190e-03  8.97885455e+00  6.57720000e-02  1.00710000e+04  2.05200000e-10  0.00000000e+00
1.24471590e-03  8.97912355e+00  6.58210000e-02  9.97850000e+03  2.21400000e-10  0.00000000e+00
1.25716300e-03  8.97933654e+00  6.58700000e-02  9.88710000e+03  2.38900000e-10  0.00000000e+00
1.26973460e-03  8.97949626e+00  6.59200000e-02  9.79660000e+03  2.57700000e-10  0.00000000e+00
1.28243200e-03  8.97960505e+00  6.59700000e-02  9.70710000e+03  2.78000000e-10  0.00000000e+00
1.29525630e-03  8.97966496e+00  6.60220000e-02  9.61840000e+03  2.99800000e-10  0.00000000e+00
1.30820890e-03  8.97967775e+00  6.60730000e-02  9.53070000e+03  3.23300000e-10  0.00000000e+00
1.32129100e-03  8.97964497e+00  6.61260000e-02  9.44380000e+03  3.48600000e-10  0.00000000e+00
