#  Ra:    Z = 88;   Atomic weight = 226.0254 g/mol ;    nominal density:   [INLINE] = 5.0000E+00 g/cm3
#         a(barns/atom) = (cm2/g)    3.75324E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.86175E+05
#         24 edges. Edge energies (keV):
# K      1.03922E+02  L I    1.92367E+01  L II   1.84843E+01  L III  1.54444E+01
# M I    4.82200E+00  M II   4.48950E+00  M III  3.79180E+00  M IV   3.24840E+00
# M V    3.10490E+00  N I    1.20840E+00  N II   1.05760E+00  N III  8.79100E-01
# N IV   6.35900E-01  N V    6.02700E-01  N VI   2.98900E-01  N VII  2.98900E-01
# O I    2.54400E-01  O II   2.00400E-01  O III  1.52800E-01  O IV   6.72000E-02
# O V    6.72000E-02  P I    4.35000E-02  P II   1.88000E-02  P III  1.88000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.2901E+00, -1.3326E+00 e/atom
#         Nuclear Thomson correction fNT = -1.8795E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=88, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  9.74870294e+00  6.72080000e-02  1.23890000e+04  3.67600000e-11  0.00000000e+00
1.02010000e-03  9.76386873e+00  6.72260000e-02  1.22690000e+04  3.98000000e-11  0.00000000e+00
1.03030100e-03  9.77242307e+00  6.72440000e-02  1.21510000e+04  4.30900000e-11  0.00000000e+00
1.04060400e-03  9.77909348e+00  6.72620000e-02  1.20340000e+04  4.66300000e-11  0.00000000e+00
1.05101010e-03  9.78382754e+00  6.72800000e-02  1.19180000e+04  5.04700000e-11  0.00000000e+00
1.06152020e-03  9.78758718e+00  6.72990000e-02  1.18030000e+04  5.46100000e-11  0.00000000e+00
1.07213540e-03  9.79080315e+00  6.73170000e-02  1.16900000e+04  5.90800000e-11  0.00000000e+00
1.08285670e-03  9.79361173e+00  6.73360000e-02  1.15770000e+04  6.39100000e-11  0.00000000e+00
1.09368530e-03  9.79627801e+00  6.73560000e-02  1.14660000e+04  6.91200000e-11  0.00000000e+00
1.10462210e-03  9.79857754e+00  6.73750000e-02  1.13560000e+04  7.47500000e-11  0.00000000e+00
1.11566830e-03  9.80056901e+00  6.73950000e-02  1.12460000e+04  8.08300000e-11  0.00000000e+00
1.12682500e-03  9.80252232e+00  6.74140000e-02  1.11380000e+04  8.73900000e-11  0.00000000e+00
1.13809330e-03  9.80435248e+00  6.74340000e-02  1.10310000e+04  9.44700000e-11  0.00000000e+00
1.14947420e-03  9.80601483e+00  6.74550000e-02  1.09250000e+04  1.02100000e-10  0.00000000e+00
