#  Ac:    Z = 89;   Atomic weight = 227.0278 g/mol ;    nominal density:   [INLINE] = 1.0050E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.76989E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.85353E+05
#         24 edges. Edge energies (keV):
# K      1.06755E+02  L I    1.98400E+01  L II   1.90832E+01  L III  1.58710E+01
# M I    5.00200E+00  M II   4.65600E+00  M III  3.90900E+00  M IV   3.37020E+00
# M V    3.21900E+00  N I    1.26900E+00  N II   1.08000E+00  N III  8.90000E-01
# N IV   6.74900E-01  N V    6.37000E-01  N VI   3.03944E-01  N VII  2.95067E-01
# O I    2.61255E-01  O II   2.06171E-01  O III  1.63235E-01  O IV   8.31361E-02
# O V    7.69389E-02  P I    4.04636E-02  P II   2.51851E-02  P III  1.84021E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.3597E+00, -1.3722E+00 e/atom
#         Nuclear Thomson correction fNT = -1.9140E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=89, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.04366425e+01  3.74470000e-02  6.87220000e+03  3.29200000e-11  0.00000000e+00
1.02010000e-03  2.04449342e+01  3.74560000e-02  6.80590000e+03  3.56500000e-11  0.00000000e+00
1.03030100e-03  2.04498138e+01  3.74660000e-02  6.74020000e+03  3.86000000e-11  0.00000000e+00
1.04060400e-03  2.04535450e+01  3.74750000e-02  6.67510000e+03  4.18000000e-11  0.00000000e+00
1.05101010e-03  2.04562293e+01  3.74850000e-02  6.61070000e+03  4.52500000e-11  0.00000000e+00
1.06152020e-03  2.04584810e+01  3.74950000e-02  6.54700000e+03  4.89800000e-11  0.00000000e+00
1.07213540e-03  2.04602524e+01  3.75040000e-02  6.48390000e+03  5.30100000e-11  0.00000000e+00
1.08285670e-03  2.04618101e+01  3.75140000e-02  6.42140000e+03  5.73600000e-11  0.00000000e+00
1.09368530e-03  2.04631996e+01  3.75240000e-02  6.35950000e+03  6.20600000e-11  0.00000000e+00
1.10462210e-03  2.04647041e+01  3.75350000e-02  6.29820000e+03  6.71400000e-11  0.00000000e+00
1.11566830e-03  2.04658071e+01  3.75450000e-02  6.23760000e+03  7.26200000e-11  0.00000000e+00
1.12682500e-03  2.04669527e+01  3.75550000e-02  6.17750000e+03  7.85400000e-11  0.00000000e+00
1.13809330e-03  2.04680166e+01  3.75660000e-02  6.11810000e+03  8.49300000e-11  0.00000000e+00
1.14947420e-03  2.04690023e+01  3.75760000e-02  6.05920000e+03  9.18300000e-11  0.00000000e+00
1.16096900e-03  2.04697812e+01  3.75870000e-02  6.00090000e+03  9.92700000e-11  0.00000000e+00
1.17257860e-03  2.04705140e+01  3.75980000e-02  5.94320000e+03  1.07300000e-10  0.00000000e+00
1.18430440e-03  2.04712052e+01  3.76090000e-02  5.88610000e+03  1.16000000e-10  0.00000000e+00
1.19614750e-03  2.04718588e+01  3.76200000e-02  5.82950000e+03  1.25300000e-10  0.00000000e+00
1.20810900e-03  2.04724781e+01  3.76310000e-02  5.77350000e+03  1.35400000e-10  0.00000000e+00
1.22019000e-03  2.04730660e+01  3.76420000e-02  5.71810000e+03  1.46300000e-10  0.00000000e+00
1.23239190e-03  2.04736249e+01  3.76540000e-02  5.66320000e+03  1.58000000e-10  0.00000000e+00
1.24471590e-03  2.04741569e+01  3.76650000e-02  5.60880000e+03  1.70600000e-10  0.00000000e+00
1.25716300e-03  2.04746639e+01  3.76770000e-02  5.55500000e+03  1.84200000e-10  0.00000000e+00
1.26973460e-03  2.04751476e+01  3.76890000e-02  5.50180000e+03  1.98900000e-10  0.00000000e+00
1.28243200e-03  2.04756093e+01  3.77010000e-02  5.44900000e+03  2.14700000e-10  0.00000000e+00
1.29525630e-03  2.04760503e+01  3.77130000e-02  5.39680000e+03  2.31800000e-10  0.00000000e+00
1.30820890e-03  2.04764718e+01  3.77250000e-02  5.34510000e+03  2.50100000e-10  0.00000000e+00
1.32129100e-03  2.04768747e+01  3.77380000e-02  5.29390000e+03  2.69900000e-10  0.00000000e+00
1.33450390e-03  2.04772600e+01  3.77500000e-02  5.24330000e+03  2.91200000e-10  0.00000000e+00
1.34784890e-03  2.04776285e+01  3.77630000e-02  5.19310000e+03  3.14100000e-10  0.00000000e+00
1.36132740e-03  2.04779809e+01  3.77760000e-02  5.14340000e+03  3.38800000e-10  0.00000000e+00
1.37494070e-03  2.04783179e+01  3.77890000e-02  5.09420000e+03  3.65400000e-10  0.00000000e+00
1.38869010e-03  2.04786400e+01  3.78020000e-02  5.04550000e+03  3.94000000e-10  0.00000000e+00
1.40257700e-03  2.04789479e+01  3.78150000e-02  4.99730000e+03  4.24800000e-10  0.00000000e+00
1.41660280e-03  2.04792418e+01  3.78290000e-02  4.94960000e+03  4.58000000e-10  0.00000000e+00
1.43076880e-03  2.04795224e+01  3.78420000e-02  4.90240000e+03  4.93600000e-10  0.00000000e+00
1.44507650e-03  2.04797900e+01  3.78560000e-02  4.85560000e+03  5.32000000e-10  0.00000000e+00
1.45952720e-03  2.04800449e+01  3.78700000e-02  4.80930000e+03  5.73200000e-10  0.00000000e+00
1.47412250e-03  2.04803829e+01  3.78840000e-02  4.76340000e+03  6.17600000e-10  0.00000000e+00
1.48886370e-03  2.04806090e+01  3.78980000e-02  4.71800000e+03  6.65300000e-10  0.00000000e+00
1.50375240e-03  2.04808236e+01  3.79120000e-02  4.67310000e+03  7.16600000e-10  0.00000000e+00
1.51878990e-03  2.04810268e+01  3.79270000e-02  4.62860000e+03  7.71800000e-10  0.00000000e+00
1.53397780e-03  2.04813109e+01  3.79420000e-02  4.58460000e+03  8.31000000e-10  0.00000000e+00
1.54931760e-03  2.04814905e+01  3.79570000e-02  4.54090000e+03  8.94700000e-10  0.00000000e+00
1.56481070e-03  2.04816593e+01  3.79720000e-02  4.49780000e+03  9.63200000e-10  0.00000000e+00
1.58045890e-03  2.04819152e+01  3.79870000e-02  4.45500000e+03  1.03700000e-09  0.00000000e+00
1.59626340e-03  2.04820588e+01  3.80020000e-02  4.41270000e+03  1.11600000e-09  0.00000000e+00
1.61222610e-03  2.04821922e+01  3.80180000e-02  4.37080000e+03  1.20100000e-09  0.00000000e+00
1.62834830e-03  2.04823154e+01  3.80330000e-02  4.32930000e+03  1.29200000e-09  0.00000000e+00
1.64463180e-03  2.04824286e+01  3.80490000e-02  4.28820000e+03  1.39000000e-09  0.00000000e+00
1.66107810e-03  2.04825317e+01  3.80660000e-02  4.24760000e+03  1.49500000e-09  0.00000000e+00
1.67768890e-03  2.04826630e+01  3.80820000e-02  4.20730000e+03  1.60700000e-09  0.00000000e+00
1.69446580e-03  2.04827455e+01  3.80980000e-02  4.16750000e+03  1.72800000e-09  0.00000000e+00
1.71141050e-03  2.04828182e+01  3.81150000e-02  4.12800000e+03  1.85800000e-09  0.00000000e+00
1.72852460e-03  2.04829185e+01  3.81320000e-02  4.08900000e+03  1.99800000e-09  0.00000000e+00
1.74580980e-03  2.04829708e+01  3.81490000e-02  4.05030000e+03  2.14700000e-09  0.00000000e+00
1.76326790e-03  2.04830131e+01  3.81660000e-02  4.01200000e+03  2.30800000e-09  0.00000000e+00
1.78090060e-03  2.04830455e+01  3.81840000e-02  3.97410000e+03  2.48000000e-09  0.00000000e+00
1.79870960e-03  2.04830679e+01  3.82020000e-02  3.93660000e+03  2.66400000e-09  0.00000000e+00
1.81669670e-03  2.04830804e+01  3.82200000e-02  3.89940000e+03  2.86200000e-09  0.00000000e+00
1.83486370e-03  2.04830828e+01  3.82380000e-02  3.86270000e+03  3.07400000e-09  0.00000000e+00
1.85321230e-03  2.04830751e+01  3.82560000e-02  3.82630000e+03  3.30200000e-09  0.00000000e+00
1.87174440e-03  2.04830573e+01  3.82750000e-02  3.79020000e+03  3.54600000e-09  0.00000000e+00
1.89046190e-03  2.04830293e+01  3.82930000e-02  3.75450000e+03  3.80700000e-09  0.00000000e+00
1.90936650e-03  2.04829910e+01  3.83120000e-02  3.71920000e+03  4.08700000e-09  0.00000000e+00
1.92846020e-03  2.04829424e+01  3.83320000e-02  3.68420000e+03  4.38700000e-09  0.00000000e+00
1.94774480e-03  2.04828833e+01  3.83510000e-02  3.64960000e+03  4.70800000e-09  0.00000000e+00
1.96722220e-03  2.04828843e+01  3.83710000e-02  3.61530000e+03  5.05200000e-09  0.00000000e+00
1.98689440e-03  2.04828033e+01  3.83910000e-02  3.58140000e+03  5.42000000e-09  0.00000000e+00
2.00676340e-03  2.04827115e+01  3.84110000e-02  3.54780000e+03  5.81500000e-09  0.00000000e+00
2.02683100e-03  2.04826089e+01  3.84310000e-02  3.51450000e+03  6.23800000e-09  0.00000000e+00
2.04709930e-03  2.04824953e+01  3.84520000e-02  3.48160000e+03  6.69000000e-09  0.00000000e+00
2.06757030e-03  2.04823706e+01  3.84730000e-02  3.44900000e+03  7.17400000e-09  0.00000000e+00
2.08824600e-03  2.04822346e+01  3.84940000e-02  3.41670000e+03  7.69200000e-09  0.00000000e+00
2.10912850e-03  2.04820874e+01  3.85160000e-02  3.38480000e+03  8.24600000e-09  0.00000000e+00
2.13021980e-03  2.04819286e+01  3.85370000e-02  3.35320000e+03  8.83900000e-09  0.00000000e+00
2.15152200e-03  2.04817581e+01  3.85590000e-02  3.32190000e+03  9.47300000e-09  0.00000000e+00
2.17303720e-03  2.04815758e+01  3.85820000e-02  3.29090000e+03  1.01500000e-08  0.00000000e+00
2.19476750e-03  2.04813816e+01  3.86040000e-02  3.26020000e+03  1.08800000e-08  0.00000000e+00
2.21671520e-03  2.04811752e+01  3.86270000e-02  3.22980000e+03  1.16500000e-08  0.00000000e+00
2.23888240e-03  2.04809565e+01  3.86500000e-02  3.19980000e+03  1.24800000e-08  0.00000000e+00
2.26127120e-03  2.04807252e+01  3.86730000e-02  3.17000000e+03  1.33700000e-08  0.00000000e+00
2.28388390e-03  2.04804813e+01  3.86970000e-02  3.14050000e+03  1.43200000e-08  0.00000000e+00
2.30672270e-03  2.04802245e+01  3.87210000e-02  3.11140000e+03  1.53300000e-08  0.00000000e+00
2.32979000e-03  2.04799546e+01  3.87450000e-02  3.08250000e+03  1.64100000e-08  0.00000000e+00
2.35308790e-03  2.04796714e+01  3.87700000e-02  3.05390000e+03  1.75700000e-08  0.00000000e+00
2.37661870e-03  2.04793747e+01  3.87950000e-02  3.02560000e+03  1.88100000e-08  0.00000000e+00
