#  Th:    Z = 90;   Atomic weight = 232.0381 g/mol ;    nominal density:   [INLINE] = 1.1700E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.85309E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.81351E+05
#         24 edges. Edge energies (keV):
# K      1.09651E+02  L I    2.04721E+01  L II   1.96932E+01  L III  1.63003E+01
# M I    5.18230E+00  M II   4.83040E+00  M III  4.04610E+00  M IV   3.49080E+00
# M V    3.33200E+00  N I    1.32950E+00  N II   1.16820E+00  N III  9.67300E-01
# N IV   7.14100E-01  N V    6.76400E-01  N VI   3.44400E-01  N VII  3.35200E-01
# O I    2.90200E-01  O II   2.29400E-01  O III  1.81800E-01  O IV   9.43000E-02
# O V    8.79000E-02  P I    5.95000E-02  P II   4.90000E-02  P III  4.30000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.4308E+00, -1.4118E+00 e/atom
#         Nuclear Thomson correction fNT = -1.9150E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=90, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.61539588e+01  2.38570000e-02  4.28360000e+03  3.08400000e-11  0.00000000e+00
1.02010000e-03  2.61593206e+01  2.38590000e-02  4.24150000e+03  3.34100000e-11  0.00000000e+00
1.03030100e-03  2.61623821e+01  2.38610000e-02  4.19990000e+03  3.61800000e-11  0.00000000e+00
1.04060400e-03  2.61648222e+01  2.38620000e-02  4.15860000e+03  3.91800000e-11  0.00000000e+00
1.05101010e-03  2.61667847e+01  2.38640000e-02  4.11780000e+03  4.24200000e-11  0.00000000e+00
1.06152020e-03  2.61683052e+01  2.38660000e-02  4.07740000e+03  4.59200000e-11  0.00000000e+00
1.07213540e-03  2.61694691e+01  2.38680000e-02  4.03730000e+03  4.97100000e-11  0.00000000e+00
1.08285670e-03  2.61705097e+01  2.38700000e-02  3.99770000e+03  5.38000000e-11  0.00000000e+00
1.09368530e-03  2.61714520e+01  2.38720000e-02  3.95840000e+03  5.82200000e-11  0.00000000e+00
1.10462210e-03  2.61724764e+01  2.38750000e-02  3.91960000e+03  6.29900000e-11  0.00000000e+00
1.11566830e-03  2.61733331e+01  2.38770000e-02  3.88110000e+03  6.81400000e-11  0.00000000e+00
1.12682500e-03  2.61741565e+01  2.38790000e-02  3.84300000e+03  7.37100000e-11  0.00000000e+00
1.13809330e-03  2.61748081e+01  2.38810000e-02  3.80530000e+03  7.97100000e-11  0.00000000e+00
1.14947420e-03  2.61755323e+01  2.38830000e-02  3.76800000e+03  8.62000000e-11  0.00000000e+00
1.16096900e-03  2.61762372e+01  2.38850000e-02  3.73100000e+03  9.32000000e-11  0.00000000e+00
1.17257860e-03  2.61767707e+01  2.38870000e-02  3.69440000e+03  1.00800000e-10  0.00000000e+00
1.18430440e-03  2.61775335e+01  2.38900000e-02  3.65820000e+03  1.08900000e-10  0.00000000e+00
1.19614750e-03  2.61780114e+01  2.38920000e-02  3.62230000e+03  1.17700000e-10  0.00000000e+00
1.20810900e-03  2.61784714e+01  2.38940000e-02  3.58680000e+03  1.27200000e-10  0.00000000e+00
1.22019000e-03  2.61789150e+01  2.38960000e-02  3.55160000e+03  1.37400000e-10  0.00000000e+00
1.23239190e-03  2.61793436e+01  2.38990000e-02  3.51680000e+03  1.48400000e-10  0.00000000e+00
1.24471590e-03  2.61797583e+01  2.39010000e-02  3.48230000e+03  1.60300000e-10  0.00000000e+00
1.25716300e-03  2.61801601e+01  2.39030000e-02  3.44820000e+03  1.73100000e-10  0.00000000e+00
1.26973460e-03  2.61805499e+01  2.39060000e-02  3.41440000e+03  1.87000000e-10  0.00000000e+00
1.28243200e-03  2.61809285e+01  2.39080000e-02  3.38090000e+03  2.01900000e-10  0.00000000e+00
1.29525630e-03  2.61812967e+01  2.39110000e-02  3.34780000e+03  2.17900000e-10  0.00000000e+00
1.30820890e-03  2.61816550e+01  2.39130000e-02  3.31500000e+03  2.35200000e-10  0.00000000e+00
1.32129100e-03  2.61820041e+01  2.39160000e-02  3.28250000e+03  2.53800000e-10  0.00000000e+00
1.33450390e-03  2.61823445e+01  2.39180000e-02  3.25030000e+03  2.73900000e-10  0.00000000e+00
1.34784890e-03  2.61826767e+01  2.39210000e-02  3.21850000e+03  2.95500000e-10  0.00000000e+00
1.36132740e-03  2.61830010e+01  2.39230000e-02  3.18700000e+03  3.18800000e-10  0.00000000e+00
1.37494070e-03  2.61833180e+01  2.39260000e-02  3.15570000e+03  3.43800000e-10  0.00000000e+00
1.38869010e-03  2.61836279e+01  2.39280000e-02  3.12480000e+03  3.70800000e-10  0.00000000e+00
1.40257700e-03  2.61839311e+01  2.39310000e-02  3.09420000e+03  3.99800000e-10  0.00000000e+00
1.41660280e-03  2.61842280e+01  2.39340000e-02  3.06400000e+03  4.31100000e-10  0.00000000e+00
