#  Pa:    Z = 91;   Atomic weight = 231.0359 g/mol ;    nominal density:   [INLINE] = 1.5340E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.83644E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.82138E+05
#         24 edges. Edge energies (keV):
# K      1.12601E+02  L I    2.11046E+01  L II   2.03137E+01  L III  1.67331E+01
# M I    5.36690E+00  M II   5.00090E+00  M III  4.17380E+00  M IV   3.61120E+00
# M V    3.44180E+00  N I    1.38710E+00  N II   1.22430E+00  N III  1.00670E+00
# N IV   7.43400E-01  N V    7.08200E-01  N VI   3.71200E-01  N VII  3.59500E-01
# O I    3.09600E-01  O II   2.33624E-01  O III  1.83050E-01  O IV   9.66789E-02
# O V    8.92408E-02  P I    4.54585E-02  P II   2.85451E-02  P III  2.03206E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.5033E+00, -1.4526E+00 e/atom
#         Nuclear Thomson correction fNT = -1.9663E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=91, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.54360939e+01  4.11540000e-02  7.42140000e+03  3.10200000e-11  0.00000000e+00
1.02010000e-03  2.54454639e+01  4.11650000e-02  7.34990000e+03  3.36000000e-11  0.00000000e+00
1.03030100e-03  2.54504932e+01  4.11760000e-02  7.27910000e+03  3.63900000e-11  0.00000000e+00
1.04060400e-03  2.54540606e+01  4.11870000e-02  7.20900000e+03  3.94200000e-11  0.00000000e+00
1.05101010e-03  2.54570734e+01  4.11990000e-02  7.13960000e+03  4.26800000e-11  0.00000000e+00
1.06152020e-03  2.54595151e+01  4.12100000e-02  7.07090000e+03  4.62100000e-11  0.00000000e+00
1.07213540e-03  2.54616173e+01  4.12220000e-02  7.00290000e+03  5.00200000e-11  0.00000000e+00
1.08285670e-03  2.54633006e+01  4.12340000e-02  6.93550000e+03  5.41400000e-11  0.00000000e+00
1.09368530e-03  2.54648044e+01  4.12450000e-02  6.86880000e+03  5.86000000e-11  0.00000000e+00
1.10462210e-03  2.54662623e+01  4.12570000e-02  6.80280000e+03  6.34100000e-11  0.00000000e+00
1.11566830e-03  2.54676223e+01  4.12700000e-02  6.73740000e+03  6.86000000e-11  0.00000000e+00
1.12682500e-03  2.54687338e+01  4.12820000e-02  6.67270000e+03  7.42100000e-11  0.00000000e+00
1.13809330e-03  2.54697661e+01  4.12940000e-02  6.60860000e+03  8.02600000e-11  0.00000000e+00
1.14947420e-03  2.54708459e+01  4.13070000e-02  6.54520000e+03  8.68000000e-11  0.00000000e+00
1.16096900e-03  2.54718739e+01  4.13200000e-02  6.48240000e+03  9.38600000e-11  0.00000000e+00
1.17257860e-03  2.54727010e+01  4.13320000e-02  6.42020000e+03  1.01500000e-10  0.00000000e+00
1.18430440e-03  2.54734836e+01  4.13450000e-02  6.35860000e+03  1.09700000e-10  0.00000000e+00
1.19614750e-03  2.54742261e+01  4.13590000e-02  6.29770000e+03  1.18600000e-10  0.00000000e+00
1.20810900e-03  2.54749323e+01  4.13720000e-02  6.23730000e+03  1.28100000e-10  0.00000000e+00
1.22019000e-03  2.54756054e+01  4.13850000e-02  6.17760000e+03  1.38400000e-10  0.00000000e+00
1.23239190e-03  2.54762481e+01  4.13990000e-02  6.11840000e+03  1.49600000e-10  0.00000000e+00
1.24471590e-03  2.54768629e+01  4.14130000e-02  6.05980000e+03  1.61600000e-10  0.00000000e+00
1.25716300e-03  2.54774518e+01  4.14260000e-02  6.00190000e+03  1.74500000e-10  0.00000000e+00
1.26973460e-03  2.54780167e+01  4.14400000e-02  5.94440000e+03  1.88400000e-10  0.00000000e+00
1.28243200e-03  2.54785591e+01  4.14550000e-02  5.88760000e+03  2.03500000e-10  0.00000000e+00
1.29525630e-03  2.54790805e+01  4.14690000e-02  5.83130000e+03  2.19700000e-10  0.00000000e+00
1.30820890e-03  2.54795820e+01  4.14830000e-02  5.77560000e+03  2.37100000e-10  0.00000000e+00
1.32129100e-03  2.54800649e+01  4.14980000e-02  5.72040000e+03  2.55900000e-10  0.00000000e+00
1.33450390e-03  2.54805302e+01  4.15130000e-02  5.66580000e+03  2.76200000e-10  0.00000000e+00
1.34784890e-03  2.54809787e+01  4.15280000e-02  5.61180000e+03  2.98000000e-10  0.00000000e+00
1.36132740e-03  2.54814112e+01  4.15430000e-02  5.55820000e+03  3.21500000e-10  0.00000000e+00
1.37494070e-03  2.54818285e+01  4.15580000e-02  5.50520000e+03  3.46800000e-10  0.00000000e+00
1.38869010e-03  2.54822313e+01  4.15740000e-02  5.45280000e+03  3.74000000e-10  0.00000000e+00
1.40257700e-03  2.54826201e+01  4.15900000e-02  5.40080000e+03  4.03300000e-10  0.00000000e+00
1.41660280e-03  2.54829955e+01  4.16060000e-02  5.34940000e+03  4.34900000e-10  0.00000000e+00
1.43076880e-03  2.54833579e+01  4.16220000e-02  5.29840000e+03  4.68800000e-10  0.00000000e+00
1.44507650e-03  2.54837079e+01  4.16380000e-02  5.24800000e+03  5.05400000e-10  0.00000000e+00
1.45952720e-03  2.54840458e+01  4.16540000e-02  5.19810000e+03  5.44700000e-10  0.00000000e+00
1.47412250e-03  2.54843719e+01  4.16710000e-02  5.14870000e+03  5.87000000e-10  0.00000000e+00
1.48886370e-03  2.54846867e+01  4.16880000e-02  5.09980000e+03  6.32400000e-10  0.00000000e+00
1.50375240e-03  2.54849905e+01  4.17050000e-02  5.05130000e+03  6.81300000e-10  0.00000000e+00
1.51878990e-03  2.54852834e+01  4.17220000e-02  5.00340000e+03  7.33900000e-10  0.00000000e+00
1.53397780e-03  2.54855658e+01  4.17390000e-02  4.95590000e+03  7.90400000e-10  0.00000000e+00
1.54931760e-03  2.54858379e+01  4.17570000e-02  4.90890000e+03  8.51200000e-10  0.00000000e+00
1.56481070e-03  2.54861920e+01  4.17740000e-02  4.86240000e+03  9.16500000e-10  0.00000000e+00
1.58045890e-03  2.54864426e+01  4.17920000e-02  4.81630000e+03  9.86600000e-10  0.00000000e+00
1.59626340e-03  2.54866835e+01  4.18110000e-02  4.77070000e+03  1.06200000e-09  0.00000000e+00
1.61222610e-03  2.54869148e+01  4.18290000e-02  4.72550000e+03  1.14300000e-09  0.00000000e+00
1.62834830e-03  2.54872315e+01  4.18480000e-02  4.68080000e+03  1.23000000e-09  0.00000000e+00
1.64463180e-03  2.54874403e+01  4.18660000e-02  4.63660000e+03  1.32300000e-09  0.00000000e+00
1.66107810e-03  2.54876401e+01  4.18850000e-02  4.59270000e+03  1.42400000e-09  0.00000000e+00
1.67768890e-03  2.54878309e+01  4.19050000e-02  4.54940000e+03  1.53200000e-09  0.00000000e+00
1.69446580e-03  2.54880128e+01  4.19240000e-02  4.50640000e+03  1.64700000e-09  0.00000000e+00
1.71141050e-03  2.54881860e+01  4.19440000e-02  4.46390000e+03  1.77100000e-09  0.00000000e+00
1.72852460e-03  2.54883503e+01  4.19640000e-02  4.42180000e+03  1.90500000e-09  0.00000000e+00
1.74580980e-03  2.54885451e+01  4.19840000e-02  4.38010000e+03  2.04800000e-09  0.00000000e+00
1.76326790e-03  2.54886914e+01  4.20040000e-02  4.33890000e+03  2.20100000e-09  0.00000000e+00
1.78090060e-03  2.54888650e+01  4.20250000e-02  4.29800000e+03  2.36500000e-09  0.00000000e+00
1.79870960e-03  2.54889936e+01  4.20460000e-02  4.25760000e+03  2.54200000e-09  0.00000000e+00
1.81669670e-03  2.54891135e+01  4.20670000e-02  4.21750000e+03  2.73100000e-09  0.00000000e+00
1.83486370e-03  2.54892248e+01  4.20880000e-02  4.17790000e+03  2.93400000e-09  0.00000000e+00
1.85321230e-03  2.54893275e+01  4.21100000e-02  4.13870000e+03  3.15200000e-09  0.00000000e+00
1.87174440e-03  2.54894215e+01  4.21320000e-02  4.09980000e+03  3.38500000e-09  0.00000000e+00
1.89046190e-03  2.54895069e+01  4.21540000e-02  4.06130000e+03  3.63500000e-09  0.00000000e+00
1.90936650e-03  2.54895836e+01  4.21760000e-02  4.02330000e+03  3.90300000e-09  0.00000000e+00
1.92846020e-03  2.54896515e+01  4.21990000e-02  3.98560000e+03  4.19100000e-09  0.00000000e+00
1.94774480e-03  2.54897107e+01  4.22220000e-02  3.94830000e+03  4.49800000e-09  0.00000000e+00
1.96722220e-03  2.54897611e+01  4.22450000e-02  3.91130000e+03  4.82800000e-09  0.00000000e+00
1.98689440e-03  2.54898027e+01  4.22690000e-02  3.87470000e+03  5.18100000e-09  0.00000000e+00
2.00676340e-03  2.54898353e+01  4.22920000e-02  3.83850000e+03  5.55900000e-09  0.00000000e+00
2.02683100e-03  2.54899309e+01  4.23160000e-02  3.80270000e+03  5.96400000e-09  0.00000000e+00
2.04709930e-03  2.54899447e+01  4.23410000e-02  3.76720000e+03  6.39800000e-09  0.00000000e+00
2.06757030e-03  2.54899494e+01  4.23650000e-02  3.73210000e+03  6.86200000e-09  0.00000000e+00
2.08824600e-03  2.54899448e+01  4.23900000e-02  3.69730000e+03  7.35900000e-09  0.00000000e+00
2.10912850e-03  2.54899310e+01  4.24150000e-02  3.66290000e+03  7.89000000e-09  0.00000000e+00
2.13021980e-03  2.54899077e+01  4.24410000e-02  3.62880000e+03  8.45900000e-09  0.00000000e+00
2.15152200e-03  2.54898750e+01  4.24670000e-02  3.59500000e+03  9.06800000e-09  0.00000000e+00
2.17303720e-03  2.54898326e+01  4.24930000e-02  3.56160000e+03  9.71900000e-09  0.00000000e+00
2.19476750e-03  2.54897806e+01  4.25190000e-02  3.52860000e+03  1.04200000e-08  0.00000000e+00
2.21671520e-03  2.54897187e+01  4.25460000e-02  3.49580000e+03  1.11600000e-08  0.00000000e+00
2.23888240e-03  2.54896469e+01  4.25730000e-02  3.46340000e+03  1.19600000e-08  0.00000000e+00
2.26127120e-03  2.54895651e+01  4.26010000e-02  3.43130000e+03  1.28100000e-08  0.00000000e+00
2.28388390e-03  2.54894730e+01  4.26280000e-02  3.39960000e+03  1.37200000e-08  0.00000000e+00
2.30672270e-03  2.54893706e+01  4.26560000e-02  3.36810000e+03  1.46900000e-08  0.00000000e+00
2.32979000e-03  2.54892577e+01  4.26850000e-02  3.33700000e+03  1.57300000e-08  0.00000000e+00
2.35308790e-03  2.54891342e+01  4.27140000e-02  3.30620000e+03  1.68400000e-08  0.00000000e+00
2.37661870e-03  2.54890000e+01  4.27430000e-02  3.27570000e+03  1.80300000e-08  0.00000000e+00
