#  U:    Z = 92;   Atomic weight = 238.0289 g/mol ;    nominal density:   [INLINE] = 1.8920E+01 g/cm3
#         a(barns/atom) = (cm2/g)    3.95257E+02
#         E(eV) (cm2/g) = f2(e/atom)    1.76787E+05
#         24 edges. Edge energies (keV):
# K      1.15606E+02  L I    2.17574E+01  L II   2.09476E+01  L III  1.71663E+01
# M I    5.54800E+00  M II   5.18220E+00  M III  4.30340E+00  M IV   3.72760E+00
# M V    3.55170E+00  N I    1.44080E+00  N II   1.27260E+00  N III  1.04490E+00
# N IV   7.80400E-01  N V    7.37700E-01  N VI   3.91300E-01  N VII  3.80900E-01
# O I    3.23700E-01  O II   2.59300E-01  O III  1.95100E-01  O IV   1.05000E-01
# O V    9.63000E-02  P I    7.07000E-02  P II   4.23000E-02  P III  3.23000E-02
#         Relativistic correction estimate frel (H82,3/5CL) = -2.5771E+00, -1.4940E+00 e/atom
#         Nuclear Thomson correction fNT = -1.9507E-02 e/atom
#    _________________________________________________________________________________________________________
#  Form Factors, Attenuation and Scattering Cross-sections
#  Z=92, E = 0.001 - 1000 keV
#                                                             Attenuation
#    E         f1            f2                     [INLINE] (coh+inc) Coefficient    K       wavelength
#    keV       e/atom       e/atom      cm2/g       cm2/g      cm2/g          cm2/g        nm
1.01000000e-03  2.85631100e+01  3.74260000e-02  6.55100000e+03  3.29200000e-11  0.00000000e+00
1.02010000e-03  2.85630200e+01  3.74320000e-02  6.48720000e+03  3.56500000e-11  0.00000000e+00
1.03030100e-03  2.85629300e+01  3.74390000e-02  6.42400000e+03  3.86100000e-11  0.00000000e+00
1.04060400e-03  2.85628400e+01  3.74450000e-02  6.36140000e+03  4.18000000e-11  0.00000000e+00
1.05101010e-03  2.85627500e+01  3.74510000e-02  6.29950000e+03  4.52600000e-11  0.00000000e+00
1.06152010e-03  2.85626500e+01  3.74580000e-02  6.23820000e+03  4.89900000e-11  0.00000000e+00
1.07213530e-03  2.85625600e+01  3.74640000e-02  6.17750000e+03  5.30200000e-11  0.00000000e+00
1.08285670e-03  2.85624600e+01  3.74700000e-02  6.11740000e+03  5.73800000e-11  0.00000000e+00
1.09368520e-03  2.85623600e+01  3.74770000e-02  6.05790000e+03  6.20900000e-11  0.00000000e+00
1.10462210e-03  2.85622600e+01  3.74840000e-02  5.99900000e+03  6.71700000e-11  0.00000000e+00
1.11566830e-03  2.85621700e+01  3.74900000e-02  5.94070000e+03  7.26600000e-11  0.00000000e+00
