# core width data from Keski-Rahkonen and Krause (1974)
# Z  Symbol  Edge  Core Width(eV)
  1     H     K      0.0201
  2    He     K      0.0269
  3    Li     K      0.0360
  3    Li    L1      0.1126
  4    Be     K      0.0483
  4    Be    L1      0.1426
  4    Be    L2      0.0025
  4    Be    L3      0.0025
  5     B     K      0.0647
  5     B    L1      0.1806
  5     B    L2      0.0033
  5     B    L3      0.0033
  6     C     K      0.0868
  6     C    L1      0.2287
  6     C    L2      0.0045
  6     C    L3      0.0045
  7     N     K      0.1163
  7     N    L1      0.2897
  7     N    L2      0.0060
  7     N    L3      0.0060
  8     O     K      0.1559
  8     O    L1      0.3670
  8     O    L2      0.0081
  8     O    L3      0.0081
  9     F     K      0.2089
  9     F    L1      0.4648
  9     F    L2      0.0110
  9     F    L3      0.0110
 10    Ne     K      0.2800
 10    Ne    L1      0.5887
 10    Ne    L2      0.0148
 10    Ne    L3      0.0148
 11    Na     K      0.3090
 11    Na    L1      0.7457
 11    Na    L2      0.0200
 11    Na    L3      0.0200
 12    Mg     K      0.3410
 12    Mg    L1      0.9445
 12    Mg    L2      0.0269
 12    Mg    L3      0.0269
 12    Mg    M1      0.0546
 12    Mg    M2      0.0010
 12    Mg    M3      0.0010
 13    Al     K      0.3763
 13    Al    L1      1.1963
 13    Al    L2      0.0363
 13    Al    L3      0.0363
 13    Al    M1      0.0786
 13    Al    M2      0.0010
 13    Al    M3      0.0010
 14    Si     K      0.4153
 14    Si    L1      1.5153
 14    Si    L2      0.0489
 14    Si    L3      0.0489
 14    Si    M1      0.1130
 14    Si    M2      0.0010
 14    Si    M3      0.0010
 15     P     K      0.4583
 15     P    L1      1.9193
 15     P    L2      0.0660
 15     P    L3      0.0660
 15     P    M1      0.1625
 15     P    M2      0.0010
 15     P    M3      0.0010
 16     S     K      0.5057
 16     S    L1      2.4310
 16     S    L2      0.0890
 16     S    L3      0.0890
 16     S    M1      0.2338
 16     S    M2      0.0010
 16     S    M3      0.0010
 17    Cl     K      0.5581
 17    Cl    L1      3.0791
 17    Cl    L2      0.1200
 17    Cl    L3      0.1200
 17    Cl    M1      0.3362
 17    Cl    M2      0.0010
 17    Cl    M3      0.0010
 18    Ar     K      0.6159
 18    Ar    L1      3.9000
 18    Ar    L2      0.1500
 18    Ar    L3      0.1378
 18    Ar    M1      0.4835
 18    Ar    M2      0.0010
 18    Ar    M3      0.0010
 19     K     K      0.6796
 19     K    L1      3.8748
 19     K    L2      0.1876
 19     K    L3      0.1583
 19     K    M1      0.6953
 19     K    M2      0.0010
 19     K    M3      0.0010
 20    Ca     K      0.7500
 20    Ca    L1      3.8497
 20    Ca    L2      0.2345
 20    Ca    L3      0.1818
 20    Ca    M1      1.0000
 20    Ca    M2      0.0010
 20    Ca    M3      0.0010
 21    Sc     K      0.8229
 21    Sc    L1      3.8248
 21    Sc    L2      0.2932
 21    Sc    L3      0.2087
 21    Sc    M1      1.1424
 21    Sc    M2      0.0224
 21    Sc    M3      0.0224
 22    Ti     K      0.9030
 22    Ti    L1      3.8000
 22    Ti    L2      0.3666
 22    Ti    L3      0.2397
 22    Ti    M1      1.3050
 22    Ti    M2      0.5000
 22    Ti    M3      0.5000
 22    Ti    M4      0.0121
 22    Ti    M5      0.0121
 23     V     K      0.9908
 23     V    L1      3.9828
 23     V    L2      0.4583
 23     V    L3      0.2753
 23     V    M1      1.4907
 23     V    M2      0.5946
 23     V    M3      0.5946
 23     V    M4      0.0140
 23     V    M5      0.0140
 24    Cr     K      1.0872
 24    Cr    L1      4.1745
 24    Cr    L2      0.5730
 24    Cr    L3      0.3162
 24    Cr    M1      1.7029
 24    Cr    M2      0.7071
 24    Cr    M3      0.7071
 24    Cr    M4      0.0162
 24    Cr    M5      0.0162
 25    Mn     K      1.1929
 25    Mn    L1      4.3753
 25    Mn    L2      0.7164
 25    Mn    L3      0.3631
 25    Mn    M1      1.9454
 25    Mn    M2      0.8409
 25    Mn    M3      0.8409
 25    Mn    M4      0.0186
 25    Mn    M5      0.0186
 26    Fe     K      1.3089
 26    Fe    L1      4.5858
 26    Fe    L2      0.8956
 26    Fe    L3      0.4170
 26    Fe    M1      2.2223
 26    Fe    M2      1.0000
 26    Fe    M3      1.0000
 26    Fe    M4      0.0215
 26    Fe    M5      0.0215
 27    Co     K      1.4362
 27    Co    L1      4.8065
 27    Co    L2      1.1198
 27    Co    L3      0.4789
 27    Co    M1      2.5386
 27    Co    M2      1.1892
 27    Co    M3      1.1892
 27    Co    M4      0.0248
 27    Co    M5      0.0248
 28    Ni     K      1.5759
 28    Ni    L1      5.0377
 28    Ni    L2      1.4000
 28    Ni    L3      0.5500
 28    Ni    M1      2.9000
 28    Ni    M2      1.4142
 28    Ni    M3      1.4142
 28    Ni    M4      0.0286
 28    Ni    M5      0.0286
 29    Cu     K      1.7292
 29    Cu    L1      5.2801
 29    Cu    L2      1.1618
 29    Cu    L3      0.5960
 29    Cu    M1      2.5259
 29    Cu    M2      1.6818
 29    Cu    M3      1.6818
 29    Cu    M4      0.0330
 29    Cu    M5      0.0330
 30    Zn     K      1.8974
 30    Zn    L1      5.5342
 30    Zn    L2      0.9641
 30    Zn    L3      0.6459
 30    Zn    M1      2.2000
 30    Zn    M2      2.0000
 30    Zn    M3      2.0000
 30    Zn    M4      0.0381
 30    Zn    M5      0.0381
 30    Zn    N2      0.0010
 30    Zn    N3      0.0010
 31    Ga     K      2.0819
 31    Ga    L1      5.8005
 31    Ga    L2      0.8000
 31    Ga    L3      0.7000
 31    Ga    M1      2.5630
 31    Ga    M2      2.0532
 31    Ga    M3      2.0532
 31    Ga    M4      0.0440
 31    Ga    M5      0.0440
 31    Ga    N1      0.0024
 31    Ga    N2      0.0010
 31    Ga    N3      0.0010
 32    Ge     K      2.2844
 32    Ge    L1      6.0796
 32    Ge    L2      0.8703
 32    Ge    L3      0.7571
 32    Ge    M1      2.9859
 32    Ge    M2      2.1077
 32    Ge    M3      2.1077
 32    Ge    M4      0.0508
 32    Ge    M5      0.0508
 32    Ge    N1      0.0057
 32    Ge    N2      0.0010
 32    Ge    N3      0.0010
 33    As     K      2.5066
 33    As    L1      6.3721
 33    As    L2      0.9467
 33    As    L3      0.8190
 33    As    M1      3.4785
 33    As    M2      2.1638
 33    As    M3      2.1638
 33    As    M4      0.0586
 33    As    M5      0.0586
 33    As    N1      0.0137
 33    As    N2      0.0010
 33    As    N3      0.0010
 34    Se     K      2.7503
 34    Se    L1      6.6787
 34    Se    L2      1.0299
 34    Se    L3      0.8858
 34    Se    M1      4.0524
 34    Se    M2      2.2213
 34    Se    M3      2.2213
 34    Se    M4      0.0676
 34    Se    M5      0.0676
 34    Se    N1      0.0329
 34    Se    N2      0.0010
 34    Se    N3      0.0010
 35    Br     K      3.0178
 35    Br    L1      7.0000
 35    Br    L2      1.1203
 35    Br    L3      0.9581
 35    Br    M1      4.7211
 35    Br    M2      2.2804
 35    Br    M3      2.2804
 35    Br    M4      0.0780
 35    Br    M5      0.0780
 35    Br    N1      0.0787
 35    Br    N2      0.0010
 35    Br    N3      0.0010
 36    Kr     K      3.3114
 36    Kr    L1      6.9284
 36    Kr    L2      1.2187
 36    Kr    L3      1.0363
 36    Kr    M1      5.5000
 36    Kr    M2      2.3410
 36    Kr    M3      2.3410
 36    Kr    M4      0.0900
 36    Kr    M5      0.0900
 36    Kr    N1      0.1886
 36    Kr    N2      0.0010
 36    Kr    N3      0.0010
