# Natural Linewdiths for K and L lines from table 1 in
# Krause and Oliver, J. Phys. Chem. Ref. Data 8,329 (1979)
#
# Z  Symbol   K   L1   L2   L3   Ka1   Ka2   KL1L1   KL1L2   KL2L3
 10   Ne   0.24   0.1   0   0   0.24   0.24   0.4   0.3   0.24
 11   Na   0.3   0.2   0   0   0.3   0.3   0.7   0.5   0.3
 12   Mg   0.36   0.41   0.001   0.001   0.36   0.36   1.19   0.77   0.36
 13   Al   0.42   0.73   0.004   0.004   0.43   0.43   1.89   1.16   0.43
 14   Si   0.48   1.03   0.015   0.014   0.49   0.49   2.54   1.52   0.51
 15    P   0.53   1.26   0.032   0.033   0.57   0.56   3.04   1.82   0.6
 16   Si   0.59   1.49   0.054   0.054   0.65   0.64   3.56   2.13   0.7
 17   Cl   0.64   1.58   0.083   0.087   0.72   0.72   3.8   2.3   0.81
 18   Ar   0.68   1.63   0.126   0.128   0.81   0.8   3.93   2.43   0.93
 19    K   0.74   1.92   0.152   0.156   0.89   0.89   4.57   2.81   1.05
 20   Ca   0.81   2.07   0.17   0.17   0.98   0.98   4.94   3.04   1.15
 21   Sc   0.86   2.21   0.19   0.19   1.05   1.06   5.27   3.26   1.25
 22   Ti   0.94   2.34   0.24   0.22   1.16   1.18   5.62   3.52   1.4
 23    V   1.01   2.41   0.26   0.24   1.26   1.28   5.84   3.69   1.52
 24   Cr   1.08   2.54   0.29   0.27   1.35   1.37   6.15   3.9   1.64
 25   Mn   1.16   2.62   0.34   0.32   1.48   1.5   6.4   4.12   1.82
 26   Fe   1.25   2.76   0.37   0.36   1.61   1.62   6.77   4.38   1.99
 27   Co   1.33   2.79   0.43   0.43   1.76   1.76   6.91   4.56   2.19
 28   Ni   1.44   2.89   0.52   0.48   1.94   1.96   7.22   4.85   2.44
 29   Cu   1.55   3.06   0.62   0.56   2.11   2.17   7.67   5.23   2.73
 30   Zn   1.67   3.28   0.72   0.65   2.32   2.39   8.22   5.66   3.04
 31   Ga   1.82   3.38   0.83   0.76   2.59   2.66   8.59   6.04   3.42
 32   Ge   1.96   3.53   0.95   0.82   2.78   2.92   9.02   6.45   3.73
 33   As   2.14   3.79   1.03   0.94   3.08   3.17   9.71   6.96   4.11
 34   Se   2.33   3.94   1.13   1   3.33   3.46   10.2   7.4   4.46
 35   Br   2.52   4.11   1.21   1.08   3.6   3.73   10.8   7.84   4.81
 36   Kr   2.75   4.28   1.31   1.17   3.92   4.06   11.3   8.34   5.23
 37   Rb   2.99   4.44   1.43   1.27   4.26   4.92   11.9   8.85   5.69
 38   Sr   3.25   4.67   1.54   1.39   4.63   4.79   12.6   9.45   6.17
 39    Y   3.52   4.71   1.65   1.5   5.02   5.18   13   9.89   6.68
 40   Zr   3.84   4.78   1.78   1.57   5.4   5.62   13.4   10.4   7.18
 41   Nb   4.14   3.94   1.87   1.66   5.8   6.01   12   9.9   7.67
 42   Mo   4.52   4.25   1.97   1.78   6.31   6.49   13   10.7   8.28
 43   Tc   4.91   4.36   2.08   1.91   6.82   6.99   13.6   11.4   8.9
 44   Ru   5.33   4.58   2.23   2   7.33   7.56   14.5   12.1   9.55
 45   Rh   5.77   4.73   2.35   2.13   7.9   8.12   15.2   12.9   10.2
 46   Pd   6.24   4.93   2.43   2.25   8.49   8.67   16.1   13.6   10.9
 47   Ag   6.75   4.88   2.57   2.4   9.16   9.32   16.5   14.2   11.7
 48   Cd   7.28   4.87   2.62   2.5   9.79   9.91   17   14.8   12.4
 49   In   7.91   5   2.72   2.65   10.56   10.63   17.9   15.6   13.3
 50   Sn   8.49   2.97   2.84   2.75   11.2   11.3   14.4   14.3   14.1
 51   Sb   9.16   3.13   3   2.87   12   12.2   15.4   15.3   15
 52   Te   9.89   3.32   3.12   2.95   12.8   13   16.5   16.3   16
 53    I   10.6   3.46   3.25   3.08   13.7   13.8   17.5   17.3   16.9
 54   Xe   11.4   3.64   3.4   3.13   14.6   14.8   18.7   18.5   18
 55   Cs   12.3   3.78   3.51   3.25   15.6   15.8   19.9   19.6   19.1
 56   Ba   13.2   3.92   3.57   3.32   16.5   16.8   21.1   20.7   20.1
 57   La   14.1   4.06   3.68   3.41   17.6   17.8   22.3   21.9   21.2
 58   Ce   15.1   4.21   3.8   3.48   18.6   18.9   23.6   23.2   22.5
 59   Pr   16.2   4.34   3.89   3.6   19.8   20.1   24.9   24.4   23.7
 60   Nd   17.3   4.52   3.97   3.65   20.9   21.3   26.3   25.8   24.9
 61   Pm   18.5   4.67   4.06   3.75   22.2   22.5   27.8   27.2   26.3
 62   Sm   19.7   4.8   4.15   3.86   23.6   23.8   29.3   28.6   27.7
 63   Eu   21   4.91   4.23   3.91   24.9   25.2   30.8   30.1   29.1
